subscription_id,account_id,segment,start_date,end_date,contract_type,committed_actions_monthly,status
SUB-0000051,ACC-000532,SMB,2023-12-25,,metered_month_to_month,,active
SUB-0000052,ACC-000533,SMB,2025-02-06,2025-06-06,metered_month_to_month,,churned
SUB-0000053,ACC-000534,SMB,2023-01-08,,metered_month_to_month,,active
SUB-0000054,ACC-000535,SMB,2025-10-26,,metered_month_to_month,,active
SUB-0000055,ACC-000536,SMB,2020-12-22,2024-05-22,metered_month_to_month,,churned
SUB-0000056,ACC-000537,SMB,2024-09-10,2025-03-10,metered_month_to_month,,churned
SUB-0000057,ACC-000538,SMB,2025-04-16,,metered_month_to_month,,active
SUB-0000058,ACC-000539,SMB,2024-03-22,,metered_month_to_month,,active
SUB-0000059,ACC-000540,SMB,2023-05-19,2024-10-19,metered_month_to_month,,churned
SUB-0000060,ACC-000541,SMB,2021-01-01,2025-02-01,metered_month_to_month,,churned
SUB-0000061,ACC-000542,SMB,2021-09-13,,metered_month_to_month,,active
SUB-0000062,ACC-000543,SMB,2024-03-15,,metered_month_to_month,,active
SUB-0000063,ACC-000544,SMB,2020-08-11,,metered_month_to_month,,active
SUB-0000064,ACC-000546,SMB,2024-06-27,2025-11-27,metered_month_to_month,,churned
SUB-0000065,ACC-000547,SMB,2024-01-05,2024-05-05,metered_month_to_month,,churned
SUB-0000066,ACC-000548,SMB,2024-01-24,,metered_month_to_month,,active
SUB-0000067,ACC-000549,SMB,2020-04-28,2021-02-28,metered_month_to_month,,churned
SUB-0000068,ACC-000550,SMB,2025-07-16,,metered_month_to_month,,active
SUB-0000069,ACC-000551,SMB,2025-01-07,2025-03-07,metered_month_to_month,,churned
SUB-0000070,ACC-000552,SMB,2023-11-21,2024-05-21,metered_month_to_month,,churned
SUB-0000071,ACC-000553,SMB,2023-03-19,,metered_month_to_month,,active
SUB-0000072,ACC-000554,SMB,2025-04-10,,metered_month_to_month,,active
SUB-0000073,ACC-000555,SMB,2025-12-20,,metered_month_to_month,,active
SUB-0000074,ACC-000556,SMB,2025-09-01,,metered_month_to_month,,active
SUB-0000075,ACC-000559,SMB,2022-12-31,2025-06-28,metered_month_to_month,,churned
SUB-0000076,ACC-000560,SMB,2021-03-29,,metered_month_to_month,,active
SUB-0000077,ACC-000561,SMB,2020-03-21,2020-11-21,metered_month_to_month,,churned
SUB-0000078,ACC-000562,SMB,2025-04-27,,metered_month_to_month,,active
SUB-0000079,ACC-000563,SMB,2023-05-20,,metered_month_to_month,,active
SUB-0000080,ACC-000564,SMB,2023-07-27,,metered_month_to_month,,active
SUB-0000081,ACC-000565,SMB,2025-11-16,,metered_month_to_month,,active
SUB-0000082,ACC-000566,SMB,2025-12-07,,metered_month_to_month,,active
SUB-0000083,ACC-000567,SMB,2021-08-28,,metered_month_to_month,,active
SUB-0000084,ACC-000568,SMB,2025-03-02,,metered_month_to_month,,active
SUB-0000085,ACC-000569,SMB,2025-09-23,,metered_month_to_month,,active
SUB-0000086,ACC-000570,SMB,2025-11-05,,metered_month_to_month,,active
SUB-0000087,ACC-000571,SMB,2025-06-17,,metered_month_to_month,,active
SUB-0000088,ACC-000572,SMB,2024-02-04,,metered_month_to_month,,active
SUB-0000089,ACC-000574,SMB,2020-01-08,2022-03-08,metered_month_to_month,,churned
SUB-0000090,ACC-000575,SMB,2025-05-28,,metered_month_to_month,,active
SUB-0000091,ACC-000577,SMB,2022-06-30,,metered_month_to_month,,active
SUB-0000092,ACC-000578,SMB,2025-09-23,,metered_month_to_month,,active
SUB-0000093,ACC-000579,SMB,2025-03-18,2025-11-18,metered_month_to_month,,churned
SUB-0000094,ACC-000580,SMB,2020-06-06,2022-10-06,metered_month_to_month,,churned
SUB-0000095,ACC-000581,SMB,2023-08-06,2024-03-06,metered_month_to_month,,churned
SUB-0000096,ACC-000582,SMB,2021-01-21,2022-01-21,metered_month_to_month,,churned
SUB-0000097,ACC-000583,SMB,2021-10-29,,metered_month_to_month,,active
SUB-0000098,ACC-000584,SMB,2024-11-04,,metered_month_to_month,,active
SUB-0000099,ACC-000585,SMB,2022-01-04,2024-02-04,metered_month_to_month,,churned
SUB-0000100,ACC-000586,SMB,2023-08-06,2025-11-06,metered_month_to_month,,churned
SUB-0000101,ACC-000587,SMB,2025-10-19,,metered_month_to_month,,active
SUB-0000102,ACC-000588,SMB,2022-05-29,2023-07-28,metered_month_to_month,,churned
SUB-0000103,ACC-000589,SMB,2025-08-16,,metered_month_to_month,,active
SUB-0000104,ACC-000590,SMB,2025-03-07,,metered_month_to_month,,active
SUB-0000105,ACC-000591,SMB,2021-06-18,,metered_month_to_month,,active
SUB-0000106,ACC-000592,SMB,2024-01-16,,metered_month_to_month,,active
SUB-0000107,ACC-000593,SMB,2024-09-06,2025-03-06,metered_month_to_month,,churned
SUB-0000108,ACC-000594,SMB,2022-02-09,2023-05-09,metered_month_to_month,,churned
SUB-0000109,ACC-000595,SMB,2024-07-15,2024-09-15,metered_month_to_month,,churned
SUB-0000110,ACC-000596,SMB,2024-05-09,,metered_month_to_month,,active
SUB-0000111,ACC-000597,SMB,2020-05-23,,metered_month_to_month,,active
SUB-0000112,ACC-000598,SMB,2025-02-01,2025-06-01,metered_month_to_month,,churned
SUB-0000113,ACC-000599,SMB,2023-10-01,,metered_month_to_month,,active
SUB-0000114,ACC-000601,SMB,2022-09-13,2023-09-13,metered_month_to_month,,churned
SUB-0000115,ACC-000602,SMB,2023-05-01,2025-03-01,metered_month_to_month,,churned
SUB-0000116,ACC-000603,SMB,2024-03-09,,metered_month_to_month,,active
SUB-0000117,ACC-000604,SMB,2025-07-27,,metered_month_to_month,,active
SUB-0000118,ACC-000606,SMB,2025-09-28,,metered_month_to_month,,active
SUB-0000119,ACC-000607,SMB,2025-04-28,,metered_month_to_month,,active
SUB-0000120,ACC-000608,SMB,2020-08-17,2020-12-17,metered_month_to_month,,churned
SUB-0000121,ACC-000609,SMB,2025-10-06,,metered_month_to_month,,active
SUB-0000122,ACC-000610,SMB,2025-12-15,,metered_month_to_month,,active
SUB-0000123,ACC-000611,SMB,2024-12-15,,metered_month_to_month,,active
SUB-0000124,ACC-000613,SMB,2024-09-14,,metered_month_to_month,,active
SUB-0000125,ACC-000615,SMB,2023-07-13,,metered_month_to_month,,active
SUB-0000126,ACC-000616,SMB,2025-09-04,,metered_month_to_month,,active
SUB-0000127,ACC-000617,SMB,2024-02-08,,metered_month_to_month,,active
SUB-0000128,ACC-000619,SMB,2024-06-26,,metered_month_to_month,,active
SUB-0000129,ACC-000620,SMB,2023-03-16,2024-06-16,metered_month_to_month,,churned
SUB-0000130,ACC-000621,SMB,2023-12-13,,metered_month_to_month,,active
SUB-0000131,ACC-000622,SMB,2025-08-18,,metered_month_to_month,,active
SUB-0000132,ACC-000623,SMB,2024-10-26,2025-04-26,metered_month_to_month,,churned
SUB-0000133,ACC-000624,SMB,2025-09-24,,metered_month_to_month,,active
SUB-0000134,ACC-000625,SMB,2020-06-03,2024-10-03,metered_month_to_month,,churned
SUB-0000135,ACC-000626,SMB,2025-04-23,,metered_month_to_month,,active
SUB-0000136,ACC-000627,SMB,2024-01-26,,metered_month_to_month,,active
SUB-0000137,ACC-000628,SMB,2024-06-16,2025-05-16,metered_month_to_month,,churned
SUB-0000138,ACC-000629,SMB,2024-03-15,,metered_month_to_month,,active
SUB-0000139,ACC-000630,SMB,2022-03-09,,metered_month_to_month,,active
SUB-0000140,ACC-000632,SMB,2024-03-15,2025-06-15,metered_month_to_month,,churned
SUB-0000141,ACC-000633,SMB,2025-03-17,,metered_month_to_month,,active
SUB-0000142,ACC-000634,SMB,2023-02-11,,metered_month_to_month,,active
SUB-0000143,ACC-000635,SMB,2025-05-20,,metered_month_to_month,,active
SUB-0000144,ACC-000636,SMB,2025-11-06,,metered_month_to_month,,active
SUB-0000145,ACC-000637,SMB,2025-10-18,,metered_month_to_month,,active
SUB-0000146,ACC-000638,SMB,2025-01-08,,metered_month_to_month,,active
SUB-0000147,ACC-000639,SMB,2024-08-16,,metered_month_to_month,,active
SUB-0000148,ACC-000640,SMB,2024-07-03,,metered_month_to_month,,active
SUB-0000149,ACC-000641,SMB,2024-11-07,,metered_month_to_month,,active
SUB-0000150,ACC-000642,SMB,2024-03-22,,metered_month_to_month,,active
SUB-0000151,ACC-000643,SMB,2025-11-24,,metered_month_to_month,,active
SUB-0000152,ACC-000644,SMB,2025-01-09,,metered_month_to_month,,active
SUB-0000153,ACC-000645,SMB,2022-06-25,2025-01-25,metered_month_to_month,,churned
SUB-0000154,ACC-000646,SMB,2025-12-14,,metered_month_to_month,,active
SUB-0000155,ACC-000647,SMB,2024-06-11,,metered_month_to_month,,active
SUB-0000156,ACC-000649,SMB,2025-09-12,,metered_month_to_month,,active
SUB-0000157,ACC-000650,SMB,2024-12-05,,metered_month_to_month,,active
SUB-0000158,ACC-000651,SMB,2024-02-18,,metered_month_to_month,,active
SUB-0000159,ACC-000652,SMB,2025-10-03,,metered_month_to_month,,active
SUB-0000160,ACC-000653,SMB,2025-09-23,,metered_month_to_month,,active
SUB-0000161,ACC-000654,SMB,2024-10-10,,metered_month_to_month,,active
SUB-0000162,ACC-000656,SMB,2022-10-10,2023-08-10,metered_month_to_month,,churned
SUB-0000163,ACC-000657,SMB,2025-04-15,,metered_month_to_month,,active
SUB-0000164,ACC-000658,SMB,2023-06-26,2024-01-26,metered_month_to_month,,churned
SUB-0000165,ACC-000659,SMB,2025-11-10,,metered_month_to_month,,active
SUB-0000166,ACC-000660,SMB,2023-12-07,,metered_month_to_month,,active
SUB-0000167,ACC-000661,SMB,2023-05-06,,metered_month_to_month,,active
SUB-0000168,ACC-000662,SMB,2021-11-27,,metered_month_to_month,,active
SUB-0000169,ACC-000663,SMB,2024-06-06,,metered_month_to_month,,active
SUB-0000170,ACC-000664,SMB,2025-04-24,,metered_month_to_month,,active
SUB-0000171,ACC-000666,SMB,2025-08-02,,metered_month_to_month,,active
SUB-0000172,ACC-000667,SMB,2021-03-24,,metered_month_to_month,,active
SUB-0000173,ACC-000668,SMB,2025-11-28,,metered_month_to_month,,active
SUB-0000174,ACC-000669,SMB,2024-05-06,2025-07-06,metered_month_to_month,,churned
SUB-0000175,ACC-000670,SMB,2024-11-17,,metered_month_to_month,,active
SUB-0000176,ACC-000671,SMB,2022-12-18,,metered_month_to_month,,active
SUB-0000177,ACC-000672,SMB,2025-06-12,,metered_month_to_month,,active
SUB-0000178,ACC-000673,SMB,2023-10-10,,metered_month_to_month,,active
SUB-0000179,ACC-000674,SMB,2025-06-28,,metered_month_to_month,,active
SUB-0000180,ACC-000675,SMB,2025-06-08,2025-08-08,metered_month_to_month,,churned
SUB-0000181,ACC-000676,SMB,2024-12-28,,metered_month_to_month,,active
SUB-0000182,ACC-000677,SMB,2024-03-21,2025-10-21,metered_month_to_month,,churned
SUB-0000183,ACC-000678,SMB,2022-06-04,,metered_month_to_month,,active
SUB-0000184,ACC-000680,SMB,2022-02-14,2024-11-14,metered_month_to_month,,churned
SUB-0000185,ACC-000681,SMB,2024-10-16,,metered_month_to_month,,active
SUB-0000186,ACC-000682,SMB,2025-06-10,,metered_month_to_month,,active
SUB-0000187,ACC-000685,SMB,2024-12-04,,metered_month_to_month,,active
SUB-0000188,ACC-000686,SMB,2025-01-01,2025-06-01,metered_month_to_month,,churned
SUB-0000189,ACC-000687,SMB,2023-05-13,,metered_month_to_month,,active
SUB-0000190,ACC-000688,SMB,2025-11-27,,metered_month_to_month,,active
SUB-0000191,ACC-000689,SMB,2025-07-02,,metered_month_to_month,,active
SUB-0000192,ACC-000690,SMB,2023-12-08,2024-04-08,metered_month_to_month,,churned
SUB-0000193,ACC-000691,SMB,2020-03-25,2023-05-25,metered_month_to_month,,churned
SUB-0000194,ACC-000692,SMB,2025-03-22,,metered_month_to_month,,active
SUB-0000195,ACC-000693,SMB,2025-07-23,,metered_month_to_month,,active
SUB-0000196,ACC-000694,SMB,2023-04-16,,metered_month_to_month,,active
SUB-0000197,ACC-000695,SMB,2025-01-15,,metered_month_to_month,,active
SUB-0000198,ACC-000696,SMB,2024-12-02,,metered_month_to_month,,active
SUB-0000199,ACC-000697,SMB,2023-01-18,,metered_month_to_month,,active
SUB-0000200,ACC-000699,SMB,2025-07-09,,metered_month_to_month,,active
SUB-0000201,ACC-000700,SMB,2025-12-12,,metered_month_to_month,,active
SUB-0000202,ACC-000701,SMB,2024-03-14,2025-06-14,metered_month_to_month,,churned
SUB-0000203,ACC-000702,SMB,2025-12-09,,metered_month_to_month,,active
SUB-0000204,ACC-000703,SMB,2024-10-07,,metered_month_to_month,,active
SUB-0000205,ACC-000704,SMB,2023-06-10,,metered_month_to_month,,active
SUB-0000206,ACC-000705,SMB,2022-11-28,2023-02-28,metered_month_to_month,,churned
SUB-0000207,ACC-000706,SMB,2023-05-27,2023-07-27,metered_month_to_month,,churned
SUB-0000208,ACC-000708,SMB,2024-01-07,2025-11-07,metered_month_to_month,,churned
SUB-0000209,ACC-000709,SMB,2023-02-06,,metered_month_to_month,,active
SUB-0000210,ACC-000710,SMB,2025-04-20,,metered_month_to_month,,active
SUB-0000211,ACC-000711,SMB,2025-08-13,,metered_month_to_month,,active
SUB-0000212,ACC-000712,SMB,2024-06-21,,metered_month_to_month,,active
SUB-0000213,ACC-000713,SMB,2020-10-04,2023-10-04,metered_month_to_month,,churned
SUB-0000214,ACC-000714,SMB,2024-10-26,,metered_month_to_month,,active
SUB-0000215,ACC-000715,SMB,2024-11-12,,metered_month_to_month,,active
SUB-0000216,ACC-000716,SMB,2025-12-09,,metered_month_to_month,,active
SUB-0000217,ACC-000717,SMB,2023-06-12,2024-08-12,metered_month_to_month,,churned
SUB-0000218,ACC-000718,SMB,2024-05-19,2025-07-19,metered_month_to_month,,churned
SUB-0000219,ACC-000719,SMB,2025-06-09,,metered_month_to_month,,active
SUB-0000220,ACC-000721,SMB,2025-12-24,,metered_month_to_month,,active
SUB-0000221,ACC-000722,SMB,2025-06-28,,metered_month_to_month,,active
SUB-0000222,ACC-000723,SMB,2024-03-04,,metered_month_to_month,,active
SUB-0000223,ACC-000724,SMB,2025-03-15,,metered_month_to_month,,active
SUB-0000224,ACC-000725,SMB,2025-08-18,,metered_month_to_month,,active
SUB-0000225,ACC-000726,SMB,2025-05-20,,metered_month_to_month,,active
SUB-0000226,ACC-000727,SMB,2020-08-30,2021-08-28,metered_month_to_month,,churned
SUB-0000227,ACC-000728,SMB,2025-02-23,2025-04-23,metered_month_to_month,,churned
SUB-0000228,ACC-000730,SMB,2025-10-11,,metered_month_to_month,,active
SUB-0000229,ACC-000732,SMB,2022-02-04,,metered_month_to_month,,active
SUB-0000230,ACC-000733,SMB,2023-10-05,,metered_month_to_month,,active
SUB-0000231,ACC-000734,SMB,2024-04-06,,metered_month_to_month,,active
SUB-0000232,ACC-000735,SMB,2025-12-26,,metered_month_to_month,,active
SUB-0000233,ACC-000736,SMB,2025-12-04,,metered_month_to_month,,active
SUB-0000234,ACC-000737,SMB,2025-08-22,,metered_month_to_month,,active
SUB-0000235,ACC-000738,SMB,2023-11-18,,metered_month_to_month,,active
SUB-0000236,ACC-000739,SMB,2025-06-10,,metered_month_to_month,,active
SUB-0000237,ACC-000741,SMB,2025-01-23,2025-05-23,metered_month_to_month,,churned
SUB-0000238,ACC-000742,SMB,2025-07-04,,metered_month_to_month,,active
SUB-0000239,ACC-000744,SMB,2023-07-04,2025-08-04,metered_month_to_month,,churned
SUB-0000240,ACC-000745,SMB,2025-07-20,,metered_month_to_month,,active
SUB-0000241,ACC-000746,SMB,2020-01-16,,metered_month_to_month,,active
SUB-0000242,ACC-000747,SMB,2025-07-22,,metered_month_to_month,,active
SUB-0000243,ACC-000748,SMB,2022-05-22,,metered_month_to_month,,active
SUB-0000244,ACC-000749,SMB,2025-08-13,,metered_month_to_month,,active
SUB-0000245,ACC-000750,SMB,2025-11-10,,metered_month_to_month,,active
SUB-0000246,ACC-000751,SMB,2024-05-10,2024-08-10,metered_month_to_month,,churned
SUB-0000247,ACC-000752,SMB,2025-10-27,,metered_month_to_month,,active
SUB-0000248,ACC-000753,SMB,2020-11-27,2023-02-27,metered_month_to_month,,churned
SUB-0000249,ACC-000755,SMB,2025-08-01,,metered_month_to_month,,active
SUB-0000250,ACC-000756,SMB,2024-10-21,,metered_month_to_month,,active
SUB-0000251,ACC-000757,SMB,2023-04-25,2024-03-25,metered_month_to_month,,churned
SUB-0000252,ACC-000758,SMB,2021-04-09,2023-05-09,metered_month_to_month,,churned
SUB-0000253,ACC-000759,SMB,2025-03-07,2025-05-07,metered_month_to_month,,churned
SUB-0000254,ACC-000760,SMB,2025-08-01,,metered_month_to_month,,active
SUB-0000255,ACC-000761,SMB,2025-04-04,,metered_month_to_month,,active
SUB-0000256,ACC-000762,SMB,2025-10-10,,metered_month_to_month,,active
SUB-0000257,ACC-000763,SMB,2023-06-10,2025-10-10,metered_month_to_month,,churned
SUB-0000258,ACC-000764,SMB,2024-01-22,,metered_month_to_month,,active
SUB-0000259,ACC-000766,SMB,2023-10-13,2024-12-13,metered_month_to_month,,churned
SUB-0000260,ACC-000767,SMB,2024-05-22,,metered_month_to_month,,active
SUB-0000261,ACC-000769,SMB,2025-11-02,,metered_month_to_month,,active
SUB-0000262,ACC-000771,SMB,2024-12-21,2025-08-21,metered_month_to_month,,churned
SUB-0000263,ACC-000772,SMB,2025-06-15,,metered_month_to_month,,active
SUB-0000264,ACC-000774,SMB,2025-01-11,,metered_month_to_month,,active
SUB-0000265,ACC-000775,SMB,2024-01-02,2025-11-02,metered_month_to_month,,churned
SUB-0000266,ACC-000776,SMB,2025-09-19,,metered_month_to_month,,active
SUB-0000267,ACC-000777,SMB,2020-01-11,2022-03-11,metered_month_to_month,,churned
SUB-0000268,ACC-000778,SMB,2023-03-09,2025-01-09,metered_month_to_month,,churned
SUB-0000269,ACC-000779,SMB,2025-11-02,,metered_month_to_month,,active
SUB-0000270,ACC-000780,SMB,2025-07-10,,metered_month_to_month,,active
SUB-0000271,ACC-000781,SMB,2025-10-17,,metered_month_to_month,,active
SUB-0000272,ACC-000782,SMB,2020-09-22,2020-11-22,metered_month_to_month,,churned
SUB-0000273,ACC-000783,SMB,2025-10-18,,metered_month_to_month,,active
SUB-0000274,ACC-000784,SMB,2024-11-19,,metered_month_to_month,,active
SUB-0000275,ACC-000785,SMB,2023-09-01,,metered_month_to_month,,active
SUB-0000276,ACC-000786,SMB,2024-02-24,,metered_month_to_month,,active
SUB-0000277,ACC-000788,SMB,2025-11-15,,metered_month_to_month,,active
SUB-0000278,ACC-000789,SMB,2024-07-07,2025-04-07,metered_month_to_month,,churned
SUB-0000279,ACC-000790,SMB,2024-04-23,,metered_month_to_month,,active
SUB-0000280,ACC-000791,SMB,2025-02-10,,metered_month_to_month,,active
SUB-0000281,ACC-000792,SMB,2025-07-13,,metered_month_to_month,,active
SUB-0000282,ACC-000793,SMB,2025-04-07,,metered_month_to_month,,active
SUB-0000283,ACC-000794,SMB,2024-07-19,2025-10-19,metered_month_to_month,,churned
SUB-0000284,ACC-000795,SMB,2025-03-19,2025-05-19,metered_month_to_month,,churned
SUB-0000285,ACC-000797,SMB,2023-11-12,2024-10-12,metered_month_to_month,,churned
SUB-0000286,ACC-000798,SMB,2022-02-18,2023-07-18,metered_month_to_month,,churned
SUB-0000287,ACC-000799,SMB,2020-12-27,2022-10-27,metered_month_to_month,,churned
SUB-0000288,ACC-000800,SMB,2025-01-16,,metered_month_to_month,,active
SUB-0000289,ACC-000801,SMB,2023-11-25,,metered_month_to_month,,active
SUB-0000290,ACC-000802,SMB,2025-05-21,,metered_month_to_month,,active
SUB-0000291,ACC-000803,SMB,2025-05-20,,metered_month_to_month,,active
SUB-0000292,ACC-000804,SMB,2023-02-14,,metered_month_to_month,,active
SUB-0000293,ACC-000805,SMB,2024-01-05,2025-06-05,metered_month_to_month,,churned
SUB-0000294,ACC-000806,SMB,2025-09-01,,metered_month_to_month,,active
SUB-0000295,ACC-000807,SMB,2023-09-22,2023-11-22,metered_month_to_month,,churned
SUB-0000296,ACC-000808,SMB,2025-02-07,,metered_month_to_month,,active
SUB-0000297,ACC-000810,SMB,2024-07-28,,metered_month_to_month,,active
SUB-0000298,ACC-000811,SMB,2023-02-17,,metered_month_to_month,,active
SUB-0000299,ACC-000812,SMB,2025-01-14,,metered_month_to_month,,active
SUB-0000300,ACC-000813,SMB,2022-05-02,,metered_month_to_month,,active
SUB-0000301,ACC-000814,SMB,2024-10-21,2024-12-21,metered_month_to_month,,churned
SUB-0000302,ACC-000815,SMB,2021-08-08,2024-09-08,metered_month_to_month,,churned
SUB-0000303,ACC-000816,SMB,2025-10-04,,metered_month_to_month,,active
SUB-0000304,ACC-000817,SMB,2025-03-10,2025-10-10,metered_month_to_month,,churned
SUB-0000305,ACC-000820,SMB,2025-01-01,,metered_month_to_month,,active
SUB-0000306,ACC-000821,SMB,2023-02-19,,metered_month_to_month,,active
SUB-0000307,ACC-000822,SMB,2024-11-15,,metered_month_to_month,,active
SUB-0000308,ACC-000823,SMB,2024-05-15,,metered_month_to_month,,active
SUB-0000309,ACC-000824,SMB,2024-01-13,2025-04-13,metered_month_to_month,,churned
SUB-0000310,ACC-000825,SMB,2023-06-17,,metered_month_to_month,,active
SUB-0000311,ACC-000826,SMB,2025-11-26,,metered_month_to_month,,active
SUB-0000312,ACC-000827,SMB,2023-03-23,,metered_month_to_month,,active
SUB-0000313,ACC-000828,SMB,2025-12-18,,metered_month_to_month,,active
SUB-0000314,ACC-000830,SMB,2020-03-14,2024-09-14,metered_month_to_month,,churned
SUB-0000315,ACC-000831,SMB,2025-01-08,,metered_month_to_month,,active
SUB-0000316,ACC-000832,SMB,2024-03-27,,metered_month_to_month,,active
SUB-0000317,ACC-000833,SMB,2022-07-30,,metered_month_to_month,,active
SUB-0000318,ACC-000834,SMB,2024-06-24,,metered_month_to_month,,active
SUB-0000319,ACC-000835,SMB,2023-07-10,,metered_month_to_month,,active
SUB-0000320,ACC-000836,SMB,2023-08-12,2025-08-12,metered_month_to_month,,churned
SUB-0000321,ACC-000837,SMB,2025-01-26,,metered_month_to_month,,active
SUB-0000322,ACC-000839,SMB,2025-04-02,,metered_month_to_month,,active
SUB-0000323,ACC-000840,SMB,2024-06-07,,metered_month_to_month,,active
SUB-0000324,ACC-000841,SMB,2025-11-11,,metered_month_to_month,,active
SUB-0000325,ACC-000842,SMB,2024-08-18,,metered_month_to_month,,active
SUB-0000326,ACC-000843,SMB,2024-02-15,2025-10-15,metered_month_to_month,,churned
SUB-0000327,ACC-000844,SMB,2025-09-02,,metered_month_to_month,,active
SUB-0000328,ACC-000845,SMB,2025-11-22,,metered_month_to_month,,active
SUB-0000329,ACC-000846,SMB,2020-11-29,2022-07-28,metered_month_to_month,,churned
SUB-0000330,ACC-000847,SMB,2024-11-15,,metered_month_to_month,,active
SUB-0000331,ACC-000848,SMB,2023-02-23,2023-05-23,metered_month_to_month,,churned
SUB-0000332,ACC-000849,SMB,2024-05-16,2024-12-16,metered_month_to_month,,churned
SUB-0000333,ACC-000850,SMB,2024-03-07,,metered_month_to_month,,active
SUB-0000334,ACC-000851,SMB,2024-04-28,,metered_month_to_month,,active
SUB-0000335,ACC-000852,SMB,2024-12-02,,metered_month_to_month,,active
SUB-0000336,ACC-000853,SMB,2025-12-07,,metered_month_to_month,,active
SUB-0000337,ACC-000854,SMB,2024-06-25,,metered_month_to_month,,active
SUB-0000338,ACC-000855,SMB,2023-07-20,2024-03-20,metered_month_to_month,,churned
SUB-0000339,ACC-000856,SMB,2023-11-17,,metered_month_to_month,,active
SUB-0000340,ACC-000857,SMB,2024-10-15,,metered_month_to_month,,active
