account_id,segment,effective_date,trigger_reason
ACC-000052,Enterprise,2025-06-17,initial_firmographic
ACC-000053,Enterprise,2025-07-06,initial_firmographic
ACC-000054,Enterprise,2025-10-16,initial_firmographic
ACC-000055,Enterprise,2023-02-15,initial_firmographic
ACC-000056,Enterprise,2025-11-03,initial_firmographic
ACC-000057,Enterprise,2023-04-08,initial_firmographic
ACC-000058,Enterprise,2022-09-21,initial_firmographic
ACC-000059,Enterprise,2024-04-08,initial_firmographic
ACC-000060,Enterprise,2025-08-09,initial_firmographic
ACC-000061,Enterprise,2023-05-06,initial_firmographic
ACC-000062,Enterprise,2023-08-21,initial_firmographic
ACC-000063,Enterprise,2025-04-08,initial_firmographic
ACC-000064,Enterprise,2024-05-12,initial_firmographic
ACC-000065,Enterprise,2024-11-27,initial_firmographic
ACC-000066,Enterprise,2024-07-08,initial_firmographic
ACC-000067,Enterprise,2021-09-07,initial_firmographic
ACC-000068,Enterprise,2025-11-01,initial_firmographic
ACC-000069,Enterprise,2024-06-10,initial_firmographic
ACC-000070,Enterprise,2025-09-06,initial_firmographic
ACC-000071,Enterprise,2025-11-08,initial_firmographic
ACC-000072,Enterprise,2025-08-13,initial_firmographic
ACC-000073,Enterprise,2020-10-23,initial_firmographic
ACC-000074,Enterprise,2024-04-21,initial_firmographic
ACC-000075,Enterprise,2025-04-04,initial_firmographic
ACC-000076,Enterprise,2025-03-01,initial_firmographic
ACC-000077,Enterprise,2023-10-27,initial_firmographic
ACC-000078,Enterprise,2022-06-10,initial_firmographic
ACC-000079,Enterprise,2023-02-08,initial_firmographic
ACC-000080,Enterprise,2020-09-19,initial_firmographic
ACC-000081,Enterprise,2024-04-26,initial_firmographic
ACC-000082,Enterprise,2024-11-12,initial_firmographic
ACC-000083,Enterprise,2023-11-28,initial_firmographic
ACC-000084,Enterprise,2025-07-22,initial_firmographic
ACC-000085,Enterprise,2024-08-19,initial_firmographic
ACC-000086,Enterprise,2025-04-02,initial_firmographic
ACC-000087,Enterprise,2025-08-25,initial_firmographic
ACC-000088,Enterprise,2024-01-09,initial_firmographic
ACC-000089,Enterprise,2024-02-17,initial_firmographic
ACC-000090,Enterprise,2024-04-13,initial_firmographic
ACC-000091,Enterprise,2024-09-22,initial_firmographic
ACC-000092,Enterprise,2023-10-14,initial_firmographic
ACC-000093,Enterprise,2025-11-10,initial_firmographic
ACC-000094,Enterprise,2024-01-27,initial_firmographic
ACC-000095,Enterprise,2024-01-10,initial_firmographic
ACC-000096,Enterprise,2023-08-20,initial_firmographic
ACC-000097,Enterprise,2025-07-01,initial_firmographic
ACC-000098,Enterprise,2025-10-24,initial_firmographic
ACC-000099,Enterprise,2021-03-12,initial_firmographic
ACC-000100,Enterprise,2021-03-14,initial_firmographic
ACC-000101,Enterprise,2024-04-24,initial_firmographic
ACC-000102,Enterprise,2025-11-16,initial_firmographic
ACC-000103,Enterprise,2025-06-12,initial_firmographic
ACC-000104,Enterprise,2024-05-27,initial_firmographic
ACC-000105,Enterprise,2022-07-14,initial_firmographic
ACC-000106,Enterprise,2020-07-08,initial_firmographic
ACC-000107,Enterprise,2023-03-12,initial_firmographic
ACC-000108,Enterprise,2025-06-27,initial_firmographic
ACC-000109,Enterprise,2024-09-05,initial_firmographic
ACC-000110,Enterprise,2024-09-15,initial_firmographic
ACC-000111,Enterprise,2021-03-21,initial_firmographic
ACC-000112,Enterprise,2025-11-06,initial_firmographic
ACC-000113,Commercial,2024-07-18,initial_firmographic
ACC-000114,Commercial,2024-02-11,initial_firmographic
ACC-000115,Commercial,2025-10-03,initial_firmographic
ACC-000116,Commercial,2021-07-03,initial_firmographic
ACC-000117,Commercial,2024-12-20,initial_firmographic
ACC-000118,Commercial,2023-03-08,initial_firmographic
ACC-000119,Commercial,2025-03-27,initial_firmographic
ACC-000120,Commercial,2025-09-07,initial_firmographic
ACC-000121,Commercial,2024-06-17,initial_firmographic
ACC-000122,Commercial,2024-03-22,initial_firmographic
ACC-000123,Commercial,2025-12-03,initial_firmographic
ACC-000124,Commercial,2025-09-08,initial_firmographic
ACC-000125,Commercial,2021-07-24,initial_firmographic
ACC-000126,Commercial,2024-08-05,initial_firmographic
ACC-000127,Commercial,2025-02-20,initial_firmographic
ACC-000128,Commercial,2024-06-21,initial_firmographic
ACC-000129,Commercial,2024-08-01,initial_firmographic
ACC-000130,Commercial,2025-11-06,initial_firmographic
ACC-000131,Commercial,2024-05-13,initial_firmographic
ACC-000132,Commercial,2025-12-19,initial_firmographic
ACC-000133,Commercial,2025-08-12,initial_firmographic
ACC-000134,Commercial,2024-03-10,initial_firmographic
ACC-000135,Commercial,2025-01-09,initial_firmographic
ACC-000135,Enterprise,2025-09-01,usage_threshold
ACC-000136,Commercial,2025-12-01,initial_firmographic
ACC-000137,Commercial,2025-06-19,initial_firmographic
ACC-000138,Commercial,2024-04-11,initial_firmographic
ACC-000139,Commercial,2023-06-12,initial_firmographic
ACC-000140,Commercial,2025-08-14,initial_firmographic
ACC-000141,Commercial,2025-03-11,initial_firmographic
ACC-000142,Commercial,2021-01-13,initial_firmographic
ACC-000143,Commercial,2025-03-13,initial_firmographic
ACC-000143,Enterprise,2025-09-01,usage_threshold
ACC-000144,Commercial,2024-06-05,initial_firmographic
ACC-000145,Commercial,2023-07-08,initial_firmographic
ACC-000145,Enterprise,2024-02-01,firmographic_rescore
ACC-000146,Commercial,2023-08-01,initial_firmographic
ACC-000147,Commercial,2025-01-17,initial_firmographic
ACC-000148,Commercial,2024-07-15,initial_firmographic
ACC-000149,Commercial,2024-09-21,initial_firmographic
ACC-000150,Commercial,2023-03-27,initial_firmographic
ACC-000151,Commercial,2025-06-17,initial_firmographic
ACC-000152,Commercial,2025-01-08,initial_firmographic
ACC-000153,Commercial,2020-10-30,initial_firmographic
ACC-000154,Commercial,2025-12-23,initial_firmographic
ACC-000155,Commercial,2025-09-12,initial_firmographic
ACC-000156,Commercial,2021-02-03,initial_firmographic
ACC-000157,Commercial,2025-06-13,initial_firmographic
ACC-000158,Commercial,2023-04-09,initial_firmographic
ACC-000159,Commercial,2025-07-24,initial_firmographic
ACC-000160,Commercial,2022-07-21,initial_firmographic
ACC-000160,Enterprise,2024-06-01,firmographic_rescore
ACC-000161,Commercial,2024-08-16,initial_firmographic
ACC-000162,Commercial,2020-07-29,initial_firmographic
ACC-000163,Commercial,2024-09-24,initial_firmographic
ACC-000164,Commercial,2021-12-11,initial_firmographic
ACC-000165,Commercial,2023-12-14,initial_firmographic
ACC-000166,Commercial,2024-12-19,initial_firmographic
ACC-000167,Commercial,2024-10-25,initial_firmographic
ACC-000167,Enterprise,2025-07-01,usage_threshold
ACC-000168,Commercial,2025-06-04,initial_firmographic
ACC-000169,Commercial,2024-05-03,initial_firmographic
ACC-000170,Commercial,2025-12-14,initial_firmographic
ACC-000171,Commercial,2024-01-09,initial_firmographic
ACC-000172,Commercial,2023-07-02,initial_firmographic
ACC-000173,Commercial,2024-07-10,initial_firmographic
ACC-000174,Commercial,2025-11-11,initial_firmographic
ACC-000175,Commercial,2021-09-09,initial_firmographic
ACC-000176,Commercial,2024-09-20,initial_firmographic
ACC-000177,Commercial,2023-07-28,initial_firmographic
ACC-000178,Commercial,2023-03-09,initial_firmographic
ACC-000178,Enterprise,2025-07-01,usage_threshold
ACC-000179,Commercial,2021-09-06,initial_firmographic
ACC-000180,Commercial,2025-02-14,initial_firmographic
ACC-000181,Commercial,2025-03-22,initial_firmographic
ACC-000182,Commercial,2024-11-15,initial_firmographic
ACC-000183,Commercial,2025-02-03,initial_firmographic
ACC-000184,Commercial,2024-03-26,initial_firmographic
ACC-000185,Commercial,2020-08-10,initial_firmographic
ACC-000185,Enterprise,2025-04-01,firmographic_rescore
ACC-000186,Commercial,2024-06-01,initial_firmographic
ACC-000187,Commercial,2025-08-23,initial_firmographic
ACC-000188,Commercial,2023-08-23,initial_firmographic
ACC-000189,Commercial,2024-05-27,initial_firmographic
ACC-000190,Commercial,2024-10-20,initial_firmographic
ACC-000191,Commercial,2024-02-14,initial_firmographic
ACC-000192,Commercial,2025-07-02,initial_firmographic
ACC-000193,Commercial,2024-04-13,initial_firmographic
ACC-000194,Commercial,2025-07-04,initial_firmographic
ACC-000195,Commercial,2025-05-09,initial_firmographic
ACC-000196,Commercial,2024-06-11,initial_firmographic
ACC-000197,Commercial,2025-08-11,initial_firmographic
ACC-000198,Commercial,2023-11-06,initial_firmographic
ACC-000199,Commercial,2025-01-03,initial_firmographic
ACC-000200,Commercial,2020-10-05,initial_firmographic
ACC-000201,Commercial,2025-04-05,initial_firmographic
ACC-000202,Commercial,2025-01-04,initial_firmographic
ACC-000203,Commercial,2021-07-31,initial_firmographic
ACC-000204,Commercial,2025-07-26,initial_firmographic
ACC-000205,Commercial,2024-04-25,initial_firmographic
ACC-000206,Commercial,2023-03-08,initial_firmographic
ACC-000207,Commercial,2023-09-01,initial_firmographic
ACC-000208,Commercial,2021-11-05,initial_firmographic
ACC-000209,Commercial,2024-10-11,initial_firmographic
ACC-000209,Enterprise,2025-08-01,firmographic_rescore
ACC-000210,Commercial,2025-05-08,initial_firmographic
ACC-000211,Commercial,2025-07-05,initial_firmographic
ACC-000212,Commercial,2022-08-13,initial_firmographic
ACC-000213,Commercial,2023-10-11,initial_firmographic
ACC-000213,Enterprise,2024-02-01,firmographic_rescore
ACC-000214,Commercial,2025-06-06,initial_firmographic
ACC-000215,Commercial,2020-07-31,initial_firmographic
ACC-000216,Commercial,2024-10-28,initial_firmographic
ACC-000217,Commercial,2023-11-25,initial_firmographic
ACC-000218,Commercial,2024-08-22,initial_firmographic
ACC-000219,Commercial,2025-01-14,initial_firmographic
ACC-000220,Commercial,2022-06-18,initial_firmographic
ACC-000221,Commercial,2020-01-13,initial_firmographic
ACC-000222,Commercial,2025-06-13,initial_firmographic
ACC-000223,Commercial,2025-07-19,initial_firmographic
ACC-000224,Commercial,2025-06-11,initial_firmographic
ACC-000225,Commercial,2022-08-03,initial_firmographic
ACC-000226,Commercial,2025-01-07,initial_firmographic
ACC-000227,Commercial,2025-08-08,initial_firmographic
ACC-000228,Commercial,2022-11-20,initial_firmographic
ACC-000229,Commercial,2024-06-23,initial_firmographic
ACC-000230,Commercial,2023-01-02,initial_firmographic
ACC-000231,Commercial,2025-05-28,initial_firmographic
ACC-000231,Enterprise,2025-12-01,firmographic_rescore
ACC-000232,Commercial,2022-08-21,initial_firmographic
ACC-000233,Commercial,2021-11-04,initial_firmographic
ACC-000233,Enterprise,2024-12-01,firmographic_rescore
ACC-000234,Commercial,2022-01-22,initial_firmographic
ACC-000235,Commercial,2023-02-05,initial_firmographic
ACC-000235,Enterprise,2024-11-01,usage_threshold
ACC-000236,Commercial,2025-06-02,initial_firmographic
ACC-000237,Commercial,2025-01-17,initial_firmographic
ACC-000238,Commercial,2024-09-28,initial_firmographic
ACC-000238,Enterprise,2025-07-01,firmographic_rescore
ACC-000239,Commercial,2023-02-19,initial_firmographic
ACC-000240,Commercial,2025-06-18,initial_firmographic
ACC-000241,Commercial,2024-07-23,initial_firmographic
ACC-000242,Commercial,2024-11-23,initial_firmographic
ACC-000243,Commercial,2020-12-29,initial_firmographic
ACC-000244,Commercial,2025-12-07,initial_firmographic
ACC-000245,Commercial,2025-09-03,initial_firmographic
ACC-000246,Commercial,2025-02-27,initial_firmographic
ACC-000247,Commercial,2024-04-08,initial_firmographic
ACC-000248,Commercial,2025-12-15,initial_firmographic
ACC-000249,Commercial,2025-08-16,initial_firmographic
ACC-000250,Commercial,2023-02-20,initial_firmographic
ACC-000251,Commercial,2025-06-21,initial_firmographic
ACC-000252,Commercial,2020-12-20,initial_firmographic
ACC-000253,Commercial,2020-10-27,initial_firmographic
ACC-000254,Commercial,2020-05-29,initial_firmographic
ACC-000255,Commercial,2025-10-21,initial_firmographic
ACC-000256,Commercial,2024-04-26,initial_firmographic
ACC-000257,Commercial,2023-07-10,initial_firmographic
ACC-000258,Commercial,2024-09-21,initial_firmographic
ACC-000259,Commercial,2024-08-02,initial_firmographic
ACC-000260,Commercial,2025-08-06,initial_firmographic
ACC-000261,Commercial,2025-10-24,initial_firmographic
ACC-000262,Commercial,2025-10-14,initial_firmographic
ACC-000263,Commercial,2022-03-29,initial_firmographic
ACC-000263,Enterprise,2024-02-01,usage_threshold
ACC-000264,Commercial,2024-02-23,initial_firmographic
ACC-000265,Commercial,2025-09-23,initial_firmographic
ACC-000266,Commercial,2024-07-26,initial_firmographic
ACC-000267,Commercial,2020-06-02,initial_firmographic
ACC-000268,Commercial,2021-05-10,initial_firmographic
ACC-000269,Commercial,2021-06-04,initial_firmographic
ACC-000270,Commercial,2025-01-26,initial_firmographic
ACC-000271,Commercial,2023-04-07,initial_firmographic
ACC-000272,Commercial,2021-12-13,initial_firmographic
ACC-000273,Commercial,2025-01-09,initial_firmographic
ACC-000274,Commercial,2023-04-25,initial_firmographic
ACC-000275,Commercial,2025-04-11,initial_firmographic
ACC-000276,Commercial,2025-11-03,initial_firmographic
ACC-000277,Commercial,2025-10-25,initial_firmographic
ACC-000278,Commercial,2024-05-15,initial_firmographic
ACC-000279,Commercial,2025-10-18,initial_firmographic
ACC-000280,Commercial,2023-06-27,initial_firmographic
ACC-000281,Commercial,2024-12-25,initial_firmographic
ACC-000282,Commercial,2025-12-09,initial_firmographic
ACC-000283,Commercial,2022-08-20,initial_firmographic
ACC-000284,Commercial,2023-05-01,initial_firmographic
ACC-000285,Commercial,2024-02-12,initial_firmographic
ACC-000285,Enterprise,2024-10-01,firmographic_rescore
ACC-000286,Commercial,2025-08-04,initial_firmographic
ACC-000287,Commercial,2024-10-08,initial_firmographic
ACC-000287,Enterprise,2025-05-01,usage_threshold
ACC-000288,Commercial,2020-01-30,initial_firmographic
ACC-000289,Commercial,2023-07-25,initial_firmographic
ACC-000290,Commercial,2023-05-01,initial_firmographic
ACC-000291,Commercial,2024-12-03,initial_firmographic
ACC-000292,Commercial,2020-04-17,initial_firmographic
ACC-000293,Commercial,2025-06-05,initial_firmographic
ACC-000294,Commercial,2025-01-13,initial_firmographic
ACC-000294,Enterprise,2025-07-01,firmographic_rescore
ACC-000295,Commercial,2025-05-02,initial_firmographic
ACC-000296,Commercial,2025-09-07,initial_firmographic
ACC-000297,Commercial,2024-11-11,initial_firmographic
ACC-000298,Commercial,2020-08-11,initial_firmographic
ACC-000298,Enterprise,2021-07-01,firmographic_rescore
ACC-000299,Commercial,2025-09-27,initial_firmographic
ACC-000300,Commercial,2024-10-11,initial_firmographic
ACC-000301,Commercial,2025-05-02,initial_firmographic
ACC-000302,Commercial,2024-11-06,initial_firmographic
ACC-000302,Enterprise,2025-07-01,usage_threshold
ACC-000303,Commercial,2024-08-24,initial_firmographic
ACC-000304,Commercial,2024-07-16,initial_firmographic
ACC-000305,Commercial,2025-11-25,initial_firmographic
ACC-000306,Commercial,2024-10-10,initial_firmographic
ACC-000307,Commercial,2025-10-18,initial_firmographic
ACC-000308,Commercial,2025-02-01,initial_firmographic
ACC-000308,Enterprise,2025-05-01,usage_threshold
ACC-000309,Commercial,2024-04-22,initial_firmographic
ACC-000310,Commercial,2025-01-02,initial_firmographic
ACC-000311,Commercial,2023-11-21,initial_firmographic
ACC-000312,Commercial,2025-11-18,initial_firmographic
ACC-000313,Commercial,2023-01-15,initial_firmographic
ACC-000314,Commercial,2021-01-30,initial_firmographic
ACC-000315,Commercial,2023-01-02,initial_firmographic
ACC-000315,Enterprise,2024-06-01,firmographic_rescore
ACC-000316,Commercial,2023-02-01,initial_firmographic
ACC-000317,Commercial,2022-06-23,initial_firmographic
ACC-000318,Commercial,2021-03-25,initial_firmographic
ACC-000319,Commercial,2025-10-18,initial_firmographic
ACC-000320,Commercial,2021-02-21,initial_firmographic
ACC-000321,Commercial,2023-04-28,initial_firmographic
ACC-000322,Commercial,2020-12-30,initial_firmographic
ACC-000323,Commercial,2024-10-06,initial_firmographic
ACC-000324,Commercial,2024-01-26,initial_firmographic
ACC-000325,Commercial,2023-02-18,initial_firmographic
ACC-000326,Commercial,2025-01-26,initial_firmographic
ACC-000326,Enterprise,2025-07-01,firmographic_rescore
ACC-000327,Commercial,2024-12-15,initial_firmographic
ACC-000328,Commercial,2025-08-25,initial_firmographic
ACC-000328,Enterprise,2025-12-01,usage_threshold
ACC-000329,Commercial,2021-08-13,initial_firmographic
ACC-000330,Commercial,2020-10-19,initial_firmographic
ACC-000330,Enterprise,2022-03-01,usage_threshold
ACC-000331,Commercial,2023-10-01,initial_firmographic
ACC-000332,Commercial,2025-08-23,initial_firmographic
ACC-000333,Commercial,2025-01-17,initial_firmographic
ACC-000334,Commercial,2025-08-26,initial_firmographic
ACC-000334,Enterprise,2025-11-01,usage_threshold
ACC-000335,Commercial,2024-10-15,initial_firmographic
ACC-000336,Commercial,2023-09-19,initial_firmographic
ACC-000336,Enterprise,2024-01-01,usage_threshold
ACC-000337,Commercial,2022-03-13,initial_firmographic
ACC-000338,Commercial,2020-11-19,initial_firmographic
ACC-000339,Commercial,2020-02-12,initial_firmographic
ACC-000340,Commercial,2025-04-10,initial_firmographic
ACC-000341,Commercial,2023-02-04,initial_firmographic
ACC-000342,Commercial,2022-03-27,initial_firmographic
ACC-000343,Commercial,2023-07-24,initial_firmographic
ACC-000344,Commercial,2025-10-12,initial_firmographic
ACC-000345,Commercial,2024-10-07,initial_firmographic
ACC-000346,Commercial,2022-07-17,initial_firmographic
ACC-000347,Commercial,2024-07-02,initial_firmographic
ACC-000348,Commercial,2025-01-15,initial_firmographic
ACC-000348,Enterprise,2025-04-01,firmographic_rescore
ACC-000349,Commercial,2025-09-12,initial_firmographic
ACC-000350,Commercial,2024-06-06,initial_firmographic
ACC-000351,Commercial,2024-06-17,initial_firmographic
ACC-000352,Commercial,2024-06-21,initial_firmographic
ACC-000352,Enterprise,2025-01-01,usage_threshold
ACC-000353,Commercial,2024-03-01,initial_firmographic
ACC-000354,Commercial,2025-11-27,initial_firmographic
ACC-000355,Commercial,2025-07-28,initial_firmographic
ACC-000356,Commercial,2023-07-09,initial_firmographic
ACC-000357,Commercial,2023-05-18,initial_firmographic
ACC-000358,Commercial,2025-09-17,initial_firmographic
ACC-000359,Commercial,2025-08-15,initial_firmographic
ACC-000360,Commercial,2022-07-14,initial_firmographic
ACC-000361,Commercial,2024-12-17,initial_firmographic
ACC-000362,Commercial,2025-07-03,initial_firmographic
ACC-000362,Enterprise,2025-10-01,usage_threshold
ACC-000363,Commercial,2023-02-03,initial_firmographic
ACC-000364,Commercial,2024-03-18,initial_firmographic
ACC-000365,Commercial,2023-07-14,initial_firmographic
ACC-000366,Commercial,2022-07-10,initial_firmographic
ACC-000366,Enterprise,2023-11-01,usage_threshold
ACC-000367,Commercial,2025-08-27,initial_firmographic
ACC-000368,Commercial,2024-01-07,initial_firmographic
ACC-000369,Commercial,2025-08-23,initial_firmographic
ACC-000370,Commercial,2025-11-20,initial_firmographic
ACC-000371,Commercial,2025-01-06,initial_firmographic
ACC-000372,Commercial,2025-09-18,initial_firmographic
ACC-000373,Commercial,2025-11-20,initial_firmographic
ACC-000374,Commercial,2023-08-25,initial_firmographic
ACC-000375,Commercial,2025-04-25,initial_firmographic
ACC-000376,Commercial,2024-11-02,initial_firmographic
ACC-000377,Commercial,2023-06-23,initial_firmographic
ACC-000377,Enterprise,2025-04-01,usage_threshold
ACC-000378,Commercial,2025-08-05,initial_firmographic
ACC-000379,Commercial,2025-11-03,initial_firmographic
ACC-000380,Commercial,2024-08-20,initial_firmographic
ACC-000381,Commercial,2025-06-06,initial_firmographic
ACC-000382,Commercial,2020-07-14,initial_firmographic
ACC-000383,Commercial,2024-03-13,initial_firmographic
ACC-000384,Commercial,2024-11-02,initial_firmographic
ACC-000385,Commercial,2024-06-17,initial_firmographic
ACC-000385,Enterprise,2024-12-01,firmographic_rescore
ACC-000386,Commercial,2024-12-01,initial_firmographic
ACC-000387,Commercial,2025-10-14,initial_firmographic
ACC-000388,Commercial,2023-04-16,initial_firmographic
ACC-000389,Commercial,2024-08-01,initial_firmographic
ACC-000390,Commercial,2025-06-06,initial_firmographic
ACC-000391,Commercial,2024-07-19,initial_firmographic
ACC-000392,Commercial,2022-06-16,initial_firmographic
ACC-000393,Commercial,2025-02-01,initial_firmographic
ACC-000394,Commercial,2025-01-15,initial_firmographic
ACC-000395,Commercial,2023-07-19,initial_firmographic
ACC-000396,Commercial,2025-04-12,initial_firmographic
ACC-000396,Enterprise,2025-07-01,firmographic_rescore
ACC-000397,Commercial,2023-09-12,initial_firmographic
ACC-000398,Commercial,2024-10-02,initial_firmographic
ACC-000399,Commercial,2022-01-23,initial_firmographic
ACC-000400,Commercial,2024-04-12,initial_firmographic
ACC-000401,Commercial,2025-09-27,initial_firmographic
ACC-000402,Commercial,2021-11-15,initial_firmographic
ACC-000403,Commercial,2023-06-02,initial_firmographic
ACC-000404,Commercial,2025-05-05,initial_firmographic
ACC-000405,Commercial,2023-11-08,initial_firmographic
ACC-000406,Commercial,2025-09-05,initial_firmographic
ACC-000407,Commercial,2025-01-03,initial_firmographic
ACC-000408,Commercial,2023-09-19,initial_firmographic
ACC-000409,Commercial,2025-04-03,initial_firmographic
ACC-000410,Commercial,2024-09-01,initial_firmographic
ACC-000411,Commercial,2021-11-17,initial_firmographic
ACC-000412,Commercial,2023-10-17,initial_firmographic
ACC-000412,Enterprise,2024-06-01,usage_threshold
ACC-000413,Commercial,2020-09-15,initial_firmographic
ACC-000414,Commercial,2025-01-24,initial_firmographic
ACC-000415,Commercial,2024-01-19,initial_firmographic
ACC-000416,Commercial,2025-09-10,initial_firmographic
ACC-000417,Commercial,2024-12-20,initial_firmographic
ACC-000418,Commercial,2024-01-23,initial_firmographic
ACC-000419,Commercial,2025-11-15,initial_firmographic
ACC-000420,Commercial,2024-05-12,initial_firmographic
ACC-000420,Enterprise,2025-11-01,usage_threshold
ACC-000421,Commercial,2024-03-07,initial_firmographic
ACC-000422,Commercial,2025-05-11,initial_firmographic
ACC-000423,Commercial,2024-03-28,initial_firmographic
ACC-000423,Enterprise,2025-03-01,usage_threshold
ACC-000424,Commercial,2022-10-08,initial_firmographic
ACC-000425,Commercial,2023-11-16,initial_firmographic
ACC-000426,Commercial,2024-10-22,initial_firmographic
ACC-000427,Commercial,2025-11-22,initial_firmographic
ACC-000428,Commercial,2021-09-07,initial_firmographic
ACC-000429,Commercial,2021-05-28,initial_firmographic
ACC-000430,Commercial,2022-04-22,initial_firmographic
ACC-000431,Commercial,2025-05-02,initial_firmographic
ACC-000432,Commercial,2024-08-16,initial_firmographic
ACC-000433,Commercial,2023-08-17,initial_firmographic
ACC-000434,Commercial,2025-10-07,initial_firmographic
ACC-000435,Commercial,2021-08-18,initial_firmographic
ACC-000436,Commercial,2024-08-23,initial_firmographic
ACC-000437,Commercial,2020-07-12,initial_firmographic
ACC-000438,Commercial,2023-09-24,initial_firmographic
ACC-000439,Commercial,2025-11-01,initial_firmographic
ACC-000440,Commercial,2021-08-10,initial_firmographic
ACC-000441,Commercial,2025-06-12,initial_firmographic
ACC-000442,Commercial,2023-12-08,initial_firmographic
ACC-000443,Commercial,2024-07-05,initial_firmographic
ACC-000444,Commercial,2025-07-11,initial_firmographic
ACC-000445,Commercial,2023-10-01,initial_firmographic
ACC-000446,Commercial,2021-04-14,initial_firmographic
ACC-000447,Commercial,2024-09-09,initial_firmographic
ACC-000448,Commercial,2023-10-05,initial_firmographic
ACC-000449,Commercial,2020-10-25,initial_firmographic
ACC-000450,Commercial,2025-03-13,initial_firmographic
ACC-000451,Commercial,2024-12-28,initial_firmographic
ACC-000452,Commercial,2024-11-11,initial_firmographic
ACC-000452,Enterprise,2025-04-01,usage_threshold
ACC-000453,Commercial,2021-04-12,initial_firmographic
ACC-000454,Commercial,2024-09-27,initial_firmographic
ACC-000455,Commercial,2023-04-27,initial_firmographic
ACC-000456,Commercial,2023-03-28,initial_firmographic
ACC-000457,Commercial,2023-06-09,initial_firmographic
ACC-000458,Commercial,2025-02-10,initial_firmographic
ACC-000459,Commercial,2025-02-11,initial_firmographic
ACC-000460,Commercial,2024-08-09,initial_firmographic
ACC-000461,Commercial,2024-11-07,initial_firmographic
ACC-000462,Commercial,2023-07-27,initial_firmographic
ACC-000463,Commercial,2025-02-18,initial_firmographic
ACC-000464,Commercial,2021-01-04,initial_firmographic
ACC-000465,Commercial,2024-03-19,initial_firmographic
ACC-000466,Commercial,2025-08-24,initial_firmographic
ACC-000467,Commercial,2023-12-18,initial_firmographic
ACC-000467,Enterprise,2024-04-01,firmographic_rescore
ACC-000468,Commercial,2025-01-08,initial_firmographic
ACC-000469,Commercial,2023-09-07,initial_firmographic
ACC-000470,Commercial,2025-10-22,initial_firmographic
ACC-000471,Commercial,2024-11-03,initial_firmographic
ACC-000472,Commercial,2022-08-08,initial_firmographic
