layer1_metric,month,plan_value,pillar
consumption_payback,2025-07-01,12.51,Efficiency
consumption_payback,2025-08-01,12.24,Efficiency
consumption_payback,2025-09-01,12.42,Efficiency
consumption_payback,2025-10-01,12.18,Efficiency
consumption_payback,2025-11-01,11.99,Efficiency
consumption_payback,2025-12-01,12.7,Efficiency
onboarding_cs_efficiency,2023-01-01,6.632e-06,Efficiency
onboarding_cs_efficiency,2023-02-01,6.9646e-06,Efficiency
onboarding_cs_efficiency,2023-03-01,7.0072e-06,Efficiency
onboarding_cs_efficiency,2023-04-01,6.7954e-06,Efficiency
onboarding_cs_efficiency,2023-05-01,7.1376e-06,Efficiency
onboarding_cs_efficiency,2023-06-01,7.0666e-06,Efficiency
onboarding_cs_efficiency,2023-07-01,6.9964e-06,Efficiency
onboarding_cs_efficiency,2023-08-01,7.0684e-06,Efficiency
onboarding_cs_efficiency,2023-09-01,7.0873e-06,Efficiency
onboarding_cs_efficiency,2023-10-01,6.9137e-06,Efficiency
onboarding_cs_efficiency,2023-11-01,7.0649e-06,Efficiency
onboarding_cs_efficiency,2023-12-01,7.1825e-06,Efficiency
onboarding_cs_efficiency,2024-01-01,6.4917e-06,Efficiency
onboarding_cs_efficiency,2024-02-01,6.4123e-06,Efficiency
onboarding_cs_efficiency,2024-03-01,6.442e-06,Efficiency
onboarding_cs_efficiency,2024-04-01,6.54e-06,Efficiency
onboarding_cs_efficiency,2024-05-01,6.5289e-06,Efficiency
onboarding_cs_efficiency,2024-06-01,6.4588e-06,Efficiency
onboarding_cs_efficiency,2024-07-01,6.7619e-06,Efficiency
onboarding_cs_efficiency,2024-08-01,6.6117e-06,Efficiency
onboarding_cs_efficiency,2024-09-01,6.4108e-06,Efficiency
onboarding_cs_efficiency,2024-10-01,6.3676e-06,Efficiency
onboarding_cs_efficiency,2024-11-01,6.5621e-06,Efficiency
onboarding_cs_efficiency,2024-12-01,6.6978e-06,Efficiency
onboarding_cs_efficiency,2025-01-01,5.8721e-06,Efficiency
onboarding_cs_efficiency,2025-02-01,5.9394e-06,Efficiency
onboarding_cs_efficiency,2025-03-01,6.0545e-06,Efficiency
onboarding_cs_efficiency,2025-04-01,6.1185e-06,Efficiency
onboarding_cs_efficiency,2025-05-01,6.0702e-06,Efficiency
onboarding_cs_efficiency,2025-06-01,6.1649e-06,Efficiency
onboarding_cs_efficiency,2025-07-01,6.1727e-06,Efficiency
onboarding_cs_efficiency,2025-08-01,6.2495e-06,Efficiency
onboarding_cs_efficiency,2025-09-01,6.1484e-06,Efficiency
onboarding_cs_efficiency,2025-10-01,5.938e-06,Efficiency
onboarding_cs_efficiency,2025-11-01,6.0262e-06,Efficiency
onboarding_cs_efficiency,2025-12-01,6.2771e-06,Efficiency
am_efficiency,2023-01-01,2.6961,Efficiency
am_efficiency,2023-02-01,2.637,Efficiency
am_efficiency,2023-03-01,2.6698,Efficiency
am_efficiency,2023-04-01,2.6106,Efficiency
am_efficiency,2023-05-01,2.6123,Efficiency
am_efficiency,2023-06-01,2.5611,Efficiency
am_efficiency,2023-07-01,2.5775,Efficiency
am_efficiency,2023-08-01,2.5364,Efficiency
am_efficiency,2023-09-01,2.6186,Efficiency
am_efficiency,2023-10-01,2.6518,Efficiency
am_efficiency,2023-11-01,2.6105,Efficiency
am_efficiency,2023-12-01,2.5261,Efficiency
am_efficiency,2024-01-01,2.6938,Efficiency
am_efficiency,2024-02-01,2.8057,Efficiency
am_efficiency,2024-03-01,2.718,Efficiency
am_efficiency,2024-04-01,2.6809,Efficiency
am_efficiency,2024-05-01,2.6859,Efficiency
am_efficiency,2024-06-01,2.6543,Efficiency
am_efficiency,2024-07-01,2.6414,Efficiency
am_efficiency,2024-08-01,2.6463,Efficiency
am_efficiency,2024-09-01,2.8273,Efficiency
am_efficiency,2024-10-01,2.8554,Efficiency
am_efficiency,2024-11-01,2.7811,Efficiency
am_efficiency,2024-12-01,2.6275,Efficiency
am_efficiency,2025-01-01,2.8516,Efficiency
am_efficiency,2025-02-01,2.8609,Efficiency
am_efficiency,2025-03-01,2.8666,Efficiency
am_efficiency,2025-04-01,2.7975,Efficiency
am_efficiency,2025-05-01,2.8244,Efficiency
am_efficiency,2025-06-01,2.764,Efficiency
am_efficiency,2025-07-01,2.804,Efficiency
am_efficiency,2025-08-01,2.8092,Efficiency
am_efficiency,2025-09-01,2.8778,Efficiency
am_efficiency,2025-10-01,2.7939,Efficiency
am_efficiency,2025-11-01,2.8758,Efficiency
am_efficiency,2025-12-01,2.6702,Efficiency
nrr,2023-01-01,1.1457,Durability
nrr,2023-02-01,1.1501,Durability
nrr,2023-03-01,1.161,Durability
nrr,2023-04-01,1.1451,Durability
nrr,2023-05-01,1.1534,Durability
nrr,2023-06-01,1.155,Durability
nrr,2023-07-01,1.1482,Durability
nrr,2023-08-01,1.1547,Durability
nrr,2023-09-01,1.1497,Durability
nrr,2023-10-01,1.1577,Durability
nrr,2023-11-01,1.1551,Durability
nrr,2023-12-01,1.1541,Durability
nrr,2024-01-01,1.1634,Durability
nrr,2024-02-01,1.163,Durability
nrr,2024-03-01,1.16,Durability
nrr,2024-04-01,1.1625,Durability
nrr,2024-05-01,1.1714,Durability
nrr,2024-06-01,1.1555,Durability
nrr,2024-07-01,1.175,Durability
nrr,2024-08-01,1.1735,Durability
nrr,2024-09-01,1.1681,Durability
nrr,2024-10-01,1.1625,Durability
nrr,2024-11-01,1.1592,Durability
nrr,2024-12-01,1.163,Durability
nrr,2025-01-01,1.1738,Durability
nrr,2025-02-01,1.169,Durability
nrr,2025-03-01,1.1718,Durability
nrr,2025-04-01,1.1685,Durability
nrr,2025-05-01,1.1843,Durability
nrr,2025-06-01,1.1792,Durability
nrr,2025-07-01,1.1741,Durability
nrr,2025-08-01,1.1712,Durability
nrr,2025-09-01,1.1792,Durability
nrr,2025-10-01,1.1813,Durability
nrr,2025-11-01,1.1712,Durability
nrr,2025-12-01,1.1789,Durability
grr,2023-01-01,0.9119,Durability
grr,2023-02-01,0.9119,Durability
grr,2023-03-01,0.9145,Durability
grr,2023-04-01,0.9151,Durability
grr,2023-05-01,0.9071,Durability
grr,2023-06-01,0.9129,Durability
grr,2023-07-01,0.9167,Durability
grr,2023-08-01,0.9141,Durability
grr,2023-09-01,0.9104,Durability
grr,2023-10-01,0.9132,Durability
grr,2023-11-01,0.9089,Durability
grr,2023-12-01,0.9139,Durability
grr,2024-01-01,0.9202,Durability
grr,2024-02-01,0.9178,Durability
grr,2024-03-01,0.914,Durability
grr,2024-04-01,0.9148,Durability
grr,2024-05-01,0.9205,Durability
grr,2024-06-01,0.9191,Durability
grr,2024-07-01,0.9159,Durability
grr,2024-08-01,0.916,Durability
grr,2024-09-01,0.9275,Durability
grr,2024-10-01,0.9207,Durability
grr,2024-11-01,0.9192,Durability
grr,2024-12-01,0.9224,Durability
grr,2025-01-01,0.9326,Durability
grr,2025-02-01,0.921,Durability
grr,2025-03-01,0.9259,Durability
grr,2025-04-01,0.9267,Durability
grr,2025-05-01,0.9354,Durability
grr,2025-06-01,0.928,Durability
grr,2025-07-01,0.9264,Durability
grr,2025-08-01,0.9261,Durability
grr,2025-09-01,0.9282,Durability
grr,2025-10-01,0.9306,Durability
grr,2025-11-01,0.927,Durability
grr,2025-12-01,0.9258,Durability
logo_retention,2023-01-01,0.8172,Durability
logo_retention,2023-02-01,0.8195,Durability
logo_retention,2023-03-01,0.8165,Durability
logo_retention,2023-04-01,0.8164,Durability
logo_retention,2023-05-01,0.8177,Durability
logo_retention,2023-06-01,0.8198,Durability
logo_retention,2023-07-01,0.8174,Durability
logo_retention,2023-08-01,0.8164,Durability
logo_retention,2023-09-01,0.8183,Durability
logo_retention,2023-10-01,0.8241,Durability
logo_retention,2023-11-01,0.8162,Durability
logo_retention,2023-12-01,0.8188,Durability
logo_retention,2024-01-01,0.8269,Durability
logo_retention,2024-02-01,0.833,Durability
logo_retention,2024-03-01,0.8274,Durability
logo_retention,2024-04-01,0.83,Durability
logo_retention,2024-05-01,0.8268,Durability
logo_retention,2024-06-01,0.8275,Durability
logo_retention,2024-07-01,0.8325,Durability
logo_retention,2024-08-01,0.8314,Durability
logo_retention,2024-09-01,0.827,Durability
logo_retention,2024-10-01,0.8294,Durability
logo_retention,2024-11-01,0.8291,Durability
logo_retention,2024-12-01,0.832,Durability
logo_retention,2025-01-01,0.841,Durability
logo_retention,2025-02-01,0.8456,Durability
logo_retention,2025-03-01,0.8404,Durability
logo_retention,2025-04-01,0.8472,Durability
logo_retention,2025-05-01,0.8371,Durability
logo_retention,2025-06-01,0.8484,Durability
logo_retention,2025-07-01,0.842,Durability
logo_retention,2025-08-01,0.8426,Durability
logo_retention,2025-09-01,0.8443,Durability
logo_retention,2025-10-01,0.837,Durability
logo_retention,2025-11-01,0.8396,Durability
logo_retention,2025-12-01,0.8444,Durability
