account_id,company_id,segment,employee_count_band,industry,region,channel,signup_date,icp_fit_score,is_personal_email_domain
ACC-000169,CO-0024135,Commercial,1001-5000,Manufacturing,North America,inbound_marketing,2024-05-03,60.5,False
ACC-000170,CO-0050213,Commercial,51-200,Manufacturing,North America,self_serve,2025-12-14,56.9,False
ACC-000171,CO-0022183,Commercial,201-1000,Media/Entertainment,North America,inbound_marketing,2024-01-09,58.4,False
ACC-000172,CO-0086971,Commercial,1001-5000,Technology/SaaS,EMEA,self_serve,2023-07-02,71.6,False
ACC-000173,CO-0019360,Commercial,1001-5000,Manufacturing,EMEA,inbound_marketing,2024-07-10,69.1,False
ACC-000174,CO-0059518,Commercial,1001-5000,Technology/SaaS,APAC,self_serve,2025-11-11,71.2,False
ACC-000175,CO-0051768,Commercial,1001-5000,Healthcare,North America,inbound_marketing,2021-09-09,56.4,False
ACC-000176,CO-0056988,Commercial,201-1000,Financial Services,APAC,inbound_marketing,2024-09-20,58.0,False
ACC-000177,CO-0049243,Commercial,5001-20000,Education,North America,inbound_marketing,2023-07-28,68.3,False
ACC-000178,CO-0096770,Enterprise,1001-5000,Public Sector,North America,inbound_marketing,2023-03-09,67.0,False
ACC-000179,CO-0000024,Commercial,1001-5000,Healthcare,North America,self_serve,2021-09-06,70.3,False
ACC-000180,CO-0122752,Commercial,201-1000,Professional Services,North America,inbound_marketing,2025-02-14,48.8,False
ACC-000181,CO-0083381,Commercial,201-1000,Financial Services,North America,inbound_marketing,2025-03-22,53.4,False
ACC-000182,CO-0063303,Commercial,201-1000,Retail/E-commerce,APAC,inbound_marketing,2024-11-15,56.2,False
ACC-000183,CO-0095002,Commercial,201-1000,Logistics/Supply Chain,North America,self_serve,2025-02-03,51.0,False
ACC-000184,CO-0067930,Commercial,1-10,Financial Services,North America,inbound_marketing,2024-03-26,45.5,False
ACC-000185,CO-0016949,Enterprise,201-1000,Education,North America,self_serve,2020-08-10,61.6,False
ACC-000186,CO-0108430,Commercial,1001-5000,Education,EMEA,inbound_marketing,2024-06-01,68.6,False
ACC-000187,CO-0061110,Commercial,1001-5000,Retail/E-commerce,APAC,self_serve,2025-08-23,51.0,False
ACC-000188,CO-0019163,Commercial,1001-5000,Financial Services,EMEA,self_serve,2023-08-23,64.9,False
ACC-000189,CO-0015822,Commercial,201-1000,Retail/E-commerce,EMEA,self_serve,2024-05-27,47.0,False
ACC-000190,CO-0066579,Commercial,5001-20000,Manufacturing,APAC,self_serve,2024-10-20,68.2,False
ACC-000191,CO-0055401,Commercial,201-1000,Retail/E-commerce,EMEA,self_serve,2024-02-14,59.7,False
ACC-000192,CO-0091318,Commercial,51-200,Manufacturing,North America,inbound_marketing,2025-07-02,47.8,False
ACC-000193,CO-0102725,Commercial,1001-5000,Education,EMEA,inbound_marketing,2024-04-13,45.8,False
ACC-000194,CO-0005520,Commercial,201-1000,Retail/E-commerce,APAC,self_serve,2025-07-04,45.6,False
ACC-000195,CO-0035442,Commercial,51-200,Manufacturing,North America,self_serve,2025-05-09,49.0,False
ACC-000196,CO-0013839,Commercial,201-1000,Manufacturing,EMEA,inbound_marketing,2024-06-11,56.0,False
ACC-000197,CO-0010813,Commercial,201-1000,Retail/E-commerce,North America,inbound_marketing,2025-08-11,48.2,False
ACC-000198,CO-0037154,Commercial,51-200,Technology/SaaS,EMEA,inbound_marketing,2023-11-06,46.2,False
ACC-000199,CO-0088851,Commercial,1001-5000,Professional Services,North America,self_serve,2025-01-03,64.9,False
ACC-000200,CO-0057289,Commercial,201-1000,Professional Services,APAC,self_serve,2020-10-05,52.2,False
ACC-000201,CO-0005072,Commercial,1001-5000,Public Sector,EMEA,inbound_marketing,2025-04-05,62.7,False
ACC-000202,CO-0117491,Commercial,1001-5000,Retail/E-commerce,North America,self_serve,2025-01-04,63.5,False
ACC-000203,CO-0060045,Commercial,1001-5000,Healthcare,APAC,self_serve,2021-07-31,67.0,False
ACC-000204,CO-0057637,Commercial,51-200,Technology/SaaS,North America,inbound_marketing,2025-07-26,52.8,False
ACC-000205,CO-0032071,Commercial,51-200,Manufacturing,North America,self_serve,2024-04-25,46.8,False
ACC-000206,CO-0057373,Commercial,201-1000,Healthcare,EMEA,self_serve,2023-03-08,58.6,False
ACC-000207,CO-0118935,Commercial,51-200,Financial Services,EMEA,self_serve,2023-09-01,50.3,False
ACC-000208,CO-0075207,Commercial,201-1000,Retail/E-commerce,EMEA,self_serve,2021-11-05,52.5,False
ACC-000209,CO-0118487,Enterprise,20000+,Logistics/Supply Chain,APAC,self_serve,2024-10-11,72.0,False
ACC-000210,CO-0110053,Commercial,1001-5000,Retail/E-commerce,APAC,self_serve,2025-05-08,64.4,False
ACC-000211,CO-0012643,Commercial,1001-5000,Healthcare,APAC,inbound_marketing,2025-07-05,64.9,False
ACC-000212,CO-0105521,Commercial,51-200,Technology/SaaS,North America,self_serve,2022-08-13,48.6,False
ACC-000213,CO-0001449,Enterprise,51-200,Financial Services,North America,inbound_marketing,2023-10-11,45.6,False
ACC-000214,CO-0096505,Commercial,201-1000,Manufacturing,APAC,inbound_marketing,2025-06-06,51.7,False
ACC-000215,CO-0030617,Commercial,51-200,Technology/SaaS,EMEA,self_serve,2020-07-31,47.2,False
ACC-000216,CO-0011764,Commercial,1001-5000,Technology/SaaS,EMEA,self_serve,2024-10-28,66.2,False
ACC-000217,CO-0115471,Commercial,51-200,Technology/SaaS,EMEA,inbound_marketing,2023-11-25,46.9,False
ACC-000218,CO-0030780,Commercial,11-50,Financial Services,EMEA,inbound_marketing,2024-08-22,41.4,False
ACC-000219,CO-0086861,Commercial,1-10,Financial Services,LATAM,self_serve,2025-01-14,45.5,False
ACC-000220,CO-0081587,Commercial,51-200,Technology/SaaS,North America,self_serve,2022-06-18,48.7,False
ACC-000221,CO-0061482,Commercial,1001-5000,Education,North America,self_serve,2020-01-13,59.0,False
ACC-000222,CO-0053650,Commercial,51-200,Technology/SaaS,North America,self_serve,2025-06-13,44.2,False
ACC-000223,CO-0024295,Commercial,5001-20000,Healthcare,EMEA,self_serve,2025-07-19,64.0,False
ACC-000224,CO-0023439,Commercial,1001-5000,Logistics/Supply Chain,North America,self_serve,2025-06-11,68.1,False
ACC-000225,CO-0050694,Commercial,1001-5000,Logistics/Supply Chain,EMEA,inbound_marketing,2022-08-03,69.3,False
ACC-000226,CO-0083598,Commercial,51-200,Healthcare,EMEA,inbound_marketing,2025-01-07,50.9,False
ACC-000227,CO-0037749,Commercial,201-1000,Media/Entertainment,EMEA,inbound_marketing,2025-08-08,45.7,False
ACC-000228,CO-0077366,Commercial,201-1000,Financial Services,APAC,inbound_marketing,2022-11-20,61.9,False
ACC-000229,CO-0082607,Commercial,51-200,Healthcare,EMEA,self_serve,2024-06-23,43.9,False
ACC-000230,CO-0017096,Commercial,201-1000,Technology/SaaS,North America,self_serve,2023-01-02,62.2,False
ACC-000231,CO-0115389,Enterprise,51-200,Manufacturing,North America,self_serve,2025-05-28,42.1,False
ACC-000232,CO-0040924,Commercial,201-1000,Professional Services,North America,inbound_marketing,2022-08-21,64.9,False
ACC-000233,CO-0003514,Enterprise,201-1000,Financial Services,EMEA,inbound_marketing,2021-11-04,62.5,False
ACC-000234,CO-0074323,Commercial,1001-5000,Education,EMEA,self_serve,2022-01-22,69.4,False
ACC-000235,CO-0007802,Enterprise,1001-5000,Professional Services,APAC,inbound_marketing,2023-02-05,51.8,False
ACC-000236,CO-0082831,Commercial,51-200,Financial Services,North America,inbound_marketing,2025-06-02,49.2,False
ACC-000237,CO-0055918,Commercial,201-1000,Financial Services,EMEA,inbound_marketing,2025-01-17,58.4,False
ACC-000238,CO-0118692,Enterprise,201-1000,Professional Services,EMEA,inbound_marketing,2024-09-28,44.2,False
ACC-000239,CO-0068120,Commercial,1001-5000,Professional Services,North America,inbound_marketing,2023-02-19,54.7,False
ACC-000240,CO-0017823,Commercial,1001-5000,Media/Entertainment,North America,inbound_marketing,2025-06-18,68.2,False
ACC-000241,CO-0015550,Commercial,51-200,Financial Services,North America,self_serve,2024-07-23,48.3,False
ACC-000242,CO-0024049,Commercial,201-1000,Logistics/Supply Chain,EMEA,inbound_marketing,2024-11-23,54.8,False
ACC-000243,CO-0086372,Commercial,51-200,Healthcare,North America,self_serve,2020-12-29,51.4,False
ACC-000244,CO-0075447,Commercial,201-1000,Financial Services,APAC,self_serve,2025-12-07,71.5,False
ACC-000245,CO-0065822,Commercial,1001-5000,Media/Entertainment,North America,self_serve,2025-09-03,64.2,False
ACC-000246,CO-0105075,Commercial,201-1000,Manufacturing,North America,inbound_marketing,2025-02-27,53.1,False
ACC-000247,CO-0035967,Commercial,51-200,Media/Entertainment,North America,self_serve,2024-04-08,49.1,False
ACC-000248,CO-0062985,Commercial,201-1000,Technology/SaaS,North America,self_serve,2025-12-15,61.0,False
ACC-000249,CO-0119593,Commercial,1001-5000,Financial Services,EMEA,inbound_marketing,2025-08-16,62.4,False
