lead_id,account_id,company_id,channel,created_date,lead_score,converted_date,is_converted
LD-000141,,CO-0046528,paid,2019-02-28,29.3,,False
LD-000142,,CO-0052531,organic,2019-03-06,41.0,,False
LD-000143,,CO-0076968,paid,2019-03-07,64.7,,False
LD-000144,,CO-0021069,paid,2019-03-08,37.8,,False
LD-000145,,CO-0041545,organic,2019-03-09,33.6,,False
LD-000146,,CO-0030552,organic,2019-03-10,51.2,,False
LD-000147,,CO-0119872,paid,2019-03-10,29.5,,False
LD-000148,,CO-0101094,community,2019-03-10,26.4,,False
LD-000149,,CO-0114340,paid,2019-03-13,48.1,,False
LD-000150,,CO-0068633,community,2019-03-13,53.5,,False
LD-000151,,CO-0056497,organic,2019-03-16,50.6,,False
LD-000152,,CO-0035881,paid,2019-03-16,33.3,,False
LD-000153,,CO-0007607,organic,2019-03-19,49.1,,False
LD-000154,,CO-0042841,organic,2019-03-20,34.6,,False
LD-000155,,CO-0094850,paid,2019-03-21,35.3,,False
LD-000156,,CO-0094928,community,2019-03-24,32.4,,False
LD-000157,,CO-0000415,paid,2019-03-26,39.6,,False
LD-000158,,CO-0101060,organic,2019-03-27,42.0,,False
LD-000159,,CO-0093921,community,2019-03-28,48.2,,False
LD-000160,,CO-0055422,organic,2019-03-29,56.3,,False
LD-000161,,CO-0099553,organic,2019-04-02,58.3,,False
LD-000162,,CO-0090040,paid,2019-04-02,36.5,,False
LD-000163,,CO-0065850,organic,2019-04-03,46.2,,False
LD-000164,,CO-0033911,organic,2019-04-04,31.8,,False
LD-000165,,CO-0102591,paid,2019-04-05,35.3,,False
LD-000166,,CO-0118084,community,2019-04-05,45.4,,False
LD-000167,,CO-0113822,organic,2019-04-06,42.9,,False
LD-000168,,CO-0002229,paid,2019-04-06,30.2,,False
LD-000169,,CO-0066755,organic,2019-04-11,46.3,,False
LD-000170,,CO-0047754,organic,2019-04-11,20.5,,False
LD-000171,,CO-0052922,community,2019-04-11,44.3,,False
LD-000172,,CO-0042618,paid,2019-04-12,24.8,,False
LD-000173,,CO-0072536,paid,2019-04-12,37.5,,False
LD-000174,,CO-0010936,community,2019-04-13,51.3,,False
LD-000175,,CO-0068217,paid,2019-04-18,44.2,,False
LD-000176,,CO-0103446,paid,2019-04-18,38.5,,False
LD-000177,,CO-0029380,community,2019-04-20,26.9,,False
LD-000178,,CO-0040222,organic,2019-04-21,35.3,,False
LD-000179,,CO-0032441,organic,2019-04-21,24.6,,False
LD-000180,,CO-0094512,paid,2019-04-21,39.4,,False
LD-000181,,CO-0066702,paid,2019-04-22,50.7,,False
LD-000182,,CO-0109450,community,2019-04-22,37.4,,False
LD-000183,,CO-0001393,paid,2019-04-23,16.9,,False
LD-000184,,CO-0084592,paid,2019-04-23,44.0,,False
LD-000185,,CO-0074631,paid,2019-04-25,30.9,,False
LD-000186,,CO-0015189,paid,2019-04-27,29.1,,False
LD-000187,,CO-0046920,paid,2019-04-28,32.9,,False
LD-000188,,CO-0002367,paid,2019-04-28,40.1,,False
LD-000189,,CO-0050638,community,2019-04-30,41.2,,False
LD-000190,,CO-0117874,organic,2019-05-02,57.6,,False
LD-000191,,CO-0015276,community,2019-05-04,52.4,,False
LD-000192,,CO-0013920,paid,2019-05-06,57.5,,False
LD-000193,,CO-0041774,community,2019-05-08,43.1,,False
LD-000194,,CO-0117273,community,2019-05-08,42.9,,False
LD-000195,,CO-0027236,community,2019-05-10,53.3,,False
LD-000196,,CO-0102258,community,2019-05-10,57.4,,False
LD-000197,,CO-0076128,paid,2019-05-11,14.4,,False
LD-000198,,CO-0052537,community,2019-05-11,33.0,,False
LD-000199,,CO-0079078,organic,2019-05-12,44.2,,False
LD-000200,,CO-0096370,organic,2019-05-12,39.5,,False
LD-000201,,CO-0106691,paid,2019-05-12,27.3,,False
LD-000202,,CO-0089595,community,2019-05-13,55.1,,False
LD-000203,,CO-0044774,organic,2019-05-15,37.3,,False
LD-000204,,CO-0080148,paid,2019-05-15,22.7,,False
LD-000205,,CO-0118088,community,2019-05-15,30.2,,False
LD-000206,,CO-0118820,organic,2019-05-16,70.8,,False
LD-000207,,CO-0043799,paid,2019-05-17,28.3,,False
LD-000208,,CO-0006502,community,2019-05-17,54.2,,False
LD-000209,,CO-0121709,paid,2019-05-22,35.3,,False
LD-000210,,CO-0016186,community,2019-05-26,51.7,,False
LD-000211,,CO-0114472,paid,2019-05-28,30.8,,False
LD-000212,,CO-0119571,organic,2019-05-29,36.8,,False
LD-000213,,CO-0059681,paid,2019-06-01,26.4,,False
LD-000214,,CO-0035788,paid,2019-06-02,16.8,,False
LD-000215,,CO-0101990,organic,2019-06-04,30.8,,False
LD-000216,,CO-0095515,paid,2019-06-05,54.2,,False
LD-000217,,CO-0108786,paid,2019-06-07,28.3,,False
LD-000218,,CO-0067195,paid,2019-06-08,27.2,,False
LD-000219,,CO-0005207,community,2019-06-08,57.3,,False
LD-000220,,CO-0042223,community,2019-06-10,38.5,,False
LD-000221,,CO-0057469,organic,2019-06-11,44.7,,False
LD-000222,,CO-0013158,organic,2019-06-11,31.7,,False
LD-000223,,CO-0026053,paid,2019-06-11,28.0,,False
LD-000224,,CO-0115698,paid,2019-06-15,29.3,,False
LD-000225,,CO-0073956,paid,2019-06-16,28.7,,False
LD-000226,,CO-0064561,organic,2019-06-20,42.3,,False
LD-000227,,CO-0001027,paid,2019-06-20,26.6,,False
LD-000228,,CO-0082584,paid,2019-06-20,24.3,,False
LD-000229,,CO-0045238,paid,2019-06-21,30.0,,False
LD-000230,,CO-0039536,community,2019-06-22,28.1,,False
LD-000231,,CO-0066061,organic,2019-06-23,31.7,,False
LD-000232,,CO-0106670,paid,2019-06-26,38.2,,False
LD-000233,,CO-0074393,paid,2019-06-26,35.1,,False
LD-000234,,CO-0013420,paid,2019-06-26,31.1,,False
LD-000235,,CO-0052006,paid,2019-06-26,30.4,,False
LD-000236,,CO-0074397,community,2019-06-27,32.7,,False
LD-000237,,CO-0056459,paid,2019-06-28,31.8,,False
LD-000238,,CO-0092699,organic,2019-06-29,39.3,,False
LD-000239,,CO-0100180,paid,2019-06-29,36.1,,False
LD-000240,,CO-0011839,paid,2019-06-29,34.7,,False
LD-000241,,CO-0042447,paid,2019-07-02,34.2,,False
LD-000242,,CO-0014297,paid,2019-07-03,28.0,,False
LD-000243,,CO-0030661,paid,2019-07-03,46.4,,False
LD-000244,,CO-0027658,paid,2019-07-04,25.3,,False
LD-000245,,CO-0016972,paid,2019-07-06,21.2,,False
LD-000246,,CO-0013691,community,2019-07-07,41.7,,False
LD-000247,,CO-0075476,organic,2019-07-08,17.0,,False
LD-000248,,CO-0068223,paid,2019-07-08,35.9,,False
LD-000249,,CO-0034950,organic,2019-07-13,20.7,,False
LD-000250,,CO-0005528,paid,2019-07-13,29.3,,False
LD-000251,,CO-0075766,organic,2019-07-14,48.8,,False
LD-000252,,CO-0089681,paid,2019-07-14,32.5,,False
LD-000253,,CO-0054011,paid,2019-07-15,25.3,,False
LD-000254,,CO-0007488,paid,2019-07-16,23.1,,False
LD-000255,,CO-0067861,paid,2019-07-17,21.7,,False
LD-000256,,CO-0014213,paid,2019-07-21,34.8,,False
LD-000257,,CO-0055152,paid,2019-07-23,25.2,,False
LD-000258,,CO-0009369,paid,2019-07-27,31.2,,False
LD-000259,,CO-0046929,paid,2019-07-29,21.5,,False
LD-000260,,CO-0120386,paid,2019-07-29,35.8,,False
LD-000261,,CO-0035473,organic,2019-07-31,34.3,,False
LD-000262,,CO-0116447,organic,2019-07-31,59.8,,False
LD-000263,,CO-0019390,paid,2019-08-01,31.3,,False
LD-000264,,CO-0037848,community,2019-08-01,23.8,,False
LD-000265,,CO-0019160,community,2019-08-02,50.3,,False
LD-000266,,CO-0059233,community,2019-08-03,50.8,,False
LD-000267,,CO-0057474,organic,2019-08-04,37.5,,False
LD-000268,,CO-0044344,community,2019-08-04,31.6,,False
LD-000269,,CO-0037404,organic,2019-08-10,33.5,,False
LD-000270,,CO-0102433,paid,2019-08-15,51.5,,False
LD-000271,,CO-0026794,community,2019-08-16,35.7,,False
LD-000272,,CO-0028483,community,2019-08-17,28.4,,False
LD-000273,,CO-0032170,community,2019-08-17,27.1,,False
LD-000274,,CO-0045398,paid,2019-08-18,26.5,,False
LD-000275,,CO-0015643,paid,2019-08-18,47.9,,False
LD-000276,,CO-0011253,paid,2019-08-21,37.2,,False
LD-000277,,CO-0060904,paid,2019-08-22,30.4,,False
LD-000278,,CO-0048430,community,2019-08-22,31.1,,False
LD-000279,,CO-0053973,community,2019-08-22,59.0,,False
LD-000280,,CO-0059976,organic,2019-08-23,38.0,,False
LD-000281,,CO-0049148,organic,2019-08-23,32.3,,False
LD-000282,,CO-0081594,community,2019-08-24,43.2,,False
LD-000283,,CO-0116604,paid,2019-08-25,24.5,,False
LD-000284,,CO-0106917,paid,2019-08-27,27.6,,False
LD-000285,,CO-0068001,paid,2019-08-28,34.1,,False
LD-000286,,CO-0037511,paid,2019-08-30,53.6,,False
LD-000287,,CO-0065875,community,2019-08-31,40.1,,False
LD-000288,,CO-0012198,organic,2019-09-01,38.5,,False
LD-000289,,CO-0042036,paid,2019-09-02,18.2,,False
LD-000290,,CO-0024800,organic,2019-09-05,47.3,,False
LD-000291,,CO-0054783,organic,2019-09-06,54.9,,False
LD-000292,,CO-0066746,paid,2019-09-06,45.7,,False
LD-000293,,CO-0058695,community,2019-09-07,47.3,,False
LD-000294,,CO-0100489,community,2019-09-07,38.7,,False
LD-000295,,CO-0016042,paid,2019-09-08,35.5,,False
LD-000296,,CO-0044309,paid,2019-09-08,33.4,,False
LD-000297,,CO-0001583,organic,2019-09-09,41.2,,False
LD-000298,,CO-0100971,organic,2019-09-10,43.7,,False
LD-000299,,CO-0061903,paid,2019-09-13,39.0,,False
LD-000300,,CO-0000059,paid,2019-09-14,21.4,,False
LD-000301,,CO-0019566,paid,2019-09-14,50.9,,False
LD-000302,,CO-0054075,paid,2019-09-15,25.1,,False
LD-000303,,CO-0050760,community,2019-09-15,52.2,,False
LD-000304,,CO-0027195,paid,2019-09-16,31.7,,False
LD-000305,,CO-0093498,paid,2019-09-16,32.4,,False
LD-000306,,CO-0053681,organic,2019-09-18,45.5,,False
LD-000307,,CO-0121841,community,2019-09-18,52.0,,False
LD-000308,,CO-0086036,paid,2019-09-19,24.1,,False
LD-000309,,CO-0057485,paid,2019-09-19,47.7,,False
LD-000310,,CO-0094770,paid,2019-09-24,36.7,,False
LD-000311,,CO-0061639,community,2019-09-25,37.1,,False
LD-000312,,CO-0028062,organic,2019-09-26,47.2,,False
LD-000313,,CO-0024414,organic,2019-09-26,35.3,,False
LD-000314,,CO-0071310,community,2019-09-26,37.2,,False
LD-000315,,CO-0013641,community,2019-09-26,34.7,,False
LD-000316,,CO-0067105,organic,2019-09-27,43.1,,False
LD-000317,,CO-0064991,organic,2019-09-27,33.7,,False
LD-000318,,CO-0115930,paid,2019-09-27,38.8,,False
LD-000319,,CO-0092782,community,2019-09-27,49.8,,False
LD-000320,,CO-0071155,organic,2019-09-29,52.4,,False
LD-000321,,CO-0044083,organic,2019-10-01,57.4,,False
LD-000322,,CO-0011846,organic,2019-10-01,52.8,,False
LD-000323,,CO-0120247,paid,2019-10-01,36.2,,False
LD-000324,,CO-0000491,paid,2019-10-01,37.1,,False
LD-000325,,CO-0091999,paid,2019-10-01,30.2,,False
LD-000326,,CO-0063655,paid,2019-10-01,41.3,,False
LD-000327,,CO-0039737,organic,2019-10-02,38.3,,False
LD-000328,,CO-0092424,organic,2019-10-02,44.3,,False
LD-000329,,CO-0101485,paid,2019-10-03,41.5,,False
LD-000330,,CO-0038134,paid,2019-10-03,23.4,,False
LD-000331,,CO-0054404,organic,2019-10-05,42.4,,False
LD-000332,,CO-0094148,paid,2019-10-05,45.2,,False
LD-000333,,CO-0085025,community,2019-10-05,44.5,,False
LD-000334,,CO-0096304,paid,2019-10-07,54.1,,False
LD-000335,,CO-0054328,paid,2019-10-07,50.8,,False
LD-000336,,CO-0116206,paid,2019-10-07,39.0,,False
LD-000337,,CO-0119462,paid,2019-10-08,48.7,,False
LD-000338,,CO-0014629,paid,2019-10-08,45.9,,False
LD-000339,,CO-0048310,organic,2019-10-09,38.9,,False
LD-000340,,CO-0073546,paid,2019-10-09,44.5,,False
LD-000341,,CO-0082598,paid,2019-10-09,34.5,,False
LD-000342,,CO-0020784,paid,2019-10-10,32.8,,False
LD-000343,,CO-0098350,paid,2019-10-10,24.6,,False
LD-000344,,CO-0031556,paid,2019-10-10,48.9,,False
LD-000345,,CO-0123076,paid,2019-10-10,25.0,,False
LD-000346,,CO-0091029,paid,2019-10-11,47.8,,False
LD-000347,,CO-0090801,community,2019-10-11,58.3,,False
LD-000348,,CO-0052738,community,2019-10-11,56.6,,False
LD-000349,,CO-0034323,organic,2019-10-12,26.6,,False
LD-000350,,CO-0060245,community,2019-10-12,53.6,,False
LD-000351,,CO-0034878,organic,2019-10-13,35.6,,False
LD-000352,,CO-0063107,organic,2019-10-13,44.9,,False
LD-000353,,CO-0026283,paid,2019-10-13,33.3,,False
LD-000354,,CO-0005838,paid,2019-10-13,21.0,,False
LD-000355,,CO-0014626,paid,2019-10-15,41.7,,False
LD-000356,,CO-0073585,paid,2019-10-15,22.3,,False
LD-000357,,CO-0101381,community,2019-10-15,41.2,,False
LD-000358,,CO-0003417,community,2019-10-15,33.0,,False
LD-000359,,CO-0088443,paid,2019-10-16,35.6,,False
LD-000360,,CO-0105801,organic,2019-10-17,46.6,,False
LD-000361,,CO-0093907,organic,2019-10-17,55.1,,False
LD-000362,,CO-0098486,paid,2019-10-17,49.2,,False
LD-000363,,CO-0116859,paid,2019-10-18,26.2,,False
LD-000364,,CO-0006218,paid,2019-10-18,34.6,,False
LD-000365,,CO-0029671,paid,2019-10-18,22.0,,False
LD-000366,,CO-0000997,paid,2019-10-20,18.8,,False
LD-000367,,CO-0104339,paid,2019-10-20,30.6,,False
LD-000368,,CO-0010188,community,2019-10-20,42.1,,False
LD-000369,,CO-0031393,paid,2019-10-21,30.5,,False
LD-000370,,CO-0065130,paid,2019-10-21,41.5,,False
LD-000371,,CO-0086186,organic,2019-10-23,58.7,,False
LD-000372,,CO-0012328,organic,2019-10-23,53.3,,False
LD-000373,,CO-0052373,organic,2019-10-24,45.1,,False
LD-000374,,CO-0001274,paid,2019-10-24,42.0,,False
LD-000375,,CO-0120553,paid,2019-10-24,50.1,,False
LD-000376,,CO-0000216,paid,2019-10-24,27.9,,False
LD-000377,,CO-0099521,paid,2019-10-26,41.6,,False
LD-000378,,CO-0052947,paid,2019-10-26,25.1,,False
LD-000379,,CO-0027270,paid,2019-10-27,43.8,,False
LD-000380,,CO-0072197,community,2019-10-27,61.5,,False
LD-000381,,CO-0032906,paid,2019-10-28,29.3,,False
LD-000382,,CO-0123065,paid,2019-10-28,51.4,,False
LD-000383,,CO-0037807,paid,2019-10-28,47.9,,False
LD-000384,,CO-0111888,organic,2019-10-29,49.7,,False
LD-000385,,CO-0031708,paid,2019-10-29,32.3,,False
LD-000386,,CO-0050009,paid,2019-10-31,29.9,,False
LD-000387,,CO-0091796,paid,2019-10-31,32.1,,False
LD-000388,,CO-0015997,organic,2019-11-01,49.3,,False
LD-000389,,CO-0117041,organic,2019-11-01,42.3,,False
LD-000390,,CO-0076644,paid,2019-11-01,22.2,,False
LD-000391,,CO-0018460,organic,2019-11-02,21.4,,False
LD-000392,,CO-0017429,organic,2019-11-03,46.9,,False
LD-000393,,CO-0018591,organic,2019-11-03,40.9,,False
LD-000394,,CO-0031455,paid,2019-11-04,18.5,,False
LD-000395,,CO-0115112,paid,2019-11-04,22.7,,False
LD-000396,,CO-0106309,organic,2019-11-05,40.9,,False
LD-000397,,CO-0118198,organic,2019-11-05,53.3,,False
LD-000398,,CO-0014720,paid,2019-11-05,32.9,,False
LD-000399,,CO-0008536,paid,2019-11-05,21.0,,False
LD-000400,,CO-0118900,paid,2019-11-05,34.3,,False
LD-000401,,CO-0084008,organic,2019-11-06,55.1,,False
LD-000402,,CO-0048006,paid,2019-11-06,17.0,,False
LD-000403,,CO-0057425,community,2019-11-06,35.0,,False
LD-000404,ACC-002235,CO-0049423,community,2019-11-07,64.0,2020-03-21,True
LD-000405,,CO-0096472,paid,2019-11-07,34.2,,False
LD-000406,,CO-0007301,organic,2019-11-08,17.1,,False
LD-000407,,CO-0103362,paid,2019-11-08,31.5,,False
LD-000408,,CO-0029291,paid,2019-11-08,45.6,,False
LD-000409,,CO-0010787,paid,2019-11-08,30.7,,False
LD-000410,,CO-0046874,paid,2019-11-08,30.4,,False
LD-000411,,CO-0046672,paid,2019-11-09,54.5,,False
LD-000412,,CO-0025661,paid,2019-11-09,50.7,,False
LD-000413,,CO-0039671,organic,2019-11-10,43.5,,False
LD-000414,,CO-0060061,paid,2019-11-10,30.1,,False
LD-000415,,CO-0056667,paid,2019-11-10,30.8,,False
LD-000416,,CO-0010577,paid,2019-11-11,48.0,,False
LD-000417,,CO-0017897,paid,2019-11-12,34.2,,False
LD-000418,,CO-0089372,paid,2019-11-12,28.1,,False
LD-000419,,CO-0090476,paid,2019-11-12,36.3,,False
LD-000420,,CO-0101318,paid,2019-11-12,35.1,,False
LD-000421,,CO-0083157,community,2019-11-12,57.7,,False
LD-000422,,CO-0053041,organic,2019-11-13,34.6,,False
LD-000423,,CO-0108682,paid,2019-11-13,26.5,,False
LD-000424,,CO-0078869,paid,2019-11-14,24.3,,False
LD-000425,,CO-0050048,paid,2019-11-14,28.9,,False
LD-000426,,CO-0093588,paid,2019-11-14,49.3,,False
LD-000427,,CO-0104565,organic,2019-11-15,38.4,,False
LD-000428,,CO-0091991,organic,2019-11-15,54.7,,False
LD-000429,,CO-0053120,paid,2019-11-15,41.2,,False
LD-000430,,CO-0109024,paid,2019-11-16,42.0,,False
LD-000431,,CO-0046552,paid,2019-11-17,45.8,,False
LD-000432,,CO-0002900,paid,2019-11-17,20.6,,False
LD-000433,,CO-0057889,community,2019-11-18,44.2,,False
LD-000434,,CO-0033924,organic,2019-11-19,39.7,,False
LD-000435,,CO-0034352,paid,2019-11-19,29.1,,False
LD-000436,,CO-0072244,paid,2019-11-19,34.0,,False
LD-000437,,CO-0047065,paid,2019-11-21,44.7,,False
LD-000438,,CO-0024998,paid,2019-11-22,24.5,,False
LD-000439,,CO-0055264,organic,2019-11-23,53.4,,False
LD-000440,,CO-0107413,organic,2019-11-24,41.8,,False
LD-000441,,CO-0115814,paid,2019-11-24,41.3,,False
LD-000442,,CO-0006714,paid,2019-11-24,18.7,,False
LD-000443,,CO-0112188,organic,2019-11-25,37.9,,False
LD-000444,,CO-0025400,organic,2019-11-25,70.7,,False
LD-000445,,CO-0064721,organic,2019-11-25,49.8,,False
LD-000446,,CO-0064409,paid,2019-11-25,39.0,,False
LD-000447,,CO-0079610,paid,2019-11-25,31.5,,False
LD-000448,,CO-0069991,organic,2019-11-26,43.5,,False
LD-000449,,CO-0086863,paid,2019-11-27,41.5,,False
LD-000450,,CO-0072227,paid,2019-11-27,30.7,,False
LD-000451,,CO-0118091,paid,2019-11-27,37.9,,False
