opportunity_id,account_id,company_id,segment,opportunity_type,owner_role,rep_id,is_won,loss_reason,forecast_category,amount,list_price,discount_rate,poc_outcome,created_date,close_date
OPP-0000051,ACC-005385,CO-0041643,SMB,new_business,system,,True,,Commit,1941.99,1958.93,0.0086,,2020-02-07,2020-02-07
OPP-0000052,ACC-002954,CO-0043168,SMB,new_business,system,,True,,Commit,3128.52,3211.76,0.0259,,2020-02-08,2020-02-08
OPP-0000053,ACC-007096,CO-0081800,SMB,new_business,system,,True,,Commit,2198.41,2242.41,0.0196,,2020-02-09,2020-02-09
OPP-0000054,ACC-005459,CO-0079894,SMB,new_business,system,,True,,Commit,1251.92,1265.39,0.0106,,2020-02-10,2020-02-10
OPP-0000055,ACC-005800,CO-0053055,SMB,new_business,system,,True,,Commit,2659.19,2780.65,0.0437,,2020-02-11,2020-02-11
OPP-0000056,ACC-006042,CO-0111915,SMB,new_business,system,,True,,Commit,954.42,1001.66,0.0472,,2020-02-11,2020-02-11
OPP-0000057,ACC-003173,CO-0004302,SMB,new_business,system,,True,,Commit,1689.96,1776.7,0.0488,,2020-02-12,2020-02-12
OPP-0000058,ACC-003425,CO-0093827,SMB,new_business,system,,True,,Commit,3040.32,3151.57,0.0353,,2020-02-12,2020-02-12
OPP-0000059,ACC-004602,CO-0051506,SMB,new_business,system,,True,,Commit,1221.01,1280.49,0.0465,,2020-02-12,2020-02-12
OPP-0000060,ACC-002415,CO-0105353,SMB,new_business,system,,True,,Commit,1793.79,1843.3,0.0269,,2020-02-13,2020-02-13
OPP-0000061,ACC-004778,CO-0058882,SMB,new_business,system,,True,,Commit,4148.78,4178.32,0.0071,,2020-02-14,2020-02-14
OPP-0000062,ACC-001786,CO-0007062,SMB,new_business,system,,True,,Commit,1664.23,1741.38,0.0443,,2020-02-15,2020-02-15
OPP-0000063,ACC-002657,CO-0017030,SMB,new_business,system,,True,,Commit,1323.13,1385.47,0.045,,2020-02-15,2020-02-15
OPP-0000064,ACC-005344,CO-0041704,SMB,new_business,system,,True,,Commit,3050.35,3148.42,0.0311,,2020-02-15,2020-02-15
OPP-0000065,ACC-007046,CO-0100385,SMB,new_business,system,,True,,Commit,1040.33,1059.43,0.018,,2020-02-15,2020-02-15
OPP-0000066,ACC-004196,CO-0004930,SMB,new_business,system,,True,,Commit,737.67,768.46,0.0401,,2020-02-16,2020-02-16
OPP-0000067,ACC-004109,CO-0097701,SMB,new_business,system,,True,,Commit,1450.5,1486.15,0.024,,2020-02-18,2020-02-18
OPP-0000068,ACC-006562,CO-0067083,SMB,new_business,system,,True,,Commit,1588.56,1596.28,0.0048,,2020-02-18,2020-02-18
OPP-0000069,ACC-006412,CO-0121908,SMB,new_business,system,,True,,Commit,3919.89,3939.11,0.0049,,2020-02-19,2020-02-19
OPP-0000070,ACC-001475,CO-0007490,SMB,new_business,system,,True,,Commit,1956.95,2033.49,0.0376,,2020-02-20,2020-02-20
OPP-0000071,ACC-001636,CO-0002062,SMB,new_business,system,,True,,Commit,1985.52,2002.67,0.0086,,2020-02-20,2020-02-20
OPP-0000072,ACC-001004,CO-0003558,SMB,new_business,system,,True,,Commit,3129.95,3280.94,0.046,,2020-02-21,2020-02-21
OPP-0000073,ACC-002133,CO-0075158,SMB,new_business,system,,True,,Commit,1900.81,1981.77,0.0408,,2020-02-21,2020-02-21
OPP-0000074,ACC-003666,CO-0056779,SMB,new_business,system,,True,,Commit,2986.73,3034.18,0.0156,,2020-02-21,2020-02-21
OPP-0000075,ACC-004606,CO-0109513,SMB,new_business,system,,True,,Commit,2694.55,2821.53,0.045,,2020-02-22,2020-02-22
OPP-0000076,ACC-002931,CO-0072926,SMB,new_business,system,,True,,Commit,817.9,820.42,0.0031,,2020-02-24,2020-02-24
OPP-0000077,ACC-001867,CO-0017370,SMB,new_business,system,,True,,Commit,3184.91,3321.12,0.041,,2020-02-25,2020-02-25
OPP-0000078,ACC-001599,CO-0058124,SMB,new_business,system,,True,,Commit,1539.28,1540.82,0.001,,2020-02-27,2020-02-27
OPP-0000079,ACC-001471,CO-0096978,SMB,new_business,system,,True,,Commit,2541.03,2637.66,0.0366,,2020-02-29,2020-02-29
OPP-0000080,ACC-004186,CO-0097933,SMB,new_business,system,,True,,Commit,3429.18,3455.32,0.0076,,2020-02-29,2020-02-29
OPP-0000081,ACC-005398,CO-0082038,SMB,new_business,system,,True,,Commit,3375.56,3533.68,0.0447,,2020-03-01,2020-03-01
OPP-0000082,ACC-001938,CO-0091963,SMB,new_business,system,,True,,Commit,1253.98,1314.2,0.0458,,2020-03-03,2020-03-03
OPP-0000083,ACC-003090,CO-0121688,SMB,new_business,system,,True,,Commit,1592.76,1634.8,0.0257,,2020-03-03,2020-03-03
OPP-0000084,ACC-004379,CO-0050490,SMB,new_business,system,,True,,Commit,1994.88,2051.71,0.0277,,2020-03-03,2020-03-03
OPP-0000085,ACC-002856,CO-0096956,SMB,new_business,system,,True,,Commit,4779.72,4973.45,0.039,,2020-03-04,2020-03-04
OPP-0000086,ACC-001602,CO-0026356,SMB,new_business,system,,True,,Commit,853.61,876.57,0.0262,,2020-03-05,2020-03-05
OPP-0000087,ACC-003457,CO-0021718,SMB,new_business,system,,True,,Commit,1552.96,1596.49,0.0273,,2020-03-05,2020-03-05
OPP-0000088,ACC-001224,CO-0073717,SMB,new_business,system,,True,,Commit,1915.48,1917.89,0.0013,,2020-03-06,2020-03-06
OPP-0000089,ACC-005581,CO-0005151,SMB,new_business,system,,True,,Commit,966.34,1016.58,0.0494,,2020-03-06,2020-03-06
OPP-0000090,ACC-005407,CO-0038432,SMB,new_business,system,,True,,Commit,2803.99,2927.06,0.042,,2020-03-10,2020-03-10
OPP-0000091,ACC-006694,CO-0070931,SMB,new_business,system,,True,,Commit,1487.71,1536.77,0.0319,,2020-03-10,2020-03-10
OPP-0000092,ACC-000292,CO-0058994,Commercial,new_business,ISR,REP-00010,True,,Commit,17664.02,19997.7,0.1167,,2020-03-12,2020-04-17
OPP-0000093,ACC-000830,CO-0041913,SMB,new_business,system,,True,,Commit,1183.84,1224.08,0.0329,,2020-03-14,2020-03-14
OPP-0000094,ACC-004113,CO-0017547,SMB,new_business,system,,True,,Commit,1364.55,1401.69,0.0265,,2020-03-14,2020-03-14
OPP-0000095,ACC-003098,CO-0003158,SMB,new_business,system,,True,,Commit,901.37,943.92,0.0451,,2020-03-17,2020-03-17
OPP-0000096,ACC-001695,CO-0031931,SMB,new_business,system,,True,,Commit,1963.11,1993.83,0.0154,,2020-03-19,2020-03-19
OPP-0000097,ACC-000561,CO-0050150,SMB,new_business,system,,True,,Commit,1836.16,1931.19,0.0492,,2020-03-21,2020-03-21
OPP-0000098,ACC-002235,CO-0049423,SMB,new_business,system,,True,,Commit,2010.55,2044.42,0.0166,,2020-03-21,2020-03-21
OPP-0000099,ACC-005646,CO-0031309,SMB,new_business,system,,True,,Commit,1545.09,1589.96,0.0282,,2020-03-21,2020-03-21
OPP-0000100,ACC-006619,CO-0083221,SMB,new_business,system,,True,,Commit,3530.19,3654.85,0.0341,,2020-03-21,2020-03-21
OPP-0000101,ACC-004541,CO-0029092,SMB,new_business,system,,True,,Commit,1953.77,1972.69,0.0096,,2020-03-22,2020-03-22
OPP-0000102,ACC-006770,CO-0009497,SMB,new_business,system,,True,,Commit,2202.17,2307.83,0.0458,,2020-03-22,2020-03-22
OPP-0000103,ACC-002697,CO-0003854,SMB,new_business,system,,True,,Commit,4152.17,4341.28,0.0436,,2020-03-24,2020-03-24
OPP-0000104,ACC-000691,CO-0024175,SMB,new_business,system,,True,,Commit,4593.89,4710.08,0.0247,,2020-03-25,2020-03-25
OPP-0000105,ACC-005900,CO-0068560,SMB,new_business,system,,True,,Commit,3994.62,4048.14,0.0132,,2020-03-25,2020-03-25
OPP-0000106,ACC-006176,CO-0022169,SMB,new_business,system,,True,,Commit,2503.43,2514.39,0.0044,,2020-03-25,2020-03-25
OPP-0000107,ACC-005832,CO-0059458,SMB,new_business,system,,True,,Commit,2576.92,2650.23,0.0277,,2020-03-26,2020-03-26
OPP-0000108,ACC-005938,CO-0007546,SMB,new_business,system,,True,,Commit,4209.23,4417.99,0.0473,,2020-03-26,2020-03-26
OPP-0000109,ACC-007535,CO-0016311,SMB,new_business,system,,True,,Commit,1601.81,1626.86,0.0154,,2020-03-28,2020-03-28
OPP-0000110,ACC-002779,CO-0065511,SMB,new_business,system,,True,,Commit,2470.45,2495.87,0.0102,,2020-03-29,2020-03-29
OPP-0000111,ACC-007035,CO-0047997,SMB,new_business,system,,True,,Commit,1207.31,1265.22,0.0458,,2020-03-29,2020-03-29
OPP-0000112,ACC-005933,CO-0022167,SMB,new_business,system,,True,,Commit,1731.42,1756.37,0.0142,,2020-03-30,2020-03-30
OPP-0000113,ACC-004122,CO-0012165,SMB,new_business,system,,True,,Commit,1160.9,1200.57,0.033,,2020-04-01,2020-04-01
OPP-0000114,ACC-004235,CO-0016412,SMB,new_business,system,,True,,Commit,2691.97,2825.08,0.0471,,2020-04-01,2020-04-01
OPP-0000115,ACC-006370,CO-0068962,SMB,new_business,system,,True,,Commit,1410.65,1417.76,0.005,,2020-04-03,2020-04-03
OPP-0000116,ACC-000985,CO-0011360,SMB,new_business,system,,True,,Commit,1549.49,1586.66,0.0234,,2020-04-05,2020-04-05
OPP-0000117,ACC-005345,CO-0086851,SMB,new_business,system,,True,,Commit,3034.42,3079.39,0.0146,,2020-04-05,2020-04-05
OPP-0000118,ACC-005664,CO-0051262,SMB,new_business,system,,True,,Commit,1808.59,1845.96,0.0202,,2020-04-05,2020-04-05
OPP-0000119,ACC-003795,CO-0060308,SMB,new_business,system,,True,,Commit,791.69,821.35,0.0361,,2020-04-06,2020-04-06
OPP-0000120,ACC-004486,CO-0055958,SMB,new_business,system,,True,,Commit,1388.6,1414.28,0.0182,,2020-04-07,2020-04-07
OPP-0000121,ACC-005698,CO-0023593,SMB,new_business,system,,True,,Commit,2523.43,2552.92,0.0116,,2020-04-08,2020-04-08
OPP-0000122,ACC-005820,CO-0052393,SMB,new_business,system,,True,,Commit,1009.75,1011.82,0.002,,2020-04-09,2020-04-09
OPP-0000123,ACC-007495,CO-0023844,SMB,new_business,system,,True,,Commit,2413.4,2425.12,0.0048,,2020-04-11,2020-04-11
OPP-0000124,ACC-002372,CO-0021341,SMB,new_business,system,,True,,Commit,1278.31,1317.55,0.0298,,2020-04-12,2020-04-12
OPP-0000125,ACC-003442,CO-0119288,SMB,new_business,system,,True,,Commit,1824.74,1874.8,0.0267,,2020-04-12,2020-04-12
OPP-0000126,ACC-005244,CO-0102670,SMB,new_business,system,,True,,Commit,1208.22,1227.24,0.0155,,2020-04-12,2020-04-12
OPP-0000127,ACC-004175,CO-0016285,SMB,new_business,system,,True,,Commit,2036.03,2051.71,0.0076,,2020-04-13,2020-04-13
OPP-0000128,ACC-003688,CO-0091582,SMB,new_business,system,,True,,Commit,827.01,859.57,0.0379,,2020-04-14,2020-04-14
OPP-0000129,ACC-006732,CO-0029096,SMB,new_business,system,,True,,Commit,1011.84,1012.64,0.0008,,2020-04-15,2020-04-15
OPP-0000130,ACC-000267,CO-0093076,Commercial,new_business,ISR,REP-00007,True,,Commit,22682.74,27469.52,0.1743,,2020-04-18,2020-06-02
OPP-0000131,ACC-006921,CO-0118326,SMB,new_business,system,,True,,Commit,7956.93,7983.46,0.0033,,2020-04-18,2020-04-18
OPP-0000132,ACC-004838,CO-0039885,SMB,new_business,system,,True,,Commit,3053.94,3101.56,0.0154,,2020-04-19,2020-04-19
OPP-0000133,ACC-006423,CO-0099486,SMB,new_business,system,,True,,Commit,907.63,949.34,0.0439,,2020-04-20,2020-04-20
OPP-0000134,ACC-006579,CO-0067873,SMB,new_business,system,,True,,Commit,4879.14,5081.93,0.0399,,2020-04-20,2020-04-20
OPP-0000135,ACC-005412,CO-0028318,SMB,new_business,system,,True,,Commit,817.54,837.33,0.0236,,2020-04-22,2020-04-22
OPP-0000136,ACC-001442,CO-0029613,SMB,new_business,system,,True,,Commit,1204.34,1223.64,0.0158,,2020-04-25,2020-04-25
OPP-0000137,ACC-001835,CO-0024710,SMB,new_business,system,,True,,Commit,1274.95,1295.71,0.016,,2020-04-27,2020-04-27
OPP-0000138,ACC-002839,CO-0089778,SMB,new_business,system,,True,,Commit,1773.06,1848.58,0.0409,,2020-04-27,2020-04-27
OPP-0000139,ACC-000549,CO-0036469,SMB,new_business,system,,True,,Commit,814.59,837.13,0.0269,,2020-04-28,2020-04-28
OPP-0000140,ACC-001921,CO-0024570,SMB,new_business,system,,True,,Commit,993.71,998.03,0.0043,,2020-04-28,2020-04-28
OPP-0000141,ACC-007570,CO-0018923,SMB,new_business,system,,True,,Commit,2839.94,2890.16,0.0174,,2020-04-28,2020-04-28
OPP-0000142,ACC-000254,CO-0030764,Commercial,new_business,ISR,REP-00010,True,,Commit,15000.0,17522.81,0.144,,2020-04-30,2020-05-29
OPP-0000143,ACC-002865,CO-0055659,SMB,new_business,system,,True,,Commit,1241.34,1247.88,0.0052,,2020-04-30,2020-04-30
OPP-0000144,ACC-003400,CO-0093830,SMB,new_business,system,,True,,Commit,4028.63,4230.57,0.0477,,2020-04-30,2020-04-30
OPP-0000145,ACC-006279,CO-0036252,SMB,new_business,system,,True,,Commit,2535.36,2631.15,0.0364,,2020-04-30,2020-04-30
OPP-0000146,ACC-005003,CO-0025505,SMB,new_business,system,,True,,Commit,1219.97,1269.63,0.0391,,2020-05-05,2020-05-05
OPP-0000147,ACC-003344,CO-0032552,SMB,new_business,system,,True,,Commit,2897.13,3044.05,0.0483,,2020-05-07,2020-05-07
OPP-0000148,ACC-005543,CO-0000919,SMB,new_business,system,,True,,Commit,3744.03,3892.23,0.0381,,2020-05-07,2020-05-07
OPP-0000149,ACC-001863,CO-0100369,SMB,new_business,system,,True,,Commit,709.56,734.49,0.0339,,2020-05-08,2020-05-08
OPP-0000150,ACC-006805,CO-0023374,SMB,new_business,system,,True,,Commit,1533.58,1546.95,0.0086,,2020-05-08,2020-05-08
OPP-0000151,ACC-005507,CO-0041605,SMB,new_business,system,,True,,Commit,654.64,675.48,0.0308,,2020-05-09,2020-05-09
OPP-0000152,ACC-004263,CO-0055760,SMB,new_business,system,,True,,Commit,1719.28,1797.67,0.0436,,2020-05-10,2020-05-10
OPP-0000153,ACC-005053,CO-0018558,SMB,new_business,system,,True,,Commit,1922.76,1930.16,0.0038,,2020-05-10,2020-05-10
OPP-0000154,ACC-007626,CO-0074678,SMB,new_business,system,,True,,Commit,787.1,795.76,0.0109,,2020-05-10,2020-05-10
OPP-0000155,ACC-003139,CO-0047987,SMB,new_business,system,,True,,Commit,334.95,345.05,0.0293,,2020-05-12,2020-05-12
OPP-0000156,ACC-004600,CO-0095177,SMB,new_business,system,,True,,Commit,2011.81,2080.17,0.0329,,2020-05-12,2020-05-12
OPP-0000157,ACC-006181,CO-0093864,SMB,new_business,system,,True,,Commit,572.69,602.18,0.049,,2020-05-12,2020-05-12
OPP-0000158,ACC-007410,CO-0061426,SMB,new_business,system,,True,,Commit,1504.89,1540.79,0.0233,,2020-05-12,2020-05-12
OPP-0000159,ACC-005921,CO-0000679,SMB,new_business,system,,True,,Commit,1628.24,1700.59,0.0425,,2020-05-15,2020-05-15
OPP-0000160,ACC-002599,CO-0068498,SMB,new_business,system,,True,,Commit,3241.97,3323.13,0.0244,,2020-05-16,2020-05-16
OPP-0000161,ACC-004024,CO-0002096,SMB,new_business,system,,True,,Commit,1214.23,1268.45,0.0427,,2020-05-16,2020-05-16
OPP-0000162,ACC-004295,CO-0096815,SMB,new_business,system,,True,,Commit,3976.81,4030.56,0.0133,,2020-05-17,2020-05-17
OPP-0000163,ACC-003785,CO-0048575,SMB,new_business,system,,True,,Commit,776.41,813.5,0.0456,,2020-05-18,2020-05-18
OPP-0000164,ACC-007248,CO-0100313,SMB,new_business,system,,True,,Commit,2645.83,2652.19,0.0024,,2020-05-18,2020-05-18
OPP-0000165,ACC-001258,CO-0016940,SMB,new_business,system,,True,,Commit,1104.63,1129.17,0.0217,,2020-05-19,2020-05-19
OPP-0000166,ACC-006586,CO-0030722,SMB,new_business,system,,True,,Commit,2297.36,2407.77,0.0459,,2020-05-19,2020-05-19
OPP-0000167,ACC-000080,CO-0032221,Enterprise,new_business,AE,REP-00000,True,,Commit,366823.19,443058.15,0.1721,pass,2020-05-20,2020-09-19
OPP-0000168,ACC-004390,CO-0037066,SMB,new_business,system,,True,,Commit,2161.73,2233.62,0.0322,,2020-05-20,2020-05-20
OPP-0000169,ACC-005215,CO-0109340,SMB,new_business,system,,True,,Commit,6578.77,6800.05,0.0325,,2020-05-20,2020-05-20
OPP-0000170,ACC-000597,CO-0118082,SMB,new_business,system,,True,,Commit,656.78,668.25,0.0172,,2020-05-23,2020-05-23
OPP-0000171,ACC-007414,CO-0020970,SMB,new_business,system,,True,,Commit,843.01,845.7,0.0032,,2020-05-23,2020-05-23
OPP-0000172,ACC-004872,CO-0030280,SMB,new_business,system,,True,,Commit,1991.99,2005.31,0.0066,,2020-05-24,2020-05-24
OPP-0000173,ACC-001360,CO-0122717,SMB,new_business,system,,True,,Commit,3135.01,3140.37,0.0017,,2020-05-25,2020-05-25
OPP-0000174,ACC-007258,CO-0103049,SMB,new_business,system,,True,,Commit,1356.28,1402.31,0.0328,,2020-05-25,2020-05-25
OPP-0000175,ACC-005817,CO-0060395,SMB,new_business,system,,True,,Commit,3457.3,3531.06,0.0209,,2020-05-26,2020-05-26
OPP-0000176,ACC-003631,CO-0068513,SMB,new_business,system,,True,,Commit,4016.19,4177.24,0.0386,,2020-05-27,2020-05-27
OPP-0000177,ACC-003377,CO-0121306,SMB,new_business,system,,True,,Commit,7837.54,8161.24,0.0397,,2020-05-28,2020-05-28
OPP-0000178,ACC-000437,CO-0106662,Commercial,new_business,ISR,REP-00007,True,,Commit,16557.67,20555.14,0.1945,,2020-05-29,2020-07-12
OPP-0000179,ACC-004302,CO-0055985,SMB,new_business,system,,True,,Commit,3145.46,3187.29,0.0131,,2020-05-29,2020-05-29
OPP-0000180,ACC-001296,CO-0119950,SMB,new_business,system,,True,,Commit,1286.33,1344.29,0.0431,,2020-05-30,2020-05-30
OPP-0000181,ACC-000020,CO-0082862,Enterprise,new_business,AE,REP-00000,True,,Commit,384000.16,449882.54,0.1464,pass,2020-05-31,2020-11-16
OPP-0000182,ACC-005740,CO-0086842,SMB,new_business,system,,True,,Commit,2296.92,2390.55,0.0392,,2020-05-31,2020-05-31
OPP-0000183,ACC-006491,CO-0011038,SMB,new_business,system,,True,,Commit,2007.68,2085.77,0.0374,,2020-05-31,2020-05-31
OPP-0000184,ACC-002136,CO-0052846,SMB,new_business,system,,True,,Commit,2734.11,2757.8,0.0086,,2020-06-01,2020-06-01
OPP-0000185,ACC-004721,CO-0074783,SMB,new_business,system,,True,,Commit,1073.8,1115.89,0.0377,,2020-06-01,2020-06-01
OPP-0000186,ACC-003009,CO-0104008,SMB,new_business,system,,True,,Commit,1143.25,1177.25,0.0289,,2020-06-02,2020-06-02
OPP-0000187,ACC-000625,CO-0045597,SMB,new_business,system,,True,,Commit,1243.69,1249.13,0.0044,,2020-06-03,2020-06-03
OPP-0000188,ACC-002687,CO-0006575,SMB,new_business,system,,True,,Commit,1399.73,1411.82,0.0086,,2020-06-03,2020-06-03
OPP-0000189,ACC-006568,CO-0035766,SMB,new_business,system,,True,,Commit,3284.99,3295.86,0.0033,,2020-06-03,2020-06-03
OPP-0000190,ACC-002742,CO-0022800,SMB,new_business,system,,True,,Commit,870.63,881.25,0.012,,2020-06-04,2020-06-04
OPP-0000191,ACC-004287,CO-0008523,SMB,new_business,system,,True,,Commit,2331.55,2392.29,0.0254,,2020-06-04,2020-06-04
OPP-0000192,ACC-005802,CO-0067995,SMB,new_business,system,,True,,Commit,883.93,920.91,0.0402,,2020-06-05,2020-06-05
OPP-0000193,ACC-000580,CO-0113753,SMB,new_business,system,,True,,Commit,4270.06,4320.46,0.0117,,2020-06-06,2020-06-06
OPP-0000194,ACC-004286,CO-0003058,SMB,new_business,system,,True,,Commit,1383.0,1436.42,0.0372,,2020-06-06,2020-06-06
OPP-0000195,ACC-004559,CO-0076468,SMB,new_business,system,,True,,Commit,1907.28,1939.11,0.0164,,2020-06-06,2020-06-06
OPP-0000196,ACC-004702,CO-0026799,SMB,new_business,system,,True,,Commit,1189.65,1223.47,0.0276,,2020-06-07,2020-06-07
