account_id,month,segment,actions_consumed,active_workflows
ACC-000001,2025-12-01,Enterprise,428511,104
ACC-000002,2025-10-01,Enterprise,41689,32
ACC-000002,2025-11-01,Enterprise,160786,63
ACC-000002,2025-12-01,Enterprise,306685,88
ACC-000003,2024-01-01,Enterprise,83831,46
ACC-000003,2024-02-01,Enterprise,144606,60
ACC-000003,2024-03-01,Enterprise,283982,84
ACC-000003,2024-04-01,Enterprise,596112,122
ACC-000003,2024-05-01,Enterprise,900831,150
ACC-000003,2024-06-01,Enterprise,862372,147
ACC-000003,2024-07-01,Enterprise,901625,150
ACC-000003,2024-08-01,Enterprise,745702,137
ACC-000003,2024-09-01,Enterprise,951335,154
ACC-000003,2024-10-01,Enterprise,945093,154
ACC-000003,2024-11-01,Enterprise,1021899,160
ACC-000003,2024-12-01,Enterprise,842972,145
ACC-000003,2025-01-01,Enterprise,1115923,167
ACC-000003,2025-02-01,Enterprise,1060788,163
ACC-000003,2025-03-01,Enterprise,1113670,167
ACC-000003,2025-04-01,Enterprise,1120805,167
ACC-000003,2025-05-01,Enterprise,1082722,165
ACC-000003,2025-06-01,Enterprise,1057807,163
ACC-000003,2025-07-01,Enterprise,1139919,169
ACC-000003,2025-08-01,Enterprise,977379,156
ACC-000003,2025-09-01,Enterprise,1008830,159
ACC-000003,2025-10-01,Enterprise,1004708,158
ACC-000003,2025-11-01,Enterprise,1107635,166
ACC-000003,2025-12-01,Enterprise,1186876,172
ACC-000004,2025-10-01,Enterprise,57171,38
ACC-000004,2025-11-01,Enterprise,143707,60
ACC-000004,2025-12-01,Enterprise,382167,98
ACC-000005,2023-11-01,Enterprise,84188,46
ACC-000005,2023-12-01,Enterprise,117637,54
ACC-000005,2024-01-01,Enterprise,301424,87
ACC-000005,2024-02-01,Enterprise,470732,108
ACC-000005,2024-03-01,Enterprise,770421,139
ACC-000005,2024-04-01,Enterprise,732958,135
ACC-000005,2024-05-01,Enterprise,876319,148
ACC-000005,2024-06-01,Enterprise,822168,143
ACC-000005,2024-07-01,Enterprise,820985,143
ACC-000005,2024-08-01,Enterprise,845778,145
ACC-000005,2024-09-01,Enterprise,923818,152
ACC-000005,2024-10-01,Enterprise,857376,146
ACC-000005,2024-11-01,Enterprise,895913,150
ACC-000005,2024-12-01,Enterprise,768326,139
ACC-000005,2025-01-01,Enterprise,826701,144
ACC-000005,2025-02-01,Enterprise,884304,149
ACC-000005,2025-03-01,Enterprise,874546,148
ACC-000005,2025-04-01,Enterprise,946309,154
ACC-000005,2025-05-01,Enterprise,850359,146
ACC-000005,2025-06-01,Enterprise,963152,155
ACC-000005,2025-07-01,Enterprise,988217,157
ACC-000005,2025-08-01,Enterprise,883181,149
ACC-000005,2025-09-01,Enterprise,847971,146
ACC-000005,2025-10-01,Enterprise,947460,154
ACC-000005,2025-11-01,Enterprise,937997,153
ACC-000005,2025-12-01,Enterprise,760775,138
ACC-000006,2024-12-01,Enterprise,75861,44
ACC-000006,2025-01-01,Enterprise,149024,61
ACC-000006,2025-02-01,Enterprise,268964,82
ACC-000006,2025-03-01,Enterprise,427239,103
ACC-000006,2025-04-01,Enterprise,775291,139
ACC-000006,2025-05-01,Enterprise,807194,142
ACC-000006,2025-06-01,Enterprise,817948,143
ACC-000006,2025-07-01,Enterprise,794662,141
ACC-000006,2025-08-01,Enterprise,685928,131
ACC-000006,2025-09-01,Enterprise,956755,155
ACC-000006,2025-10-01,Enterprise,902920,150
ACC-000006,2025-11-01,Enterprise,867002,147
ACC-000006,2025-12-01,Enterprise,654670,128
ACC-000007,2024-08-01,Enterprise,70277,42
ACC-000007,2024-09-01,Enterprise,146141,60
ACC-000007,2024-10-01,Enterprise,287376,85
ACC-000007,2024-11-01,Enterprise,402599,100
ACC-000007,2024-12-01,Enterprise,675407,130
ACC-000007,2025-01-01,Enterprise,750663,137
ACC-000007,2025-02-01,Enterprise,955663,155
ACC-000007,2025-03-01,Enterprise,891022,149
ACC-000007,2025-04-01,Enterprise,818367,143
ACC-000007,2025-05-01,Enterprise,891430,149
ACC-000007,2025-06-01,Enterprise,859641,147
ACC-000007,2025-07-01,Enterprise,740910,136
ACC-000007,2025-08-01,Enterprise,718434,134
ACC-000007,2025-09-01,Enterprise,621964,125
ACC-000007,2025-10-01,Enterprise,863653,147
ACC-000007,2025-11-01,Enterprise,854411,146
ACC-000007,2025-12-01,Enterprise,760819,138
ACC-000008,2024-03-01,Enterprise,65007,40
ACC-000008,2024-04-01,Enterprise,121829,55
ACC-000008,2024-05-01,Enterprise,206738,72
ACC-000008,2024-06-01,Enterprise,352548,94
ACC-000008,2024-07-01,Enterprise,459774,107
ACC-000008,2024-08-01,Enterprise,605922,123
ACC-000008,2024-09-01,Enterprise,616221,124
ACC-000008,2024-10-01,Enterprise,642408,127
ACC-000008,2024-11-01,Enterprise,635666,126
ACC-000008,2024-12-01,Enterprise,515693,114
ACC-000008,2025-01-01,Enterprise,796839,141
ACC-000008,2025-02-01,Enterprise,631257,126
ACC-000008,2025-03-01,Enterprise,673002,130
ACC-000008,2025-04-01,Enterprise,712454,133
ACC-000008,2025-05-01,Enterprise,629442,125
ACC-000008,2025-06-01,Enterprise,586930,121
ACC-000008,2025-07-01,Enterprise,624665,125
ACC-000008,2025-08-01,Enterprise,581854,121
ACC-000008,2025-09-01,Enterprise,640464,127
ACC-000008,2025-10-01,Enterprise,720173,134
ACC-000008,2025-11-01,Enterprise,710317,133
ACC-000008,2025-12-01,Enterprise,546601,117
ACC-000009,2021-09-01,Enterprise,53508,37
ACC-000009,2021-10-01,Enterprise,93031,48
ACC-000009,2021-11-01,Enterprise,195411,70
ACC-000009,2021-12-01,Enterprise,242881,78
ACC-000009,2022-01-01,Enterprise,597256,122
ACC-000009,2022-02-01,Enterprise,587303,121
ACC-000009,2022-03-01,Enterprise,541451,116
ACC-000009,2022-04-01,Enterprise,493582,111
ACC-000009,2022-05-01,Enterprise,521609,114
ACC-000009,2022-06-01,Enterprise,451829,106
ACC-000009,2022-07-01,Enterprise,619238,124
ACC-000009,2022-08-01,Enterprise,491199,111
ACC-000009,2022-09-01,Enterprise,665719,129
ACC-000009,2022-10-01,Enterprise,640251,127
ACC-000009,2022-11-01,Enterprise,673268,130
ACC-000009,2022-12-01,Enterprise,613114,124
ACC-000009,2023-01-01,Enterprise,577808,120
ACC-000009,2023-02-01,Enterprise,755381,137
ACC-000009,2023-03-01,Enterprise,745981,137
ACC-000009,2023-04-01,Enterprise,641916,127
ACC-000009,2023-05-01,Enterprise,675863,130
ACC-000009,2023-06-01,Enterprise,617620,124
ACC-000009,2023-07-01,Enterprise,659315,128
ACC-000009,2023-08-01,Enterprise,661124,129
ACC-000009,2023-09-01,Enterprise,718193,134
ACC-000009,2023-10-01,Enterprise,775613,139
ACC-000009,2023-11-01,Enterprise,895592,150
ACC-000009,2023-12-01,Enterprise,773106,139
ACC-000009,2024-01-01,Enterprise,827308,144
ACC-000009,2024-02-01,Enterprise,873392,148
ACC-000009,2024-03-01,Enterprise,850065,146
ACC-000009,2024-04-01,Enterprise,823967,144
ACC-000009,2024-05-01,Enterprise,907654,151
ACC-000009,2024-06-01,Enterprise,1054117,162
ACC-000009,2024-07-01,Enterprise,821995,143
ACC-000009,2024-08-01,Enterprise,930273,153
ACC-000009,2024-09-01,Enterprise,893437,149
ACC-000009,2024-10-01,Enterprise,858806,147
ACC-000009,2024-11-01,Enterprise,784860,140
ACC-000009,2024-12-01,Enterprise,766098,138
ACC-000009,2025-01-01,Enterprise,1117319,167
ACC-000009,2025-02-01,Enterprise,979942,157
ACC-000009,2025-03-01,Enterprise,1120990,167
ACC-000009,2025-04-01,Enterprise,1093152,165
ACC-000009,2025-05-01,Enterprise,855553,146
ACC-000009,2025-06-01,Enterprise,989991,157
ACC-000009,2025-07-01,Enterprise,1022683,160
ACC-000009,2025-08-01,Enterprise,1026645,160
ACC-000009,2025-09-01,Enterprise,990246,157
ACC-000009,2025-10-01,Enterprise,1093547,165
ACC-000009,2025-11-01,Enterprise,1292291,180
ACC-000009,2025-12-01,Enterprise,947105,154
ACC-000010,2020-12-01,Enterprise,129747,57
ACC-000010,2021-01-01,Enterprise,272316,83
ACC-000010,2021-02-01,Enterprise,462687,108
ACC-000010,2021-03-01,Enterprise,776056,139
ACC-000010,2021-04-01,Enterprise,1641463,203
ACC-000010,2021-05-01,Enterprise,1344935,183
ACC-000010,2021-06-01,Enterprise,1558321,197
ACC-000010,2021-07-01,Enterprise,1299667,180
ACC-000010,2021-08-01,Enterprise,1412542,188
ACC-000010,2021-09-01,Enterprise,1424642,189
ACC-000010,2021-10-01,Enterprise,1939449,220
ACC-000010,2021-11-01,Enterprise,1490435,193
ACC-000010,2021-12-01,Enterprise,1252513,177
ACC-000010,2022-01-01,Enterprise,1734514,208
ACC-000010,2022-02-01,Enterprise,1449971,190
ACC-000010,2022-03-01,Enterprise,1437009,190
ACC-000010,2022-04-01,Enterprise,1722399,208
ACC-000010,2022-05-01,Enterprise,1804142,212
ACC-000010,2022-06-01,Enterprise,1634566,202
ACC-000010,2022-07-01,Enterprise,1532227,196
ACC-000010,2022-08-01,Enterprise,1844616,215
ACC-000010,2022-09-01,Enterprise,1865682,216
ACC-000010,2022-10-01,Enterprise,1725391,208
ACC-000010,2022-11-01,Enterprise,2082438,228
ACC-000010,2022-12-01,Enterprise,1339094,183
ACC-000010,2023-01-01,Enterprise,2248385,237
ACC-000010,2023-02-01,Enterprise,1835980,214
ACC-000010,2023-03-01,Enterprise,1586127,199
ACC-000010,2023-04-01,Enterprise,1890341,217
ACC-000010,2023-05-01,Enterprise,1548377,197
ACC-000010,2023-06-01,Enterprise,1889289,217
ACC-000010,2023-07-01,Enterprise,1639816,202
ACC-000010,2023-08-01,Enterprise,1756383,210
ACC-000010,2023-09-01,Enterprise,2149813,232
ACC-000010,2023-10-01,Enterprise,1728539,208
ACC-000010,2023-11-01,Enterprise,1886932,217
ACC-000010,2023-12-01,Enterprise,1754804,209
ACC-000010,2024-01-01,Enterprise,2312811,240
ACC-000010,2024-02-01,Enterprise,1957032,221
ACC-000010,2024-03-01,Enterprise,2212530,235
ACC-000010,2024-04-01,Enterprise,2098230,229
ACC-000010,2024-05-01,Enterprise,1959700,221
ACC-000010,2024-06-01,Enterprise,2056752,227
ACC-000010,2024-07-01,Enterprise,1761565,210
ACC-000010,2024-08-01,Enterprise,2066237,227
ACC-000010,2024-09-01,Enterprise,2169954,233
ACC-000010,2024-10-01,Enterprise,2506370,250
ACC-000010,2024-11-01,Enterprise,2645352,257
ACC-000010,2024-12-01,Enterprise,2183479,234
ACC-000010,2025-01-01,Enterprise,3025298,275
ACC-000010,2025-02-01,Enterprise,2427430,246
ACC-000010,2025-03-01,Enterprise,2403596,245
ACC-000010,2025-04-01,Enterprise,2258881,238
ACC-000010,2025-05-01,Enterprise,2278012,239
ACC-000010,2025-06-01,Enterprise,2416321,246
ACC-000010,2025-07-01,Enterprise,2167815,233
ACC-000010,2025-08-01,Enterprise,2495393,250
ACC-000010,2025-09-01,Enterprise,2700739,260
ACC-000010,2025-10-01,Enterprise,3251254,285
ACC-000010,2025-11-01,Enterprise,2618112,256
ACC-000010,2025-12-01,Enterprise,2146827,232
ACC-000011,2022-02-01,Enterprise,58970,38
ACC-000011,2022-03-01,Enterprise,92928,48
ACC-000011,2022-04-01,Enterprise,149628,61
ACC-000011,2022-05-01,Enterprise,326289,90
ACC-000011,2022-06-01,Enterprise,611811,124
ACC-000011,2022-07-01,Enterprise,595230,122
ACC-000011,2022-08-01,Enterprise,459210,107
ACC-000011,2022-09-01,Enterprise,585485,121
ACC-000011,2022-10-01,Enterprise,510405,113
ACC-000011,2022-11-01,Enterprise,534399,116
ACC-000011,2022-12-01,Enterprise,494964,111
ACC-000011,2023-01-01,Enterprise,769655,139
ACC-000011,2023-02-01,Enterprise,635069,126
ACC-000011,2023-03-01,Enterprise,589687,121
ACC-000011,2023-04-01,Enterprise,599111,122
ACC-000011,2023-05-01,Enterprise,616896,124
ACC-000011,2023-06-01,Enterprise,614763,124
ACC-000011,2023-07-01,Enterprise,653155,128
ACC-000011,2023-08-01,Enterprise,683807,131
ACC-000011,2023-09-01,Enterprise,697122,132
ACC-000011,2023-10-01,Enterprise,786182,140
ACC-000011,2023-11-01,Enterprise,830292,144
ACC-000011,2023-12-01,Enterprise,649170,127
ACC-000011,2024-01-01,Enterprise,848740,146
ACC-000011,2024-02-01,Enterprise,784256,140
ACC-000011,2024-03-01,Enterprise,837347,145
ACC-000011,2024-04-01,Enterprise,746338,137
ACC-000011,2024-05-01,Enterprise,757310,138
ACC-000011,2024-06-01,Enterprise,792696,141
ACC-000011,2024-07-01,Enterprise,701870,132
ACC-000011,2024-08-01,Enterprise,848138,146
ACC-000011,2024-09-01,Enterprise,1021343,160
ACC-000011,2024-10-01,Enterprise,983020,157
ACC-000011,2024-11-01,Enterprise,980330,157
ACC-000011,2024-12-01,Enterprise,826772,144
ACC-000011,2025-01-01,Enterprise,1070993,164
ACC-000011,2025-02-01,Enterprise,849954,146
ACC-000011,2025-03-01,Enterprise,970032,156
ACC-000011,2025-04-01,Enterprise,1021377,160
ACC-000011,2025-05-01,Enterprise,1077162,164
ACC-000011,2025-06-01,Enterprise,1104141,166
ACC-000011,2025-07-01,Enterprise,939173,153
ACC-000011,2025-08-01,Enterprise,973612,156
ACC-000011,2025-09-01,Enterprise,1257447,177
ACC-000011,2025-10-01,Enterprise,1130715,168
ACC-000011,2025-11-01,Enterprise,1099179,166
ACC-000011,2025-12-01,Enterprise,948088,154
ACC-000012,2023-03-01,Enterprise,41272,32
ACC-000012,2023-04-01,Enterprise,92631,48
ACC-000012,2023-05-01,Enterprise,130870,57
ACC-000012,2023-06-01,Enterprise,277037,83
ACC-000012,2023-07-01,Enterprise,452956,106
ACC-000012,2023-08-01,Enterprise,400920,100
ACC-000012,2023-09-01,Enterprise,538976,116
ACC-000012,2023-10-01,Enterprise,468798,108
ACC-000012,2023-11-01,Enterprise,543089,117
ACC-000012,2023-12-01,Enterprise,446889,106
ACC-000012,2024-01-01,Enterprise,536293,116
ACC-000012,2024-02-01,Enterprise,583306,121
ACC-000012,2024-03-01,Enterprise,532740,115
ACC-000012,2024-04-01,Enterprise,493596,111
ACC-000012,2024-05-01,Enterprise,529030,115
ACC-000012,2024-06-01,Enterprise,542490,116
ACC-000012,2024-07-01,Enterprise,590555,122
ACC-000012,2024-08-01,Enterprise,546281,117
ACC-000012,2024-09-01,Enterprise,591448,122
ACC-000012,2024-10-01,Enterprise,654993,128
ACC-000012,2024-11-01,Enterprise,548043,117
ACC-000012,2024-12-01,Enterprise,522800,114
ACC-000012,2025-01-01,Enterprise,713931,134
ACC-000012,2025-02-01,Enterprise,746591,137
ACC-000012,2025-03-01,Enterprise,636621,126
ACC-000012,2025-04-01,Enterprise,658307,128
ACC-000012,2025-05-01,Enterprise,590249,121
ACC-000012,2025-06-01,Enterprise,633027,126
ACC-000012,2025-07-01,Enterprise,602215,123
ACC-000012,2025-08-01,Enterprise,578699,120
ACC-000012,2025-09-01,Enterprise,711993,133
ACC-000012,2025-10-01,Enterprise,653227,128
ACC-000012,2025-11-01,Enterprise,699407,132
ACC-000012,2025-12-01,Enterprise,535166,116
ACC-000013,2025-01-01,Enterprise,34569,29
ACC-000013,2025-02-01,Enterprise,60934,39
ACC-000013,2025-03-01,Enterprise,130428,57
ACC-000013,2025-04-01,Enterprise,226569,75
ACC-000013,2025-05-01,Enterprise,412179,102
ACC-000013,2025-06-01,Enterprise,320602,90
ACC-000013,2025-07-01,Enterprise,317500,89
ACC-000013,2025-08-01,Enterprise,334147,91
ACC-000013,2025-09-01,Enterprise,384228,98
ACC-000013,2025-10-01,Enterprise,426106,103
ACC-000013,2025-11-01,Enterprise,399399,100
ACC-000013,2025-12-01,Enterprise,394507,99
ACC-000014,2024-10-01,Enterprise,75035,43
ACC-000014,2024-11-01,Enterprise,150648,61
ACC-000014,2024-12-01,Enterprise,196954,70
ACC-000014,2025-01-01,Enterprise,355173,94
ACC-000014,2025-02-01,Enterprise,655371,128
ACC-000014,2025-03-01,Enterprise,663362,129
ACC-000014,2025-04-01,Enterprise,772693,139
ACC-000014,2025-05-01,Enterprise,609796,123
ACC-000014,2025-06-01,Enterprise,696975,132
ACC-000014,2025-07-01,Enterprise,711206,133
ACC-000014,2025-08-01,Enterprise,823498,143
ACC-000014,2025-09-01,Enterprise,861456,147
ACC-000014,2025-10-01,Enterprise,787017,140
ACC-000014,2025-11-01,Enterprise,893340,149
ACC-000014,2025-12-01,Enterprise,713064,134
ACC-000015,2024-05-01,Enterprise,91667,48
ACC-000015,2024-06-01,Enterprise,134716,58
ACC-000015,2024-07-01,Enterprise,240073,77
ACC-000015,2024-08-01,Enterprise,388046,98
ACC-000015,2024-09-01,Enterprise,884476,149
ACC-000015,2024-10-01,Enterprise,891518,149
ACC-000015,2024-11-01,Enterprise,833495,144
ACC-000015,2024-12-01,Enterprise,620033,125
ACC-000015,2025-01-01,Enterprise,953579,154
ACC-000015,2025-02-01,Enterprise,798568,141
ACC-000015,2025-03-01,Enterprise,956297,155
ACC-000015,2025-04-01,Enterprise,890556,149
ACC-000015,2025-05-01,Enterprise,749526,137
ACC-000015,2025-06-01,Enterprise,910798,151
ACC-000015,2025-07-01,Enterprise,853206,146
ACC-000015,2025-08-01,Enterprise,818703,143
ACC-000015,2025-09-01,Enterprise,1004973,159
ACC-000015,2025-10-01,Enterprise,882575,149
ACC-000015,2025-11-01,Enterprise,1039834,161
ACC-000015,2025-12-01,Enterprise,893668,149
ACC-000016,2025-11-01,Enterprise,54038,37
ACC-000016,2025-12-01,Enterprise,440998,105
ACC-000017,2021-03-01,Enterprise,46050,34
ACC-000017,2021-04-01,Enterprise,98258,50
ACC-000017,2021-05-01,Enterprise,154900,62
ACC-000017,2021-06-01,Enterprise,315414,89
ACC-000017,2021-07-01,Enterprise,488115,110
ACC-000017,2021-08-01,Enterprise,526088,115
ACC-000017,2021-09-01,Enterprise,601043,123
ACC-000017,2021-10-01,Enterprise,716370,134
ACC-000017,2021-11-01,Enterprise,552475,118
ACC-000017,2021-12-01,Enterprise,428576,104
ACC-000017,2022-01-01,Enterprise,651513,128
ACC-000017,2022-02-01,Enterprise,705085,133
ACC-000017,2022-03-01,Enterprise,632389,126
ACC-000017,2022-04-01,Enterprise,631661,126
ACC-000017,2022-05-01,Enterprise,577429,120
ACC-000017,2022-06-01,Enterprise,619147,124
ACC-000017,2022-07-01,Enterprise,520406,114
ACC-000017,2022-08-01,Enterprise,563970,119
ACC-000017,2022-09-01,Enterprise,655562,128
ACC-000017,2022-10-01,Enterprise,703097,133
ACC-000017,2022-11-01,Enterprise,712601,133
ACC-000017,2022-12-01,Enterprise,568787,119
ACC-000017,2023-01-01,Enterprise,755270,137
ACC-000017,2023-02-01,Enterprise,864224,147
ACC-000017,2023-03-01,Enterprise,756787,138
ACC-000017,2023-04-01,Enterprise,851568,146
ACC-000017,2023-05-01,Enterprise,681647,131
ACC-000017,2023-06-01,Enterprise,752345,137
ACC-000017,2023-07-01,Enterprise,776643,139
ACC-000017,2023-08-01,Enterprise,713458,134
ACC-000017,2023-09-01,Enterprise,850339,146
ACC-000017,2023-10-01,Enterprise,805248,142
ACC-000017,2023-11-01,Enterprise,861407,147
ACC-000017,2023-12-01,Enterprise,647126,127
ACC-000017,2024-01-01,Enterprise,891045,149
ACC-000017,2024-02-01,Enterprise,847263,146
ACC-000017,2024-03-01,Enterprise,826869,144
ACC-000017,2024-04-01,Enterprise,987991,157
ACC-000017,2024-05-01,Enterprise,927849,152
ACC-000017,2024-06-01,Enterprise,927581,152
ACC-000017,2024-07-01,Enterprise,781710,140
ACC-000017,2024-08-01,Enterprise,811242,142
ACC-000017,2024-09-01,Enterprise,1028861,160
ACC-000017,2024-10-01,Enterprise,977236,156
ACC-000017,2024-11-01,Enterprise,1220764,175
ACC-000017,2024-12-01,Enterprise,831877,144
ACC-000017,2025-01-01,Enterprise,943868,154
ACC-000017,2025-02-01,Enterprise,1173827,171
ACC-000017,2025-03-01,Enterprise,1107884,166
ACC-000017,2025-04-01,Enterprise,1248562,177
ACC-000017,2025-05-01,Enterprise,1217061,174
ACC-000017,2025-06-01,Enterprise,998527,158
ACC-000017,2025-07-01,Enterprise,1093239,165
ACC-000017,2025-08-01,Enterprise,1194685,173
ACC-000017,2025-09-01,Enterprise,1259014,177
ACC-000017,2025-10-01,Enterprise,1306563,181
ACC-000017,2025-11-01,Enterprise,1349707,184
ACC-000017,2025-12-01,Enterprise,1110580,167
ACC-000018,2024-11-01,Enterprise,42198,32
ACC-000018,2024-12-01,Enterprise,52364,36
ACC-000018,2025-01-01,Enterprise,120532,55
ACC-000018,2025-02-01,Enterprise,222965,75
ACC-000018,2025-03-01,Enterprise,382956,98
ACC-000018,2025-04-01,Enterprise,405494,101
ACC-000018,2025-05-01,Enterprise,355756,94
ACC-000018,2025-06-01,Enterprise,409276,101
ACC-000018,2025-07-01,Enterprise,402164,100
ACC-000018,2025-08-01,Enterprise,384298,98
ACC-000018,2025-09-01,Enterprise,393557,99
ACC-000018,2025-10-01,Enterprise,458756,107
ACC-000018,2025-11-01,Enterprise,453262,106
ACC-000018,2025-12-01,Enterprise,354521,94
ACC-000019,2023-02-01,Enterprise,35265,30
ACC-000019,2023-03-01,Enterprise,64225,40
ACC-000019,2023-04-01,Enterprise,119868,55
ACC-000019,2023-05-01,Enterprise,200479,71
ACC-000019,2023-06-01,Enterprise,325888,90
ACC-000019,2023-07-01,Enterprise,349254,93
ACC-000019,2023-08-01,Enterprise,351008,94
ACC-000019,2023-09-01,Enterprise,392610,99
ACC-000019,2023-10-01,Enterprise,432062,104
ACC-000019,2023-11-01,Enterprise,373197,97
ACC-000019,2023-12-01,Enterprise,286282,85
ACC-000019,2024-01-01,Enterprise,449444,106
ACC-000019,2024-02-01,Enterprise,434749,104
ACC-000019,2024-03-01,Enterprise,449398,106
ACC-000019,2024-04-01,Enterprise,419445,102
ACC-000019,2024-05-01,Enterprise,443293,105
ACC-000019,2024-06-01,Enterprise,389095,99
ACC-000019,2024-07-01,Enterprise,371378,96
ACC-000019,2024-08-01,Enterprise,421758,103
ACC-000019,2024-09-01,Enterprise,467666,108
ACC-000019,2024-10-01,Enterprise,379989,97
ACC-000019,2024-11-01,Enterprise,472190,109
ACC-000019,2024-12-01,Enterprise,313297,89
ACC-000019,2025-01-01,Enterprise,504260,112
ACC-000019,2025-02-01,Enterprise,549050,117
ACC-000019,2025-03-01,Enterprise,468776,108
ACC-000019,2025-04-01,Enterprise,397817,100
ACC-000019,2025-05-01,Enterprise,459589,107
ACC-000019,2025-06-01,Enterprise,511004,113
ACC-000019,2025-07-01,Enterprise,410154,101
ACC-000019,2025-08-01,Enterprise,455834,107
ACC-000019,2025-09-01,Enterprise,531477,115
ACC-000019,2025-10-01,Enterprise,483868,110
ACC-000019,2025-11-01,Enterprise,502523,112
ACC-000019,2025-12-01,Enterprise,439039,105
ACC-000020,2020-11-01,Enterprise,85991,46
ACC-000020,2020-12-01,Enterprise,128655,57
ACC-000020,2021-01-01,Enterprise,307869,88
ACC-000020,2021-02-01,Enterprise,538337,116
ACC-000020,2021-03-01,Enterprise,854387,146
ACC-000020,2021-04-01,Enterprise,949278,154
ACC-000020,2021-05-01,Enterprise,771559,139
ACC-000020,2021-06-01,Enterprise,907513,151
ACC-000020,2021-07-01,Enterprise,823901,144
ACC-000020,2021-08-01,Enterprise,757881,138
ACC-000020,2021-09-01,Enterprise,1156869,170
ACC-000020,2021-10-01,Enterprise,1110970,167
ACC-000020,2021-11-01,Enterprise,992757,158
ACC-000020,2021-12-01,Enterprise,910422,151
ACC-000020,2022-01-01,Enterprise,921322,152
ACC-000020,2022-02-01,Enterprise,1069700,164
ACC-000020,2022-03-01,Enterprise,1006648,159
ACC-000020,2022-04-01,Enterprise,1071785,164
