company_id,employee_count_band,industry,region,is_personal_email_domain,icp_fit_score,is_customer,was_ever_customer,account_id
CO-0000050,1-10,Professional Services,North America,False,21.9,False,False,
CO-0000051,11-50,Technology/SaaS,North America,False,33.7,False,False,
CO-0000052,1-10,Logistics/Supply Chain,North America,True,9.8,False,False,
CO-0000053,51-200,Healthcare,APAC,False,37.9,False,False,
CO-0000054,1-10,Media/Entertainment,APAC,False,15.3,False,False,
CO-0000055,1-10,Retail/E-commerce,North America,False,18.4,False,False,
CO-0000056,201-1000,Healthcare,North America,False,46.9,False,False,
CO-0000057,1-10,Education,LATAM,False,4.2,False,False,
CO-0000058,1-10,Manufacturing,EMEA,False,13.7,False,False,
CO-0000059,1-10,Education,EMEA,False,13.7,False,False,
CO-0000060,1-10,Logistics/Supply Chain,North America,False,28.1,False,False,
CO-0000061,1-10,Manufacturing,APAC,False,32.8,True,True,ACC-006064
CO-0000062,1-10,Media/Entertainment,North America,False,19.0,False,False,
CO-0000063,1-10,Media/Entertainment,APAC,False,29.2,False,False,
CO-0000064,1-10,Financial Services,North America,True,30.9,False,False,
CO-0000065,11-50,Retail/E-commerce,EMEA,False,17.5,False,False,
CO-0000066,11-50,Retail/E-commerce,EMEA,False,20.0,False,False,
CO-0000067,1-10,Financial Services,EMEA,True,25.9,False,False,
CO-0000068,1-10,Logistics/Supply Chain,EMEA,True,17.3,False,False,
CO-0000069,11-50,Manufacturing,EMEA,False,30.7,False,False,
CO-0000070,201-1000,Education,North America,False,48.7,False,False,
CO-0000071,201-1000,Manufacturing,North America,False,50.4,False,False,
CO-0000072,1-10,Technology/SaaS,North America,False,31.3,True,True,ACC-002035
CO-0000073,1-10,Professional Services,North America,False,15.9,False,False,
CO-0000074,1-10,Logistics/Supply Chain,North America,False,25.3,False,False,
CO-0000075,1-10,Professional Services,North America,False,18.6,False,False,
CO-0000076,11-50,Technology/SaaS,EMEA,False,32.0,True,True,ACC-005110
CO-0000077,1-10,Logistics/Supply Chain,North America,True,22.7,False,False,
CO-0000078,1-10,Media/Entertainment,EMEA,False,19.1,False,False,
CO-0000079,1-10,Financial Services,EMEA,False,33.9,False,False,
CO-0000080,11-50,Media/Entertainment,North America,False,20.8,False,False,
CO-0000081,1-10,Technology/SaaS,North America,True,28.1,False,False,
CO-0000082,51-200,Media/Entertainment,North America,False,45.2,False,False,
CO-0000083,1-10,Manufacturing,North America,False,14.2,False,False,
CO-0000084,201-1000,Retail/E-commerce,APAC,False,47.8,False,False,
CO-0000085,1-10,Manufacturing,North America,False,21.3,False,False,
CO-0000086,51-200,Retail/E-commerce,North America,False,31.8,False,False,
CO-0000087,201-1000,Media/Entertainment,North America,False,57.7,False,False,
CO-0000088,1001-5000,Technology/SaaS,APAC,False,77.3,True,True,ACC-000008
CO-0000089,51-200,Public Sector,EMEA,False,30.2,False,False,
CO-0000090,51-200,Retail/E-commerce,North America,False,38.0,False,False,
CO-0000091,11-50,Retail/E-commerce,North America,False,21.5,True,True,ACC-007468
CO-0000092,51-200,Manufacturing,EMEA,False,33.3,False,False,
CO-0000093,1-10,Education,North America,True,31.9,False,False,
CO-0000094,11-50,Media/Entertainment,North America,False,14.8,False,False,
CO-0000095,11-50,Logistics/Supply Chain,EMEA,False,27.5,False,False,
CO-0000096,201-1000,Healthcare,North America,False,55.1,False,False,
CO-0000097,11-50,Education,North America,False,25.4,True,True,ACC-003925
CO-0000098,1-10,Retail/E-commerce,North America,False,15.0,False,False,
CO-0000099,11-50,Education,North America,False,36.3,False,False,
CO-0000100,1-10,Financial Services,North America,False,30.4,False,False,
CO-0000101,1-10,Education,EMEA,False,4.5,False,False,
CO-0000102,11-50,Technology/SaaS,EMEA,False,23.2,False,False,
CO-0000103,1-10,Retail/E-commerce,LATAM,False,7.4,False,False,
CO-0000104,1-10,Financial Services,EMEA,False,20.5,False,False,
CO-0000105,1-10,Logistics/Supply Chain,EMEA,False,21.5,False,False,
CO-0000106,1-10,Healthcare,EMEA,False,15.2,False,False,
CO-0000107,1-10,Manufacturing,North America,True,26.5,False,False,
CO-0000108,1-10,Healthcare,North America,False,26.9,False,False,
CO-0000109,11-50,Public Sector,North America,False,31.5,False,False,
CO-0000110,1-10,Logistics/Supply Chain,EMEA,True,12.8,False,False,
CO-0000111,1001-5000,Professional Services,North America,False,64.5,False,False,
CO-0000112,201-1000,Media/Entertainment,APAC,False,57.1,False,False,
CO-0000113,11-50,Healthcare,LATAM,False,28.3,False,False,
CO-0000114,1-10,Professional Services,LATAM,False,6.8,False,False,
CO-0000115,11-50,Retail/E-commerce,EMEA,False,26.0,False,False,
CO-0000116,51-200,Manufacturing,APAC,False,45.0,False,False,
CO-0000117,11-50,Retail/E-commerce,North America,False,31.2,True,True,ACC-001673
CO-0000118,51-200,Financial Services,EMEA,False,50.4,False,False,
CO-0000119,11-50,Financial Services,APAC,False,38.1,False,False,
CO-0000120,11-50,Professional Services,North America,False,18.2,False,False,
CO-0000121,1-10,Manufacturing,APAC,False,26.1,False,False,
CO-0000122,51-200,Technology/SaaS,EMEA,False,42.3,False,False,
CO-0000123,1-10,Professional Services,North America,False,23.4,False,False,
CO-0000124,11-50,Manufacturing,EMEA,False,19.2,False,False,
CO-0000125,201-1000,Financial Services,North America,False,59.6,False,False,
CO-0000126,1-10,Public Sector,North America,False,21.1,False,False,
CO-0000127,11-50,Professional Services,North America,False,26.4,False,False,
CO-0000128,1-10,Education,North America,False,19.1,False,False,
CO-0000129,51-200,Education,EMEA,False,33.7,False,False,
CO-0000130,1-10,Technology/SaaS,North America,False,29.9,False,False,
CO-0000131,201-1000,Public Sector,North America,False,53.6,False,False,
CO-0000132,1-10,Retail/E-commerce,North America,False,14.5,False,False,
CO-0000133,1001-5000,Manufacturing,EMEA,False,70.1,False,False,
CO-0000134,51-200,Education,North America,False,24.9,False,False,
CO-0000135,11-50,Education,EMEA,False,20.7,False,False,
CO-0000136,51-200,Retail/E-commerce,EMEA,False,25.8,False,False,
CO-0000137,51-200,Manufacturing,EMEA,False,53.4,False,False,
CO-0000138,1001-5000,Healthcare,North America,False,66.8,False,False,
CO-0000139,1-10,Retail/E-commerce,North America,False,17.9,False,False,
CO-0000140,11-50,Professional Services,EMEA,False,27.0,True,True,ACC-004188
CO-0000141,1-10,Retail/E-commerce,North America,False,14.8,False,False,
CO-0000142,11-50,Retail/E-commerce,EMEA,False,16.9,False,False,
CO-0000143,1-10,Manufacturing,North America,False,28.0,False,False,
CO-0000144,11-50,Logistics/Supply Chain,EMEA,False,38.1,False,False,
CO-0000145,11-50,Retail/E-commerce,North America,False,28.8,False,False,
CO-0000146,11-50,Manufacturing,North America,False,32.4,False,False,
CO-0000147,11-50,Logistics/Supply Chain,North America,False,30.2,False,False,
CO-0000148,51-200,Media/Entertainment,EMEA,False,31.8,False,False,
CO-0000149,51-200,Media/Entertainment,APAC,False,37.2,False,False,
CO-0000150,11-50,Technology/SaaS,North America,False,30.9,False,False,
CO-0000151,11-50,Healthcare,EMEA,False,20.9,False,False,
CO-0000152,201-1000,Retail/E-commerce,North America,False,44.4,False,False,
CO-0000153,1-10,Technology/SaaS,EMEA,True,29.0,True,True,ACC-006763
CO-0000154,1-10,Technology/SaaS,North America,False,32.4,False,False,
CO-0000155,1-10,Healthcare,North America,True,21.2,False,False,
CO-0000156,11-50,Retail/E-commerce,EMEA,False,25.0,False,False,
CO-0000157,1-10,Manufacturing,EMEA,True,23.3,True,True,ACC-006899
CO-0000158,51-200,Public Sector,LATAM,False,36.9,False,False,
CO-0000159,11-50,Media/Entertainment,North America,False,25.4,False,False,
CO-0000160,1-10,Logistics/Supply Chain,North America,False,12.6,False,False,
CO-0000161,201-1000,Financial Services,EMEA,False,66.6,False,False,
CO-0000162,51-200,Public Sector,EMEA,False,37.7,False,False,
CO-0000163,1-10,Education,APAC,False,15.4,False,False,
CO-0000164,1-10,Manufacturing,EMEA,False,32.1,False,False,
CO-0000165,1-10,Retail/E-commerce,North America,False,13.7,False,False,
CO-0000166,1-10,Retail/E-commerce,North America,False,12.5,False,False,
CO-0000167,1-10,Financial Services,APAC,False,26.1,False,False,
CO-0000168,201-1000,Financial Services,North America,False,64.8,False,False,
CO-0000169,1-10,Manufacturing,LATAM,False,13.5,False,False,
CO-0000170,1-10,Manufacturing,EMEA,False,19.4,False,False,
CO-0000171,51-200,Technology/SaaS,APAC,False,40.5,False,False,
CO-0000172,11-50,Technology/SaaS,EMEA,False,36.6,False,False,
CO-0000173,201-1000,Professional Services,APAC,False,46.9,False,False,
CO-0000174,51-200,Professional Services,EMEA,False,31.3,False,False,
CO-0000175,11-50,Financial Services,EMEA,False,29.0,False,False,
CO-0000176,1-10,Healthcare,North America,False,27.9,False,False,
CO-0000177,5001-20000,Retail/E-commerce,EMEA,False,55.6,False,False,
CO-0000178,51-200,Professional Services,North America,False,32.5,False,False,
CO-0000179,1001-5000,Education,North America,False,49.2,False,False,
CO-0000180,1-10,Public Sector,APAC,False,5.8,False,False,
CO-0000181,201-1000,Healthcare,North America,False,49.7,False,False,
CO-0000182,11-50,Healthcare,North America,False,22.1,False,False,
CO-0000183,1-10,Manufacturing,North America,False,27.4,False,False,
CO-0000184,11-50,Public Sector,North America,False,35.2,False,False,
CO-0000185,11-50,Financial Services,North America,False,24.5,False,False,
CO-0000186,1-10,Media/Entertainment,LATAM,True,2.3,False,False,
CO-0000187,11-50,Healthcare,North America,False,24.5,False,False,
CO-0000188,51-200,Retail/E-commerce,North America,False,28.4,False,False,
CO-0000189,1-10,Retail/E-commerce,EMEA,False,17.0,True,True,ACC-002362
CO-0000190,11-50,Media/Entertainment,North America,False,34.7,False,False,
CO-0000191,1-10,Professional Services,North America,True,16.9,False,False,
CO-0000192,1-10,Retail/E-commerce,EMEA,False,7.4,False,False,
CO-0000193,201-1000,Professional Services,EMEA,False,43.3,False,False,
CO-0000194,51-200,Professional Services,North America,False,46.8,False,False,
CO-0000195,1-10,Logistics/Supply Chain,EMEA,True,21.0,False,False,
CO-0000196,20000+,Healthcare,North America,False,89.1,False,False,
CO-0000197,201-1000,Retail/E-commerce,APAC,False,51.3,False,False,
CO-0000198,1-10,Professional Services,North America,False,5.6,False,False,
CO-0000199,51-200,Education,North America,False,40.5,False,False,
CO-0000200,1-10,Media/Entertainment,North America,False,11.1,False,False,
CO-0000201,20000+,Media/Entertainment,North America,False,70.0,False,False,
CO-0000202,11-50,Financial Services,North America,False,43.7,False,False,
CO-0000203,11-50,Media/Entertainment,EMEA,False,32.9,False,False,
CO-0000204,1-10,Technology/SaaS,APAC,False,30.7,False,False,
CO-0000205,201-1000,Technology/SaaS,APAC,False,66.4,False,False,
CO-0000206,1-10,Retail/E-commerce,North America,False,15.9,False,False,
CO-0000207,1-10,Media/Entertainment,North America,False,31.1,False,False,
CO-0000208,1-10,Media/Entertainment,EMEA,False,22.5,False,False,
CO-0000209,51-200,Financial Services,APAC,False,37.5,False,False,
CO-0000210,1-10,Healthcare,EMEA,True,24.7,False,False,
CO-0000211,201-1000,Logistics/Supply Chain,EMEA,False,44.6,False,False,
CO-0000212,11-50,Media/Entertainment,North America,False,36.1,False,False,
CO-0000213,1-10,Media/Entertainment,North America,False,18.3,False,False,
CO-0000214,1-10,Financial Services,North America,False,40.6,False,False,
CO-0000215,1-10,Public Sector,North America,False,25.3,False,False,
CO-0000216,11-50,Public Sector,APAC,False,15.4,False,False,
CO-0000217,51-200,Manufacturing,North America,False,58.6,False,False,
CO-0000218,1-10,Professional Services,North America,True,10.7,False,False,
CO-0000219,51-200,Public Sector,North America,False,34.1,False,False,
CO-0000220,1-10,Media/Entertainment,North America,False,20.9,False,False,
CO-0000221,51-200,Retail/E-commerce,North America,False,30.2,False,False,
CO-0000222,201-1000,Financial Services,APAC,False,54.2,False,False,
CO-0000223,51-200,Financial Services,APAC,False,41.8,False,False,
CO-0000224,11-50,Healthcare,EMEA,False,22.5,False,False,
CO-0000225,51-200,Financial Services,EMEA,False,35.3,False,False,
CO-0000226,1-10,Media/Entertainment,North America,False,27.8,False,False,
CO-0000227,1-10,Financial Services,EMEA,False,34.6,False,False,
CO-0000228,1-10,Financial Services,North America,False,31.1,True,True,ACC-004950
CO-0000229,11-50,Manufacturing,EMEA,False,33.6,True,True,ACC-007155
CO-0000230,51-200,Technology/SaaS,North America,False,40.1,False,False,
CO-0000231,11-50,Logistics/Supply Chain,North America,False,25.7,False,False,
CO-0000232,201-1000,Logistics/Supply Chain,North America,False,53.8,False,False,
CO-0000233,1-10,Professional Services,APAC,False,6.0,False,False,
CO-0000234,51-200,Technology/SaaS,EMEA,False,42.1,False,False,
CO-0000235,1-10,Financial Services,North America,False,37.7,False,False,
CO-0000236,1-10,Education,APAC,False,3.4,False,False,
CO-0000237,51-200,Professional Services,EMEA,False,38.3,False,False,
CO-0000238,5001-20000,Manufacturing,EMEA,False,79.7,False,False,
CO-0000239,11-50,Professional Services,EMEA,False,25.4,False,False,
CO-0000240,1-10,Technology/SaaS,North America,False,14.7,False,False,
CO-0000241,11-50,Professional Services,North America,False,35.0,False,False,
CO-0000242,1-10,Education,North America,False,24.9,False,False,
CO-0000243,201-1000,Financial Services,North America,False,76.2,False,False,
CO-0000244,51-200,Manufacturing,EMEA,False,35.0,False,False,
CO-0000245,1-10,Manufacturing,North America,True,16.4,False,False,
CO-0000246,1-10,Financial Services,North America,False,31.7,False,False,
CO-0000247,1-10,Retail/E-commerce,APAC,False,15.1,False,False,
CO-0000248,5001-20000,Education,North America,False,76.5,False,False,
CO-0000249,11-50,Retail/E-commerce,North America,False,32.5,False,False,
CO-0000250,51-200,Technology/SaaS,North America,False,40.1,False,False,
CO-0000251,11-50,Logistics/Supply Chain,EMEA,False,18.8,False,False,
CO-0000252,11-50,Media/Entertainment,APAC,False,21.0,False,False,
CO-0000253,1-10,Media/Entertainment,APAC,False,11.5,False,False,
CO-0000254,1001-5000,Education,North America,False,66.2,False,False,
CO-0000255,1-10,Public Sector,EMEA,False,42.5,False,False,
CO-0000256,11-50,Retail/E-commerce,EMEA,False,27.4,False,False,
CO-0000257,11-50,Retail/E-commerce,North America,False,24.5,False,False,
CO-0000258,11-50,Technology/SaaS,EMEA,False,23.6,False,False,
CO-0000259,1001-5000,Professional Services,North America,False,47.2,False,False,
CO-0000260,1-10,Manufacturing,North America,False,24.3,False,False,
CO-0000261,11-50,Media/Entertainment,EMEA,False,24.7,False,False,
CO-0000262,1-10,Professional Services,EMEA,True,6.1,False,False,
CO-0000263,11-50,Retail/E-commerce,EMEA,False,24.9,False,False,
CO-0000264,1-10,Professional Services,North America,True,18.0,False,False,
CO-0000265,1-10,Healthcare,North America,False,13.4,False,False,
CO-0000266,1-10,Manufacturing,EMEA,False,19.5,False,False,
CO-0000267,1-10,Healthcare,EMEA,False,14.4,False,False,
CO-0000268,1-10,Logistics/Supply Chain,APAC,True,28.6,False,False,
CO-0000269,11-50,Financial Services,EMEA,False,36.6,False,False,
CO-0000270,11-50,Professional Services,North America,False,29.7,False,False,
CO-0000271,1-10,Financial Services,North America,False,29.5,False,False,
CO-0000272,1-10,Retail/E-commerce,APAC,True,0.0,False,False,
CO-0000273,1-10,Healthcare,EMEA,True,26.7,True,True,ACC-000928
CO-0000274,11-50,Education,EMEA,False,12.6,False,False,
CO-0000275,1-10,Professional Services,EMEA,False,7.9,False,False,
CO-0000276,1-10,Professional Services,North America,False,3.7,False,False,
CO-0000277,1-10,Media/Entertainment,EMEA,True,23.6,False,False,
CO-0000278,11-50,Professional Services,EMEA,False,11.6,False,False,
CO-0000279,1-10,Technology/SaaS,EMEA,False,29.2,False,False,
CO-0000280,11-50,Professional Services,North America,False,20.4,False,False,
CO-0000281,11-50,Logistics/Supply Chain,LATAM,False,13.3,False,False,
CO-0000282,51-200,Education,APAC,False,35.7,False,False,
CO-0000283,11-50,Financial Services,EMEA,False,34.0,False,False,
CO-0000284,11-50,Technology/SaaS,North America,False,30.9,False,False,
CO-0000285,1-10,Logistics/Supply Chain,APAC,True,3.2,False,False,
CO-0000286,51-200,Financial Services,North America,False,43.7,False,False,
CO-0000287,11-50,Technology/SaaS,EMEA,False,38.7,False,False,
CO-0000288,1-10,Professional Services,North America,False,17.6,False,False,
CO-0000289,11-50,Manufacturing,North America,False,25.0,False,False,
CO-0000290,1-10,Education,North America,False,14.8,False,False,
CO-0000291,11-50,Technology/SaaS,EMEA,False,25.8,False,False,
CO-0000292,51-200,Retail/E-commerce,North America,False,39.6,False,False,
CO-0000293,201-1000,Technology/SaaS,LATAM,False,43.0,False,False,
CO-0000294,201-1000,Media/Entertainment,North America,False,51.4,False,False,
CO-0000295,11-50,Education,North America,False,18.8,False,False,
CO-0000296,11-50,Media/Entertainment,APAC,False,19.7,True,True,ACC-006544
CO-0000297,51-200,Healthcare,North America,False,37.1,True,True,ACC-005492
CO-0000298,1-10,Technology/SaaS,EMEA,False,31.3,False,False,
CO-0000299,51-200,Technology/SaaS,North America,False,44.4,False,False,
CO-0000300,11-50,Professional Services,North America,False,22.5,False,False,
CO-0000301,1-10,Professional Services,APAC,False,6.7,False,False,
CO-0000302,1-10,Professional Services,North America,False,11.2,False,False,
CO-0000303,51-200,Public Sector,North America,False,43.2,False,False,
CO-0000304,1-10,Technology/SaaS,EMEA,False,30.4,False,False,
CO-0000305,1-10,Logistics/Supply Chain,EMEA,True,25.3,False,False,
CO-0000306,1-10,Professional Services,EMEA,False,8.5,False,False,
CO-0000307,1-10,Retail/E-commerce,North America,False,24.3,False,False,
CO-0000308,1-10,Technology/SaaS,North America,False,28.7,False,False,
CO-0000309,51-200,Retail/E-commerce,EMEA,False,22.2,False,False,
CO-0000310,1-10,Healthcare,North America,False,17.9,False,False,
CO-0000311,51-200,Logistics/Supply Chain,North America,False,37.4,False,False,
CO-0000312,201-1000,Professional Services,North America,False,46.1,False,False,
CO-0000313,1-10,Retail/E-commerce,EMEA,True,3.1,False,False,
CO-0000314,1-10,Media/Entertainment,EMEA,True,14.0,False,False,
CO-0000315,11-50,Manufacturing,EMEA,False,20.7,False,False,
CO-0000316,1-10,Retail/E-commerce,North America,True,0.0,False,False,
CO-0000317,1-10,Financial Services,LATAM,False,22.3,False,False,
CO-0000318,1001-5000,Retail/E-commerce,North America,False,66.4,False,False,
CO-0000319,20000+,Education,EMEA,False,65.7,False,False,
CO-0000320,51-200,Public Sector,North America,False,45.3,False,False,
CO-0000321,1-10,Retail/E-commerce,North America,False,11.3,False,False,
CO-0000322,11-50,Retail/E-commerce,EMEA,False,6.2,False,False,
CO-0000323,51-200,Healthcare,EMEA,False,41.0,False,False,
CO-0000324,1-10,Logistics/Supply Chain,North America,False,30.6,False,False,
CO-0000325,11-50,Technology/SaaS,LATAM,False,18.7,False,False,
CO-0000326,1-10,Education,APAC,False,11.6,False,False,
CO-0000327,1-10,Professional Services,North America,False,21.2,False,False,
CO-0000328,11-50,Manufacturing,EMEA,False,33.2,False,False,
CO-0000329,1-10,Professional Services,APAC,False,14.3,False,False,
CO-0000330,1-10,Public Sector,North America,False,24.0,True,True,ACC-002320
CO-0000331,51-200,Media/Entertainment,North America,False,25.3,False,False,
CO-0000332,5001-20000,Financial Services,North America,False,84.9,False,False,
CO-0000333,11-50,Retail/E-commerce,EMEA,False,24.5,False,False,
CO-0000334,51-200,Retail/E-commerce,North America,False,36.5,False,False,
CO-0000335,5001-20000,Retail/E-commerce,LATAM,False,59.0,False,False,
CO-0000336,1-10,Technology/SaaS,EMEA,False,13.4,False,False,
CO-0000337,1-10,Technology/SaaS,EMEA,False,25.6,False,False,
CO-0000338,1-10,Public Sector,EMEA,False,17.1,False,False,
CO-0000339,1-10,Financial Services,EMEA,False,19.7,False,False,
CO-0000340,51-200,Financial Services,North America,False,46.1,False,False,
CO-0000341,1-10,Manufacturing,APAC,False,27.8,False,False,
CO-0000342,11-50,Logistics/Supply Chain,North America,False,18.5,False,False,
CO-0000343,1-10,Manufacturing,EMEA,True,24.1,False,False,
CO-0000344,1-10,Healthcare,North America,True,24.2,False,False,
CO-0000345,201-1000,Education,North America,False,50.8,False,False,
CO-0000346,1-10,Public Sector,North America,False,19.5,False,False,
CO-0000347,1-10,Technology/SaaS,EMEA,False,14.0,False,False,
CO-0000348,1-10,Retail/E-commerce,EMEA,False,25.2,False,False,
CO-0000349,11-50,Retail/E-commerce,North America,False,26.7,False,False,
CO-0000350,11-50,Retail/E-commerce,EMEA,False,17.9,False,False,
CO-0000351,11-50,Manufacturing,North America,False,41.1,False,False,
CO-0000352,1-10,Media/Entertainment,EMEA,False,12.7,False,False,
CO-0000353,1-10,Manufacturing,APAC,True,25.1,False,False,
CO-0000354,51-200,Media/Entertainment,EMEA,False,31.3,True,True,ACC-004239
CO-0000355,11-50,Technology/SaaS,North America,False,30.6,False,False,
CO-0000356,11-50,Healthcare,EMEA,False,28.3,False,False,
CO-0000357,11-50,Manufacturing,EMEA,False,38.5,False,False,
CO-0000358,51-200,Technology/SaaS,North America,False,44.4,False,False,
CO-0000359,1-10,Healthcare,North America,False,30.0,False,False,
CO-0000360,1-10,Professional Services,North America,False,9.2,False,False,
CO-0000361,11-50,Financial Services,North America,False,40.3,False,False,
CO-0000362,1-10,Media/Entertainment,North America,True,22.1,False,False,
CO-0000363,51-200,Education,North America,False,35.7,False,False,
CO-0000364,11-50,Retail/E-commerce,APAC,False,14.4,False,False,
CO-0000365,51-200,Financial Services,EMEA,False,51.6,False,False,
CO-0000366,201-1000,Professional Services,EMEA,False,54.7,False,False,
CO-0000367,11-50,Manufacturing,EMEA,False,26.7,False,False,
CO-0000368,201-1000,Technology/SaaS,EMEA,False,45.0,False,False,
CO-0000369,11-50,Retail/E-commerce,APAC,False,24.1,False,False,
CO-0000370,201-1000,Professional Services,North America,False,34.6,False,False,
CO-0000371,1-10,Technology/SaaS,EMEA,False,17.3,False,False,
CO-0000372,11-50,Manufacturing,EMEA,False,22.1,True,True,ACC-006659
CO-0000373,11-50,Professional Services,EMEA,False,8.7,False,False,
CO-0000374,1-10,Manufacturing,EMEA,True,29.5,False,False,
CO-0000375,1-10,Media/Entertainment,North America,False,21.7,False,False,
CO-0000376,201-1000,Technology/SaaS,North America,False,48.3,False,False,
CO-0000377,11-50,Retail/E-commerce,EMEA,False,31.3,False,False,
CO-0000378,1-10,Education,EMEA,False,19.5,False,False,
CO-0000379,1-10,Logistics/Supply Chain,EMEA,False,22.0,False,False,
CO-0000380,1-10,Logistics/Supply Chain,EMEA,False,12.3,False,False,
CO-0000381,1-10,Financial Services,North America,False,33.3,False,False,
CO-0000382,201-1000,Financial Services,North America,False,57.9,False,False,
CO-0000383,1-10,Media/Entertainment,EMEA,False,15.1,False,False,
CO-0000384,1-10,Media/Entertainment,APAC,True,15.5,False,False,
CO-0000385,11-50,Financial Services,APAC,False,30.0,False,False,
CO-0000386,1-10,Healthcare,North America,False,23.6,False,False,
CO-0000387,1-10,Media/Entertainment,North America,False,20.4,False,False,
CO-0000388,51-200,Manufacturing,North America,False,46.7,False,False,
CO-0000389,11-50,Professional Services,EMEA,False,27.9,False,False,
CO-0000390,5001-20000,Retail/E-commerce,EMEA,False,62.3,False,False,
CO-0000391,11-50,Education,North America,False,10.7,True,True,ACC-006500
CO-0000392,11-50,Media/Entertainment,North America,False,14.0,False,False,
CO-0000393,51-200,Professional Services,North America,False,39.8,True,True,ACC-004497
CO-0000394,201-1000,Technology/SaaS,EMEA,False,63.1,False,False,
CO-0000395,51-200,Education,North America,False,38.5,True,True,ACC-007123
CO-0000396,1001-5000,Professional Services,North America,False,63.2,False,False,
CO-0000397,51-200,Financial Services,North America,False,48.3,False,False,
CO-0000398,201-1000,Professional Services,North America,False,50.1,False,False,
CO-0000399,1-10,Media/Entertainment,North America,False,9.1,False,False,
CO-0000400,51-200,Education,North America,False,40.7,False,False,
CO-0000401,1-10,Healthcare,North America,False,27.0,False,False,
CO-0000402,11-50,Manufacturing,North America,False,23.9,False,False,
CO-0000403,11-50,Media/Entertainment,North America,False,18.7,False,False,
CO-0000404,1001-5000,Education,North America,False,51.8,False,False,
CO-0000405,5001-20000,Education,APAC,False,69.2,False,False,
CO-0000406,1-10,Retail/E-commerce,North America,False,22.7,False,False,
CO-0000407,51-200,Healthcare,North America,False,34.7,False,False,
CO-0000408,51-200,Financial Services,North America,False,42.9,False,False,
