ticket_id,account_id,segment,created_date,resolved_date,severity,resolution_time_hours,csat_score
TCK-0000104,ACC-000009,Enterprise,2023-09-05,2023-09-05,critical,3.5,2.0
TCK-0000105,ACC-000009,Enterprise,2023-09-19,2023-09-19,low,12.8,5.0
TCK-0000106,ACC-000009,Enterprise,2023-10-20,2023-10-20,low,21.0,
TCK-0000107,ACC-000009,Enterprise,2024-02-21,2024-02-22,medium,41.2,4.0
TCK-0000108,ACC-000009,Enterprise,2024-04-08,2024-04-10,medium,69.9,4.0
TCK-0000109,ACC-000009,Enterprise,2024-05-10,2024-05-11,medium,30.9,4.0
TCK-0000110,ACC-000009,Enterprise,2024-08-10,2024-08-10,low,8.0,
TCK-0000111,ACC-000009,Enterprise,2024-09-04,2024-09-04,low,2.3,
TCK-0000112,ACC-000009,Enterprise,2024-12-14,2024-12-14,low,15.0,
TCK-0000113,ACC-000009,Enterprise,2024-12-28,2024-12-28,low,13.6,4.0
TCK-0000114,ACC-000009,Enterprise,2025-03-23,2025-03-25,high,70.8,
TCK-0000115,ACC-000009,Enterprise,2025-08-12,2025-08-12,medium,21.6,
TCK-0000116,ACC-000009,Enterprise,2025-10-31,2025-10-31,low,10.4,
TCK-0000117,ACC-000010,Enterprise,2021-01-27,2021-01-27,low,22.0,
TCK-0000118,ACC-000010,Enterprise,2021-04-03,2021-04-05,medium,71.7,
TCK-0000119,ACC-000010,Enterprise,2021-04-09,2021-04-09,low,18.5,
TCK-0000120,ACC-000010,Enterprise,2021-05-28,2021-05-29,medium,25.3,
TCK-0000121,ACC-000010,Enterprise,2021-06-10,2021-06-11,high,43.2,2.0
TCK-0000122,ACC-000010,Enterprise,2021-06-09,2021-06-10,medium,34.6,
TCK-0000123,ACC-000010,Enterprise,2022-02-10,2022-02-13,high,91.7,
TCK-0000124,ACC-000010,Enterprise,2022-04-07,2022-04-08,critical,34.1,4.0
TCK-0000125,ACC-000010,Enterprise,2022-08-05,2022-08-05,low,11.6,
TCK-0000126,ACC-000010,Enterprise,2022-10-12,2022-10-12,low,1.9,
TCK-0000127,ACC-000010,Enterprise,2023-04-27,2023-04-27,low,16.3,5.0
TCK-0000128,ACC-000010,Enterprise,2023-05-07,2023-05-09,high,67.0,2.0
TCK-0000129,ACC-000010,Enterprise,2023-07-09,2023-07-09,low,2.5,
TCK-0000130,ACC-000010,Enterprise,2023-10-15,2023-10-15,low,18.4,
TCK-0000131,ACC-000010,Enterprise,2023-10-07,2023-10-07,medium,19.6,3.0
TCK-0000132,ACC-000010,Enterprise,2023-11-29,2023-11-29,medium,13.9,
TCK-0000133,ACC-000010,Enterprise,2023-12-13,2023-12-13,low,21.8,
TCK-0000134,ACC-000010,Enterprise,2024-04-26,2024-04-26,low,12.1,
TCK-0000135,ACC-000010,Enterprise,2024-11-16,2024-11-16,low,10.6,
TCK-0000136,ACC-000010,Enterprise,2024-11-18,2024-11-18,low,12.6,
TCK-0000137,ACC-000010,Enterprise,2025-06-09,2025-06-09,low,6.0,
TCK-0000138,ACC-000010,Enterprise,2025-06-01,2025-06-01,high,20.9,
TCK-0000139,ACC-000010,Enterprise,2025-07-03,2025-07-03,low,23.3,5.0
TCK-0000140,ACC-000010,Enterprise,2025-08-30,2025-08-30,low,1.8,4.0
TCK-0000141,ACC-000010,Enterprise,2025-08-12,2025-08-12,high,13.8,
TCK-0000142,ACC-000010,Enterprise,2025-09-13,2025-09-14,critical,29.0,3.0
TCK-0000143,ACC-000010,Enterprise,2025-09-11,2025-09-13,high,64.0,
TCK-0000144,ACC-000011,Enterprise,2022-05-27,2022-05-27,low,13.5,4.0
TCK-0000145,ACC-000011,Enterprise,2022-05-26,2022-05-29,high,89.9,
TCK-0000146,ACC-000011,Enterprise,2022-09-02,2022-09-02,low,1.7,
TCK-0000147,ACC-000011,Enterprise,2022-11-05,2022-11-07,high,58.1,
TCK-0000148,ACC-000011,Enterprise,2023-03-18,2023-03-18,low,20.3,4.0
TCK-0000149,ACC-000011,Enterprise,2023-08-07,2023-08-10,high,72.7,
TCK-0000150,ACC-000011,Enterprise,2023-10-12,2023-10-12,low,16.1,
TCK-0000151,ACC-000011,Enterprise,2024-04-07,2024-04-09,high,57.1,2.0
TCK-0000152,ACC-000011,Enterprise,2024-07-30,2024-07-30,low,12.5,
TCK-0000153,ACC-000011,Enterprise,2024-07-20,2024-07-22,medium,55.8,
TCK-0000154,ACC-000011,Enterprise,2024-09-29,2024-10-03,high,119.6,
TCK-0000155,ACC-000011,Enterprise,2024-10-20,2024-10-22,medium,63.0,
TCK-0000156,ACC-000011,Enterprise,2024-12-15,2024-12-15,low,19.6,
TCK-0000157,ACC-000011,Enterprise,2025-07-17,2025-07-17,low,4.3,5.0
TCK-0000158,ACC-000011,Enterprise,2025-07-02,2025-07-02,low,10.7,5.0
TCK-0000159,ACC-000011,Enterprise,2025-11-14,2025-11-14,low,22.3,
TCK-0000160,ACC-000012,Enterprise,2023-03-16,2023-03-17,medium,45.3,4.0
TCK-0000161,ACC-000012,Enterprise,2023-06-18,2023-06-18,low,1.1,
TCK-0000162,ACC-000012,Enterprise,2023-06-20,2023-06-20,medium,10.9,3.0
TCK-0000163,ACC-000012,Enterprise,2023-07-10,2023-07-10,low,1.4,
TCK-0000164,ACC-000012,Enterprise,2023-07-17,2023-07-17,low,8.8,
TCK-0000165,ACC-000012,Enterprise,2023-11-12,2023-11-13,medium,35.2,
TCK-0000166,ACC-000012,Enterprise,2024-01-08,2024-01-10,medium,70.6,
TCK-0000167,ACC-000012,Enterprise,2024-02-16,2024-02-16,low,16.9,
TCK-0000168,ACC-000012,Enterprise,2024-03-20,2024-03-22,medium,53.8,
TCK-0000169,ACC-000012,Enterprise,2024-04-12,2024-04-12,low,16.6,
TCK-0000170,ACC-000012,Enterprise,2024-05-24,2024-05-24,low,6.6,
TCK-0000171,ACC-000012,Enterprise,2024-08-19,2024-08-19,low,9.6,
TCK-0000172,ACC-000012,Enterprise,2024-09-27,2024-09-27,medium,21.4,4.0
TCK-0000173,ACC-000012,Enterprise,2025-06-30,2025-07-02,medium,62.6,4.0
TCK-0000174,ACC-000012,Enterprise,2025-07-06,2025-07-06,low,7.0,
TCK-0000175,ACC-000013,Enterprise,2025-01-22,2025-01-22,low,23.4,
TCK-0000176,ACC-000013,Enterprise,2025-02-25,2025-02-25,medium,4.2,
TCK-0000177,ACC-000013,Enterprise,2025-02-22,2025-02-22,low,9.2,5.0
TCK-0000178,ACC-000013,Enterprise,2025-03-11,2025-03-11,low,6.0,
TCK-0000179,ACC-000013,Enterprise,2025-03-16,2025-03-16,low,21.2,
TCK-0000180,ACC-000013,Enterprise,2025-03-21,2025-03-25,high,106.0,
TCK-0000181,ACC-000013,Enterprise,2025-05-25,2025-05-25,medium,12.9,
TCK-0000182,ACC-000013,Enterprise,2025-05-12,2025-05-12,low,12.6,
TCK-0000183,ACC-000013,Enterprise,2025-05-04,2025-05-04,low,14.7,5.0
TCK-0000184,ACC-000013,Enterprise,2025-06-14,2025-06-14,low,19.6,5.0
TCK-0000185,ACC-000013,Enterprise,2025-07-10,2025-07-10,medium,21.1,
TCK-0000186,ACC-000013,Enterprise,2025-07-09,2025-07-09,medium,9.0,
TCK-0000187,ACC-000013,Enterprise,2025-07-02,2025-07-02,low,15.0,
TCK-0000188,ACC-000013,Enterprise,2025-10-19,2025-10-19,low,7.9,
TCK-0000189,ACC-000013,Enterprise,2025-11-06,2025-11-06,medium,6.1,
TCK-0000190,ACC-000014,Enterprise,2024-10-18,2024-10-20,medium,49.3,4.0
TCK-0000191,ACC-000014,Enterprise,2024-11-12,2024-11-13,medium,45.0,4.0
TCK-0000192,ACC-000014,Enterprise,2024-12-06,2024-12-06,low,7.1,
TCK-0000193,ACC-000014,Enterprise,2024-12-02,2024-12-03,medium,34.5,3.0
TCK-0000194,ACC-000014,Enterprise,2025-04-24,2025-04-25,critical,45.1,2.0
TCK-0000195,ACC-000014,Enterprise,2025-05-09,2025-05-09,low,6.3,5.0
TCK-0000196,ACC-000014,Enterprise,2025-06-30,2025-07-01,medium,39.0,
TCK-0000197,ACC-000014,Enterprise,2025-09-12,2025-09-12,medium,13.8,4.0
TCK-0000198,ACC-000015,Enterprise,2024-06-02,2024-06-04,high,62.1,
TCK-0000199,ACC-000015,Enterprise,2024-08-14,2024-08-14,low,11.9,
TCK-0000200,ACC-000015,Enterprise,2024-09-23,2024-09-25,high,68.7,
TCK-0000201,ACC-000015,Enterprise,2024-09-05,2024-09-09,high,117.6,2.0
TCK-0000202,ACC-000015,Enterprise,2024-09-27,2024-09-29,medium,57.1,3.0
TCK-0000203,ACC-000015,Enterprise,2025-08-12,2025-08-12,low,9.3,
TCK-0000204,ACC-000015,Enterprise,2025-10-23,2025-10-24,medium,30.5,3.0
TCK-0000205,ACC-000015,Enterprise,2025-10-17,2025-10-17,critical,13.2,
TCK-0000206,ACC-000016,Enterprise,2025-11-24,2025-11-25,medium,35.8,
TCK-0000207,ACC-000016,Enterprise,2025-11-26,2025-11-26,medium,18.8,4.0
TCK-0000208,ACC-000016,Enterprise,2025-12-13,,low,,
TCK-0000209,ACC-000017,Enterprise,2021-03-24,2021-03-24,low,13.6,
TCK-0000210,ACC-000017,Enterprise,2021-05-28,2021-05-30,medium,56.1,4.0
TCK-0000211,ACC-000017,Enterprise,2021-05-26,2021-05-26,low,23.8,5.0
TCK-0000212,ACC-000017,Enterprise,2021-06-21,2021-06-21,medium,23.4,
TCK-0000213,ACC-000017,Enterprise,2021-06-24,2021-06-24,low,16.4,4.0
TCK-0000214,ACC-000017,Enterprise,2021-07-06,2021-07-08,high,60.1,
TCK-0000215,ACC-000017,Enterprise,2021-07-06,2021-07-10,high,107.7,4.0
TCK-0000216,ACC-000017,Enterprise,2021-08-03,2021-08-03,low,2.8,
TCK-0000217,ACC-000017,Enterprise,2021-09-09,2021-09-09,medium,10.6,5.0
TCK-0000218,ACC-000017,Enterprise,2022-07-20,2022-07-20,low,4.7,5.0
TCK-0000219,ACC-000017,Enterprise,2022-11-01,2022-11-01,low,8.8,
TCK-0000220,ACC-000017,Enterprise,2022-12-11,2022-12-11,low,8.1,4.0
TCK-0000221,ACC-000017,Enterprise,2023-02-02,2023-02-04,medium,65.1,4.0
TCK-0000222,ACC-000017,Enterprise,2023-03-28,2023-03-28,low,7.0,
TCK-0000223,ACC-000017,Enterprise,2023-09-08,2023-09-08,low,2.5,
TCK-0000224,ACC-000017,Enterprise,2024-01-06,2024-01-06,low,7.7,5.0
TCK-0000225,ACC-000017,Enterprise,2024-03-30,2024-03-30,low,19.5,4.0
TCK-0000226,ACC-000017,Enterprise,2024-11-24,2024-11-24,low,10.2,4.0
TCK-0000227,ACC-000017,Enterprise,2024-11-29,2024-11-29,low,10.1,5.0
TCK-0000228,ACC-000017,Enterprise,2025-06-24,2025-06-25,high,27.4,
TCK-0000229,ACC-000017,Enterprise,2025-07-13,2025-07-13,low,15.6,
TCK-0000230,ACC-000017,Enterprise,2025-09-20,2025-09-20,low,3.8,
TCK-0000231,ACC-000018,Enterprise,2024-12-03,2024-12-03,low,11.6,
TCK-0000232,ACC-000018,Enterprise,2024-12-25,2024-12-29,high,114.6,
TCK-0000233,ACC-000018,Enterprise,2025-01-31,2025-01-31,low,12.4,
TCK-0000234,ACC-000018,Enterprise,2025-03-30,2025-04-01,medium,48.4,4.0
TCK-0000235,ACC-000018,Enterprise,2025-03-06,2025-03-06,low,9.5,
TCK-0000236,ACC-000018,Enterprise,2025-05-09,2025-05-11,medium,66.4,5.0
TCK-0000237,ACC-000018,Enterprise,2025-06-30,2025-06-30,critical,9.0,
TCK-0000238,ACC-000018,Enterprise,2025-09-10,2025-09-10,low,20.7,
TCK-0000239,ACC-000018,Enterprise,2025-12-03,,high,,
TCK-0000240,ACC-000019,Enterprise,2023-03-30,2023-03-30,low,19.0,
TCK-0000241,ACC-000019,Enterprise,2023-04-28,2023-05-02,high,98.9,
TCK-0000242,ACC-000019,Enterprise,2023-05-21,2023-05-21,low,18.1,
TCK-0000243,ACC-000019,Enterprise,2023-06-17,2023-06-17,low,2.8,5.0
TCK-0000244,ACC-000019,Enterprise,2023-09-06,2023-09-10,high,117.0,
TCK-0000245,ACC-000019,Enterprise,2023-10-18,2023-10-18,low,23.9,
TCK-0000246,ACC-000019,Enterprise,2023-11-24,2023-11-24,low,23.5,4.0
TCK-0000247,ACC-000019,Enterprise,2024-02-09,2024-02-10,high,29.8,3.0
TCK-0000248,ACC-000019,Enterprise,2024-02-20,2024-02-21,medium,28.5,5.0
TCK-0000249,ACC-000019,Enterprise,2024-03-06,2024-03-06,low,6.2,4.0
TCK-0000250,ACC-000019,Enterprise,2024-04-16,2024-04-16,low,9.1,5.0
TCK-0000251,ACC-000019,Enterprise,2024-05-20,2024-05-20,low,20.2,
TCK-0000252,ACC-000019,Enterprise,2024-07-14,2024-07-14,low,16.1,
TCK-0000253,ACC-000019,Enterprise,2024-08-21,2024-08-21,low,3.6,
TCK-0000254,ACC-000019,Enterprise,2025-01-29,2025-01-29,low,11.4,
TCK-0000255,ACC-000019,Enterprise,2025-02-03,2025-02-04,medium,33.0,
TCK-0000256,ACC-000019,Enterprise,2025-03-29,2025-03-30,medium,28.3,4.0
TCK-0000257,ACC-000019,Enterprise,2025-06-08,2025-06-08,medium,14.4,
TCK-0000258,ACC-000019,Enterprise,2025-06-21,2025-06-21,low,4.0,3.0
TCK-0000259,ACC-000019,Enterprise,2025-07-29,2025-07-31,medium,59.4,
TCK-0000260,ACC-000020,Enterprise,2020-12-27,2020-12-27,medium,9.9,5.0
TCK-0000261,ACC-000020,Enterprise,2021-02-05,2021-02-05,low,20.7,
TCK-0000262,ACC-000020,Enterprise,2021-02-20,2021-02-20,low,18.7,
TCK-0000263,ACC-000020,Enterprise,2021-03-18,2021-03-18,medium,6.1,
TCK-0000264,ACC-000020,Enterprise,2021-03-01,2021-03-01,low,19.1,
TCK-0000265,ACC-000020,Enterprise,2021-03-24,2021-03-24,low,17.1,
TCK-0000266,ACC-000020,Enterprise,2021-04-04,2021-04-04,low,4.5,4.0
TCK-0000267,ACC-000020,Enterprise,2022-04-27,2022-04-28,medium,24.9,5.0
TCK-0000268,ACC-000020,Enterprise,2022-05-06,2022-05-06,medium,13.6,
TCK-0000269,ACC-000020,Enterprise,2022-08-21,2022-08-21,low,18.4,
TCK-0000270,ACC-000020,Enterprise,2022-08-07,2022-08-07,low,9.3,
TCK-0000271,ACC-000020,Enterprise,2022-09-26,2022-09-28,medium,50.0,
TCK-0000272,ACC-000020,Enterprise,2022-09-15,2022-09-15,critical,23.2,
TCK-0000273,ACC-000020,Enterprise,2022-09-05,2022-09-05,medium,21.6,
TCK-0000274,ACC-000020,Enterprise,2022-10-05,2022-10-05,low,13.5,
TCK-0000275,ACC-000020,Enterprise,2023-04-05,2023-04-05,low,10.3,
TCK-0000276,ACC-000020,Enterprise,2023-08-03,2023-08-04,medium,36.5,
TCK-0000277,ACC-000020,Enterprise,2023-08-06,2023-08-07,medium,46.5,
TCK-0000278,ACC-000020,Enterprise,2023-08-03,2023-08-03,low,7.5,
TCK-0000279,ACC-000020,Enterprise,2023-12-17,2023-12-17,low,21.7,5.0
TCK-0000280,ACC-000020,Enterprise,2024-01-25,2024-01-25,low,10.0,
TCK-0000281,ACC-000020,Enterprise,2024-07-06,2024-07-07,high,30.4,
TCK-0000282,ACC-000020,Enterprise,2024-08-07,2024-08-09,medium,62.0,
TCK-0000283,ACC-000020,Enterprise,2024-08-20,2024-08-22,medium,66.4,
TCK-0000284,ACC-000020,Enterprise,2024-09-20,2024-09-21,critical,32.4,2.0
TCK-0000285,ACC-000020,Enterprise,2024-11-13,2024-11-16,high,83.1,
TCK-0000286,ACC-000020,Enterprise,2024-11-15,2024-11-15,critical,20.8,
TCK-0000287,ACC-000020,Enterprise,2024-11-08,2024-11-08,low,6.6,
TCK-0000288,ACC-000021,Enterprise,2024-05-26,2024-05-26,low,23.9,
TCK-0000289,ACC-000021,Enterprise,2024-05-25,2024-05-25,low,18.4,
TCK-0000290,ACC-000021,Enterprise,2024-07-10,2024-07-10,low,22.1,
TCK-0000291,ACC-000021,Enterprise,2024-08-13,2024-08-13,low,17.7,
TCK-0000292,ACC-000021,Enterprise,2025-05-20,2025-05-20,low,23.0,
TCK-0000293,ACC-000021,Enterprise,2025-06-25,2025-06-27,medium,56.6,4.0
TCK-0000294,ACC-000021,Enterprise,2025-07-27,2025-07-28,medium,42.3,5.0
TCK-0000295,ACC-000021,Enterprise,2025-08-09,2025-08-09,medium,20.0,3.0
TCK-0000296,ACC-000022,Enterprise,2021-07-30,2021-07-30,medium,12.1,
TCK-0000297,ACC-000022,Enterprise,2021-07-07,2021-07-07,low,5.2,
TCK-0000298,ACC-000022,Enterprise,2021-08-16,2021-08-17,medium,35.0,4.0
TCK-0000299,ACC-000022,Enterprise,2021-08-11,2021-08-11,low,6.4,
TCK-0000300,ACC-000022,Enterprise,2021-08-07,2021-08-09,medium,59.6,
TCK-0000301,ACC-000022,Enterprise,2021-09-12,2021-09-12,medium,6.6,
TCK-0000302,ACC-000022,Enterprise,2021-10-11,2021-10-12,medium,30.3,4.0
TCK-0000303,ACC-000022,Enterprise,2022-01-21,2022-01-22,medium,33.2,3.0
TCK-0000304,ACC-000022,Enterprise,2022-01-03,2022-01-04,medium,42.2,
TCK-0000305,ACC-000022,Enterprise,2022-02-02,2022-02-02,low,18.5,
TCK-0000306,ACC-000022,Enterprise,2022-03-20,2022-03-21,medium,41.9,3.0
TCK-0000307,ACC-000022,Enterprise,2022-08-01,2022-08-02,medium,31.7,
TCK-0000308,ACC-000022,Enterprise,2023-02-09,2023-02-09,low,17.7,4.0
TCK-0000309,ACC-000022,Enterprise,2023-04-29,2023-04-29,medium,5.7,4.0
TCK-0000310,ACC-000022,Enterprise,2023-05-07,2023-05-09,medium,69.8,
TCK-0000311,ACC-000022,Enterprise,2023-05-17,2023-05-17,low,22.0,
TCK-0000312,ACC-000022,Enterprise,2023-09-04,2023-09-04,low,8.4,
TCK-0000313,ACC-000022,Enterprise,2024-04-01,2024-04-02,medium,44.6,
TCK-0000314,ACC-000022,Enterprise,2024-04-08,2024-04-10,medium,53.0,
TCK-0000315,ACC-000022,Enterprise,2024-04-13,2024-04-13,medium,23.8,4.0
TCK-0000316,ACC-000022,Enterprise,2024-05-08,2024-05-09,high,42.3,
TCK-0000317,ACC-000022,Enterprise,2024-06-01,2024-06-03,medium,49.0,
TCK-0000318,ACC-000023,Enterprise,2024-05-18,2024-05-18,low,11.3,4.0
TCK-0000319,ACC-000023,Enterprise,2024-08-28,2024-08-28,low,14.8,5.0
TCK-0000320,ACC-000023,Enterprise,2024-09-07,2024-09-08,high,46.4,
TCK-0000321,ACC-000023,Enterprise,2024-10-14,2024-10-14,low,4.5,5.0
