activity_id,account_id,segment,am_rep_id,activity_date,activity_type,sentiment_score
AMT-0000059,ACC-000001,Enterprise,REP-00003,2023-08-04,QBR,3.49
AMT-0000060,ACC-000001,Enterprise,REP-00003,2023-09-24,QBR,4.23
AMT-0000061,ACC-000001,Enterprise,REP-00003,2023-10-29,QBR,4.52
AMT-0000062,ACC-000001,Enterprise,REP-00003,2023-10-08,QBR,4.86
AMT-0000063,ACC-000001,Enterprise,REP-00003,2023-10-02,QBR,4.5
AMT-0000064,ACC-000001,Enterprise,REP-00003,2023-10-18,QBR,3.76
AMT-0000065,ACC-000001,Enterprise,REP-00003,2023-11-11,QBR,4.27
AMT-0000066,ACC-000001,Enterprise,REP-00003,2024-01-05,QBR,3.37
AMT-0000067,ACC-000001,Enterprise,REP-00003,2024-03-13,QBR,3.83
AMT-0000068,ACC-000001,Enterprise,REP-00003,2024-04-26,QBR,4.45
AMT-0000069,ACC-000001,Enterprise,REP-00003,2024-04-20,QBR,3.5
AMT-0000070,ACC-000001,Enterprise,REP-00003,2024-05-01,QBR,4.08
AMT-0000071,ACC-000001,Enterprise,REP-00003,2024-06-14,QBR,2.68
AMT-0000072,ACC-000001,Enterprise,REP-00003,2024-08-07,QBR,3.33
AMT-0000073,ACC-000001,Enterprise,REP-00003,2024-08-07,QBR,5.0
AMT-0000074,ACC-000001,Enterprise,REP-00003,2024-08-11,QBR,4.2
AMT-0000075,ACC-000001,Enterprise,REP-00003,2024-08-11,QBR,4.95
AMT-0000076,ACC-000001,Enterprise,REP-00003,2024-10-29,QBR,3.56
AMT-0000077,ACC-000001,Enterprise,REP-00003,2024-10-31,QBR,3.14
AMT-0000078,ACC-000001,Enterprise,REP-00003,2024-11-12,QBR,2.89
AMT-0000079,ACC-000001,Enterprise,REP-00003,2024-12-03,QBR,3.2
AMT-0000080,ACC-000001,Enterprise,REP-00003,2024-12-27,QBR,3.84
AMT-0000081,ACC-000001,Enterprise,REP-00003,2025-01-11,QBR,3.78
AMT-0000082,ACC-000001,Enterprise,REP-00003,2025-01-20,QBR,4.05
AMT-0000083,ACC-000001,Enterprise,REP-00003,2025-02-01,QBR,2.76
AMT-0000084,ACC-000001,Enterprise,REP-00003,2025-02-18,QBR,3.72
AMT-0000085,ACC-000001,Enterprise,REP-00003,2025-03-06,QBR,5.0
AMT-0000086,ACC-000001,Enterprise,REP-00003,2025-05-20,QBR,3.51
AMT-0000087,ACC-000001,Enterprise,REP-00003,2025-06-22,QBR,3.35
AMT-0000088,ACC-000001,Enterprise,REP-00003,2025-06-20,QBR,4.83
AMT-0000089,ACC-000001,Enterprise,REP-00003,2025-08-03,QBR,3.24
AMT-0000090,ACC-000001,Enterprise,REP-00003,2025-09-19,QBR,2.56
AMT-0000091,ACC-000001,Enterprise,REP-00003,2025-11-22,QBR,3.67
AMT-0000092,ACC-000002,Enterprise,REP-00020,2025-10-19,QBR,3.13
AMT-0000093,ACC-000002,Enterprise,REP-00020,2025-10-07,QBR,4.06
AMT-0000094,ACC-000002,Enterprise,REP-00020,2025-11-22,QBR,3.66
AMT-0000095,ACC-000003,Enterprise,REP-00028,2024-02-06,QBR,3.0
AMT-0000096,ACC-000003,Enterprise,REP-00028,2024-02-03,QBR,3.67
AMT-0000097,ACC-000003,Enterprise,REP-00028,2024-03-26,QBR,4.19
AMT-0000098,ACC-000003,Enterprise,REP-00028,2024-04-26,QBR,3.25
AMT-0000099,ACC-000003,Enterprise,REP-00028,2024-05-19,QBR,3.45
AMT-0000100,ACC-000003,Enterprise,REP-00028,2024-06-02,QBR,3.44
AMT-0000101,ACC-000003,Enterprise,REP-00028,2024-08-14,QBR,4.06
AMT-0000102,ACC-000003,Enterprise,REP-00028,2024-09-16,QBR,3.75
AMT-0000103,ACC-000003,Enterprise,REP-00028,2024-10-22,QBR,4.7
AMT-0000104,ACC-000003,Enterprise,REP-00028,2024-10-08,QBR,4.87
AMT-0000105,ACC-000003,Enterprise,REP-00028,2024-12-31,QBR,4.19
AMT-0000106,ACC-000003,Enterprise,REP-00028,2025-02-27,QBR,4.73
AMT-0000107,ACC-000003,Enterprise,REP-00028,2025-02-11,QBR,3.17
AMT-0000108,ACC-000003,Enterprise,REP-00028,2025-03-05,QBR,4.51
AMT-0000109,ACC-000003,Enterprise,REP-00028,2025-04-15,QBR,4.55
AMT-0000110,ACC-000003,Enterprise,REP-00028,2025-06-27,QBR,3.69
AMT-0000111,ACC-000003,Enterprise,REP-00028,2025-06-01,QBR,3.61
AMT-0000112,ACC-000003,Enterprise,REP-00028,2025-06-24,QBR,4.36
AMT-0000113,ACC-000003,Enterprise,REP-00028,2025-06-21,QBR,3.7
AMT-0000114,ACC-000003,Enterprise,REP-00028,2025-07-04,QBR,4.09
AMT-0000115,ACC-000003,Enterprise,REP-00028,2025-07-10,QBR,4.43
AMT-0000116,ACC-000003,Enterprise,REP-00028,2025-07-31,QBR,4.76
AMT-0000117,ACC-000003,Enterprise,REP-00028,2025-08-21,QBR,3.9
AMT-0000118,ACC-000003,Enterprise,REP-00028,2025-08-02,QBR,4.51
AMT-0000119,ACC-000003,Enterprise,REP-00028,2025-09-19,QBR,4.82
AMT-0000120,ACC-000003,Enterprise,REP-00028,2025-09-30,QBR,3.56
AMT-0000121,ACC-000004,Enterprise,REP-00028,2025-10-22,QBR,2.76
AMT-0000122,ACC-000004,Enterprise,REP-00028,2025-10-30,QBR,4.76
AMT-0000123,ACC-000004,Enterprise,REP-00028,2025-12-22,QBR,3.69
AMT-0000124,ACC-000004,Enterprise,REP-00028,2025-12-11,QBR,4.21
AMT-0000125,ACC-000005,Enterprise,REP-00028,2023-11-22,QBR,4.07
AMT-0000126,ACC-000005,Enterprise,REP-00028,2023-11-23,QBR,3.82
AMT-0000127,ACC-000005,Enterprise,REP-00028,2023-11-21,QBR,3.9
AMT-0000128,ACC-000005,Enterprise,REP-00028,2024-01-21,QBR,4.24
AMT-0000129,ACC-000005,Enterprise,REP-00028,2024-06-19,QBR,3.54
AMT-0000130,ACC-000005,Enterprise,REP-00028,2024-07-17,QBR,3.86
AMT-0000131,ACC-000005,Enterprise,REP-00028,2024-09-07,QBR,4.09
AMT-0000132,ACC-000005,Enterprise,REP-00028,2024-10-20,QBR,3.02
AMT-0000133,ACC-000005,Enterprise,REP-00028,2024-10-21,QBR,4.35
AMT-0000134,ACC-000005,Enterprise,REP-00028,2024-11-10,QBR,2.97
AMT-0000135,ACC-000005,Enterprise,REP-00028,2024-12-20,QBR,4.98
AMT-0000136,ACC-000005,Enterprise,REP-00028,2024-12-05,QBR,3.74
AMT-0000137,ACC-000005,Enterprise,REP-00028,2024-12-14,QBR,3.57
AMT-0000138,ACC-000005,Enterprise,REP-00028,2025-01-29,QBR,4.4
AMT-0000139,ACC-000005,Enterprise,REP-00028,2025-01-01,QBR,3.91
AMT-0000140,ACC-000005,Enterprise,REP-00028,2025-02-04,QBR,4.59
AMT-0000141,ACC-000005,Enterprise,REP-00028,2025-02-24,QBR,3.36
AMT-0000142,ACC-000005,Enterprise,REP-00028,2025-03-26,QBR,3.92
AMT-0000143,ACC-000005,Enterprise,REP-00028,2025-03-30,QBR,3.45
AMT-0000144,ACC-000005,Enterprise,REP-00028,2025-04-25,QBR,3.66
AMT-0000145,ACC-000005,Enterprise,REP-00028,2025-04-03,QBR,2.86
AMT-0000146,ACC-000005,Enterprise,REP-00028,2025-04-01,QBR,2.96
AMT-0000147,ACC-000005,Enterprise,REP-00028,2025-04-18,QBR,3.97
AMT-0000148,ACC-000005,Enterprise,REP-00028,2025-05-01,QBR,3.36
AMT-0000149,ACC-000005,Enterprise,REP-00028,2025-05-08,QBR,4.62
AMT-0000150,ACC-000005,Enterprise,REP-00028,2025-06-19,QBR,3.08
AMT-0000151,ACC-000005,Enterprise,REP-00028,2025-07-26,QBR,3.58
AMT-0000152,ACC-000005,Enterprise,REP-00028,2025-11-17,QBR,3.34
AMT-0000153,ACC-000005,Enterprise,REP-00028,2025-11-18,QBR,4.78
AMT-0000154,ACC-000005,Enterprise,REP-00028,2025-11-29,QBR,4.28
AMT-0000155,ACC-000006,Enterprise,REP-00003,2024-12-24,QBR,3.64
AMT-0000156,ACC-000006,Enterprise,REP-00003,2025-02-26,QBR,4.49
AMT-0000157,ACC-000006,Enterprise,REP-00003,2025-03-31,QBR,4.44
AMT-0000158,ACC-000006,Enterprise,REP-00003,2025-04-22,QBR,3.88
AMT-0000159,ACC-000006,Enterprise,REP-00003,2025-04-04,QBR,3.91
AMT-0000160,ACC-000006,Enterprise,REP-00003,2025-05-11,QBR,3.63
AMT-0000161,ACC-000006,Enterprise,REP-00003,2025-07-29,QBR,4.01
AMT-0000162,ACC-000006,Enterprise,REP-00003,2025-07-11,QBR,3.22
AMT-0000163,ACC-000006,Enterprise,REP-00003,2025-08-16,QBR,3.98
AMT-0000164,ACC-000006,Enterprise,REP-00003,2025-09-06,QBR,3.43
AMT-0000165,ACC-000006,Enterprise,REP-00003,2025-09-28,QBR,3.71
AMT-0000166,ACC-000006,Enterprise,REP-00003,2025-09-03,QBR,3.96
AMT-0000167,ACC-000006,Enterprise,REP-00003,2025-11-14,QBR,3.66
AMT-0000168,ACC-000006,Enterprise,REP-00003,2025-12-29,QBR,3.27
AMT-0000169,ACC-000006,Enterprise,REP-00003,2025-12-03,QBR,3.09
AMT-0000170,ACC-000006,Enterprise,REP-00003,2025-12-02,QBR,4.55
AMT-0000171,ACC-000007,Enterprise,REP-00028,2024-10-28,QBR,3.79
AMT-0000172,ACC-000007,Enterprise,REP-00028,2024-10-30,QBR,2.96
AMT-0000173,ACC-000007,Enterprise,REP-00028,2024-11-05,QBR,3.4
AMT-0000174,ACC-000007,Enterprise,REP-00028,2024-11-13,QBR,2.85
AMT-0000175,ACC-000007,Enterprise,REP-00028,2024-11-30,QBR,3.13
AMT-0000176,ACC-000007,Enterprise,REP-00028,2024-11-07,QBR,2.83
AMT-0000177,ACC-000007,Enterprise,REP-00028,2025-02-03,QBR,2.75
AMT-0000178,ACC-000007,Enterprise,REP-00028,2025-02-19,QBR,3.41
AMT-0000179,ACC-000007,Enterprise,REP-00028,2025-03-14,QBR,4.74
AMT-0000180,ACC-000007,Enterprise,REP-00028,2025-04-26,QBR,3.78
AMT-0000181,ACC-000007,Enterprise,REP-00028,2025-05-08,QBR,3.48
AMT-0000182,ACC-000007,Enterprise,REP-00028,2025-05-28,QBR,4.0
AMT-0000183,ACC-000007,Enterprise,REP-00028,2025-06-25,QBR,4.22
AMT-0000184,ACC-000007,Enterprise,REP-00028,2025-06-11,QBR,3.44
AMT-0000185,ACC-000007,Enterprise,REP-00028,2025-06-20,QBR,4.22
AMT-0000186,ACC-000007,Enterprise,REP-00028,2025-07-15,QBR,4.61
AMT-0000187,ACC-000007,Enterprise,REP-00028,2025-08-23,QBR,2.63
AMT-0000188,ACC-000007,Enterprise,REP-00028,2025-09-19,QBR,4.57
AMT-0000189,ACC-000007,Enterprise,REP-00028,2025-09-06,QBR,3.62
AMT-0000190,ACC-000007,Enterprise,REP-00028,2025-09-28,QBR,4.87
AMT-0000191,ACC-000007,Enterprise,REP-00028,2025-10-02,QBR,4.28
AMT-0000192,ACC-000007,Enterprise,REP-00028,2025-10-19,QBR,4.18
AMT-0000193,ACC-000008,Enterprise,REP-00036,2024-03-26,QBR,3.97
AMT-0000194,ACC-000008,Enterprise,REP-00036,2024-03-29,QBR,2.75
AMT-0000195,ACC-000008,Enterprise,REP-00036,2024-05-08,QBR,5.0
AMT-0000196,ACC-000008,Enterprise,REP-00036,2024-05-06,QBR,3.5
AMT-0000197,ACC-000008,Enterprise,REP-00036,2024-05-26,QBR,4.64
AMT-0000198,ACC-000008,Enterprise,REP-00036,2024-06-28,QBR,3.63
AMT-0000199,ACC-000008,Enterprise,REP-00036,2024-06-29,QBR,3.95
AMT-0000200,ACC-000008,Enterprise,REP-00036,2024-07-31,QBR,4.45
AMT-0000201,ACC-000008,Enterprise,REP-00036,2024-09-05,QBR,4.78
AMT-0000202,ACC-000008,Enterprise,REP-00036,2024-09-23,QBR,4.46
AMT-0000203,ACC-000008,Enterprise,REP-00036,2024-10-03,QBR,3.07
AMT-0000204,ACC-000008,Enterprise,REP-00036,2024-11-29,QBR,4.21
AMT-0000205,ACC-000008,Enterprise,REP-00036,2024-11-06,QBR,3.49
AMT-0000206,ACC-000008,Enterprise,REP-00036,2024-11-19,QBR,4.3
AMT-0000207,ACC-000008,Enterprise,REP-00036,2024-12-24,QBR,4.42
AMT-0000208,ACC-000008,Enterprise,REP-00036,2025-03-12,QBR,3.29
AMT-0000209,ACC-000008,Enterprise,REP-00036,2025-04-26,QBR,3.87
AMT-0000210,ACC-000008,Enterprise,REP-00036,2025-06-02,QBR,3.36
AMT-0000211,ACC-000008,Enterprise,REP-00036,2025-07-30,QBR,3.39
AMT-0000212,ACC-000008,Enterprise,REP-00036,2025-08-10,QBR,3.32
AMT-0000213,ACC-000008,Enterprise,REP-00036,2025-09-01,QBR,2.53
AMT-0000214,ACC-000008,Enterprise,REP-00036,2025-10-14,QBR,4.2
AMT-0000215,ACC-000008,Enterprise,REP-00036,2025-12-07,QBR,3.77
AMT-0000216,ACC-000008,Enterprise,REP-00036,2025-12-23,QBR,3.36
AMT-0000217,ACC-000008,Enterprise,REP-00036,2025-12-07,QBR,3.54
AMT-0000218,ACC-000009,Enterprise,REP-00025,2021-09-29,QBR,3.23
AMT-0000219,ACC-000009,Enterprise,REP-00025,2021-10-23,QBR,3.25
AMT-0000220,ACC-000009,Enterprise,REP-00025,2021-11-22,QBR,2.81
AMT-0000221,ACC-000009,Enterprise,REP-00025,2021-11-25,QBR,4.17
AMT-0000222,ACC-000009,Enterprise,REP-00025,2021-12-12,QBR,3.54
AMT-0000223,ACC-000009,Enterprise,REP-00025,2021-12-30,QBR,3.48
AMT-0000224,ACC-000009,Enterprise,REP-00025,2021-12-05,QBR,3.44
AMT-0000225,ACC-000009,Enterprise,REP-00025,2022-01-06,QBR,5.0
AMT-0000226,ACC-000009,Enterprise,REP-00025,2022-01-06,QBR,3.45
AMT-0000227,ACC-000009,Enterprise,REP-00025,2022-01-20,QBR,3.83
AMT-0000228,ACC-000009,Enterprise,REP-00025,2022-02-03,QBR,3.86
AMT-0000229,ACC-000009,Enterprise,REP-00025,2022-02-12,QBR,3.49
AMT-0000230,ACC-000009,Enterprise,REP-00025,2022-02-08,QBR,3.69
AMT-0000231,ACC-000009,Enterprise,REP-00025,2022-02-09,QBR,4.1
AMT-0000232,ACC-000009,Enterprise,REP-00025,2022-04-18,QBR,3.0
AMT-0000233,ACC-000009,Enterprise,REP-00025,2022-05-17,QBR,4.48
AMT-0000234,ACC-000009,Enterprise,REP-00025,2022-05-29,QBR,3.49
AMT-0000235,ACC-000009,Enterprise,REP-00025,2022-09-26,QBR,3.93
AMT-0000236,ACC-000009,Enterprise,REP-00025,2022-10-18,QBR,2.9
AMT-0000237,ACC-000009,Enterprise,REP-00025,2022-10-30,QBR,3.17
AMT-0000238,ACC-000009,Enterprise,REP-00025,2022-10-14,QBR,3.7
AMT-0000239,ACC-000009,Enterprise,REP-00025,2022-11-23,QBR,4.68
AMT-0000240,ACC-000009,Enterprise,REP-00025,2022-12-05,QBR,3.93
AMT-0000241,ACC-000009,Enterprise,REP-00025,2023-01-01,QBR,3.65
AMT-0000242,ACC-000009,Enterprise,REP-00025,2023-02-05,QBR,2.65
AMT-0000243,ACC-000009,Enterprise,REP-00025,2023-02-14,QBR,3.61
AMT-0000244,ACC-000009,Enterprise,REP-00025,2023-03-16,QBR,4.48
AMT-0000245,ACC-000009,Enterprise,REP-00025,2023-03-24,QBR,3.11
AMT-0000246,ACC-000009,Enterprise,REP-00025,2023-04-05,QBR,3.9
AMT-0000247,ACC-000009,Enterprise,REP-00025,2023-06-13,QBR,4.16
AMT-0000248,ACC-000009,Enterprise,REP-00025,2023-06-19,QBR,3.96
AMT-0000249,ACC-000009,Enterprise,REP-00025,2023-06-03,QBR,3.62
AMT-0000250,ACC-000009,Enterprise,REP-00025,2023-06-22,QBR,2.39
AMT-0000251,ACC-000009,Enterprise,REP-00025,2023-07-29,QBR,4.27
AMT-0000252,ACC-000009,Enterprise,REP-00025,2023-09-19,QBR,3.15
AMT-0000253,ACC-000009,Enterprise,REP-00025,2023-09-13,QBR,4.81
AMT-0000254,ACC-000009,Enterprise,REP-00025,2023-09-05,QBR,5.0
AMT-0000255,ACC-000009,Enterprise,REP-00025,2023-09-30,QBR,3.78
AMT-0000256,ACC-000009,Enterprise,REP-00025,2023-09-10,QBR,3.72
AMT-0000257,ACC-000009,Enterprise,REP-00025,2023-09-04,QBR,4.07
AMT-0000258,ACC-000009,Enterprise,REP-00025,2023-10-23,QBR,1.52
AMT-0000259,ACC-000009,Enterprise,REP-00025,2023-11-20,QBR,3.55
AMT-0000260,ACC-000009,Enterprise,REP-00025,2023-11-28,QBR,4.62
AMT-0000261,ACC-000009,Enterprise,REP-00025,2023-11-04,QBR,4.33
AMT-0000262,ACC-000009,Enterprise,REP-00025,2024-01-06,QBR,3.81
AMT-0000263,ACC-000009,Enterprise,REP-00025,2024-02-23,QBR,4.35
AMT-0000264,ACC-000009,Enterprise,REP-00025,2024-03-23,QBR,4.41
AMT-0000265,ACC-000009,Enterprise,REP-00025,2024-06-13,QBR,3.9
AMT-0000266,ACC-000009,Enterprise,REP-00025,2024-07-24,QBR,3.57
AMT-0000267,ACC-000009,Enterprise,REP-00025,2024-09-19,QBR,3.44
AMT-0000268,ACC-000009,Enterprise,REP-00025,2024-09-01,QBR,2.64
AMT-0000269,ACC-000009,Enterprise,REP-00025,2024-11-07,QBR,3.29
AMT-0000270,ACC-000009,Enterprise,REP-00025,2025-01-26,QBR,3.38
AMT-0000271,ACC-000009,Enterprise,REP-00025,2025-05-14,QBR,3.78
AMT-0000272,ACC-000009,Enterprise,REP-00025,2025-05-19,QBR,4.21
AMT-0000273,ACC-000009,Enterprise,REP-00025,2025-06-27,QBR,2.5
AMT-0000274,ACC-000009,Enterprise,REP-00025,2025-06-06,QBR,4.89
AMT-0000275,ACC-000009,Enterprise,REP-00025,2025-07-15,QBR,4.13
AMT-0000276,ACC-000009,Enterprise,REP-00025,2025-08-31,QBR,4.09
AMT-0000277,ACC-000009,Enterprise,REP-00025,2025-09-11,QBR,4.88
AMT-0000278,ACC-000009,Enterprise,REP-00025,2025-09-16,QBR,4.17
AMT-0000279,ACC-000009,Enterprise,REP-00025,2025-11-21,QBR,4.39
AMT-0000280,ACC-000009,Enterprise,REP-00025,2025-11-05,QBR,4.0
AMT-0000281,ACC-000009,Enterprise,REP-00025,2025-12-13,QBR,2.8
AMT-0000282,ACC-000010,Enterprise,REP-00011,2020-12-31,QBR,3.52
AMT-0000283,ACC-000010,Enterprise,REP-00011,2020-12-30,QBR,2.43
AMT-0000284,ACC-000010,Enterprise,REP-00011,2021-01-14,QBR,2.84
AMT-0000285,ACC-000010,Enterprise,REP-00011,2021-01-28,QBR,3.86
AMT-0000286,ACC-000010,Enterprise,REP-00011,2021-01-04,QBR,4.35
AMT-0000287,ACC-000010,Enterprise,REP-00011,2021-03-29,QBR,3.18
AMT-0000288,ACC-000010,Enterprise,REP-00011,2021-04-20,QBR,3.53
AMT-0000289,ACC-000010,Enterprise,REP-00011,2021-04-12,QBR,3.03
AMT-0000290,ACC-000010,Enterprise,REP-00011,2021-04-24,QBR,3.56
AMT-0000291,ACC-000010,Enterprise,REP-00011,2021-05-10,QBR,4.35
AMT-0000292,ACC-000010,Enterprise,REP-00011,2021-06-11,QBR,3.42
AMT-0000293,ACC-000010,Enterprise,REP-00011,2021-08-08,QBR,3.4
AMT-0000294,ACC-000010,Enterprise,REP-00011,2021-09-16,QBR,3.41
AMT-0000295,ACC-000010,Enterprise,REP-00011,2021-09-29,QBR,4.76
AMT-0000296,ACC-000010,Enterprise,REP-00011,2021-09-10,QBR,3.51
AMT-0000297,ACC-000010,Enterprise,REP-00003,2021-10-30,QBR,4.01
AMT-0000298,ACC-000010,Enterprise,REP-00003,2021-11-23,QBR,4.1
AMT-0000299,ACC-000010,Enterprise,REP-00003,2021-11-05,QBR,3.59
AMT-0000300,ACC-000010,Enterprise,REP-00003,2021-12-24,QBR,3.65
AMT-0000301,ACC-000010,Enterprise,REP-00003,2022-01-06,QBR,3.47
AMT-0000302,ACC-000010,Enterprise,REP-00003,2022-01-09,QBR,3.37
AMT-0000303,ACC-000010,Enterprise,REP-00003,2022-03-21,QBR,2.8
AMT-0000304,ACC-000010,Enterprise,REP-00003,2022-03-10,QBR,3.99
AMT-0000305,ACC-000010,Enterprise,REP-00003,2022-05-29,QBR,3.68
AMT-0000306,ACC-000010,Enterprise,REP-00003,2022-06-01,QBR,3.54
AMT-0000307,ACC-000010,Enterprise,REP-00003,2022-06-15,QBR,4.72
AMT-0000308,ACC-000010,Enterprise,REP-00003,2022-07-03,QBR,3.56
AMT-0000309,ACC-000010,Enterprise,REP-00003,2022-09-18,QBR,3.72
AMT-0000310,ACC-000010,Enterprise,REP-00003,2022-10-04,QBR,4.28
AMT-0000311,ACC-000010,Enterprise,REP-00003,2022-11-03,QBR,3.48
AMT-0000312,ACC-000010,Enterprise,REP-00003,2022-11-07,QBR,3.64
AMT-0000313,ACC-000010,Enterprise,REP-00003,2023-01-07,QBR,4.28
AMT-0000314,ACC-000010,Enterprise,REP-00003,2023-01-12,QBR,2.7
AMT-0000315,ACC-000010,Enterprise,REP-00003,2023-02-15,QBR,3.55
AMT-0000316,ACC-000010,Enterprise,REP-00003,2023-02-01,QBR,3.58
AMT-0000317,ACC-000010,Enterprise,REP-00003,2023-02-22,QBR,4.14
AMT-0000318,ACC-000010,Enterprise,REP-00003,2023-02-27,QBR,3.99
AMT-0000319,ACC-000010,Enterprise,REP-00003,2023-03-31,QBR,4.05
AMT-0000320,ACC-000010,Enterprise,REP-00003,2023-04-05,QBR,3.8
AMT-0000321,ACC-000010,Enterprise,REP-00003,2023-05-16,QBR,3.88
AMT-0000322,ACC-000010,Enterprise,REP-00003,2023-06-22,QBR,3.67
AMT-0000323,ACC-000010,Enterprise,REP-00003,2023-09-17,QBR,3.14
AMT-0000324,ACC-000010,Enterprise,REP-00003,2023-10-24,QBR,3.24
AMT-0000325,ACC-000010,Enterprise,REP-00003,2023-11-05,QBR,3.5
AMT-0000326,ACC-000010,Enterprise,REP-00003,2023-11-15,QBR,3.23
AMT-0000327,ACC-000010,Enterprise,REP-00003,2024-01-29,QBR,3.09
AMT-0000328,ACC-000010,Enterprise,REP-00003,2024-02-22,QBR,4.25
AMT-0000329,ACC-000010,Enterprise,REP-00003,2024-02-21,QBR,3.56
AMT-0000330,ACC-000010,Enterprise,REP-00003,2024-02-01,QBR,4.06
AMT-0000331,ACC-000010,Enterprise,REP-00003,2024-03-27,QBR,3.14
