account_id,month,upstream_actions,downstream_actions
ACC-000003,2024-05-01,963332,900831
ACC-000003,2024-06-01,894307,862372
ACC-000003,2024-07-01,1007390,901625
ACC-000003,2024-08-01,877061,745702
ACC-000003,2024-09-01,1103664,951335
ACC-000003,2024-10-01,1030392,945093
ACC-000003,2024-11-01,1125895,1021899
ACC-000003,2024-12-01,878987,842972
ACC-000003,2025-01-01,1171702,1115923
ACC-000003,2025-02-01,1208684,1060788
ACC-000003,2025-03-01,1196993,1113670
ACC-000003,2025-04-01,1151952,1120805
ACC-000003,2025-05-01,1188300,1082722
ACC-000003,2025-06-01,1159976,1057807
ACC-000003,2025-07-01,1175705,1139919
ACC-000003,2025-08-01,1038543,977379
ACC-000003,2025-09-01,1110392,1008830
ACC-000003,2025-10-01,1152011,1004708
ACC-000003,2025-11-01,1211180,1107635
ACC-000003,2025-12-01,1291620,1186876
ACC-000004,2025-10-01,62297,57171
ACC-000004,2025-11-01,157268,143707
ACC-000004,2025-12-01,429132,382167
ACC-000005,2023-11-01,91778,84188
ACC-000005,2023-12-01,122665,117637
ACC-000005,2024-01-01,326506,301424
ACC-000005,2024-02-01,488683,470732
ACC-000005,2024-03-01,809751,770421
ACC-000005,2024-04-01,825628,732958
ACC-000005,2024-05-01,959377,876319
ACC-000005,2024-06-01,916740,822168
ACC-000005,2024-07-01,875859,820985
ACC-000005,2024-08-01,970284,845778
ACC-000005,2024-09-01,993884,923818
ACC-000005,2024-10-01,898780,857376
ACC-000005,2024-11-01,956222,895913
ACC-000005,2024-12-01,837599,768326
ACC-000005,2025-01-01,962742,826701
ACC-000005,2025-02-01,971617,884304
ACC-000005,2025-03-01,960658,874546
ACC-000005,2025-04-01,1008347,946309
ACC-000005,2025-05-01,959672,850359
ACC-000005,2025-06-01,1117153,963152
ACC-000005,2025-07-01,1049004,988217
ACC-000005,2025-08-01,1026953,883181
ACC-000005,2025-09-01,910813,847971
ACC-000005,2025-10-01,1025479,947460
ACC-000005,2025-11-01,1031781,937997
ACC-000005,2025-12-01,874371,760775
ACC-000006,2024-12-01,79598,75861
ACC-000006,2025-01-01,171808,149024
ACC-000006,2025-02-01,279941,268964
ACC-000006,2025-03-01,499494,427239
ACC-000006,2025-04-01,819492,775291
ACC-000006,2025-05-01,858621,807194
ACC-000006,2025-06-01,919283,817948
ACC-000006,2025-07-01,821652,794662
ACC-000006,2025-08-01,802481,685928
ACC-000006,2025-09-01,1006612,956755
ACC-000006,2025-10-01,949462,902920
ACC-000006,2025-11-01,973113,867002
ACC-000006,2025-12-01,742232,654670
ACC-000007,2024-08-01,75181,70277
ACC-000007,2024-09-01,165615,146141
ACC-000007,2024-10-01,306468,287376
ACC-000007,2024-11-01,450170,402599
ACC-000007,2024-12-01,701188,675407
ACC-000007,2025-01-01,844654,750663
ACC-000007,2025-02-01,1018811,955663
ACC-000007,2025-03-01,935966,891022
ACC-000007,2025-04-01,893769,818367
ACC-000007,2025-05-01,978025,891430
ACC-000007,2025-06-01,990635,859641
ACC-000007,2025-07-01,840049,740910
ACC-000007,2025-08-01,826869,718434
ACC-000007,2025-09-01,730957,621964
ACC-000007,2025-10-01,1012693,863653
ACC-000007,2025-11-01,901136,854411
ACC-000007,2025-12-01,889296,760819
ACC-000008,2024-03-01,67013,65007
ACC-000008,2024-04-01,124363,121829
ACC-000008,2024-05-01,228362,206738
ACC-000008,2024-06-01,399287,352548
ACC-000008,2024-07-01,532262,459774
ACC-000008,2024-08-01,665212,605922
ACC-000008,2024-09-01,647906,616221
ACC-000008,2024-10-01,739027,642408
ACC-000008,2024-11-01,722937,635666
ACC-000008,2024-12-01,528497,515693
ACC-000008,2025-01-01,827840,796839
ACC-000008,2025-02-01,728318,631257
ACC-000008,2025-03-01,755937,673002
ACC-000008,2025-04-01,802474,712454
ACC-000008,2025-05-01,693538,629442
ACC-000008,2025-06-01,649528,586930
ACC-000008,2025-07-01,655722,624665
ACC-000008,2025-08-01,623705,581854
ACC-000008,2025-09-01,663412,640464
ACC-000008,2025-10-01,802486,720173
ACC-000008,2025-11-01,736719,710317
ACC-000008,2025-12-01,634047,546601
ACC-000009,2021-09-01,58232,53508
ACC-000009,2021-10-01,96709,93031
ACC-000009,2021-11-01,202088,195411
ACC-000009,2021-12-01,253326,242881
ACC-000009,2022-01-01,657314,597256
ACC-000009,2022-02-01,611344,587303
ACC-000009,2022-03-01,631161,541451
ACC-000009,2022-04-01,571286,493582
ACC-000009,2022-05-01,613380,521609
ACC-000009,2022-06-01,522681,451829
ACC-000009,2022-07-01,669853,619238
ACC-000009,2022-08-01,557202,491199
ACC-000009,2022-09-01,682465,665719
ACC-000009,2022-10-01,677171,640251
ACC-000009,2022-11-01,774809,673268
ACC-000009,2022-12-01,696500,613114
ACC-000009,2023-01-01,660116,577808
ACC-000009,2023-02-01,770857,755381
ACC-000009,2023-03-01,836342,745981
ACC-000009,2023-04-01,678445,641916
ACC-000009,2023-05-01,718526,675863
ACC-000009,2023-06-01,665677,617620
ACC-000009,2023-07-01,773826,659315
ACC-000009,2023-08-01,727453,661124
ACC-000009,2023-09-01,808689,718193
ACC-000009,2023-10-01,884519,775613
ACC-000009,2023-11-01,920353,895592
ACC-000009,2023-12-01,824754,773106
ACC-000009,2024-01-01,964346,827308
ACC-000009,2024-02-01,988043,873392
ACC-000009,2024-03-01,917713,850065
ACC-000009,2024-04-01,931783,823967
ACC-000009,2024-05-01,933878,907654
ACC-000009,2024-06-01,1119705,1054117
ACC-000009,2024-07-01,871274,821995
ACC-000009,2024-08-01,1091884,930273
ACC-000009,2024-09-01,930963,893437
ACC-000009,2024-10-01,996486,858806
ACC-000009,2024-11-01,867781,784860
ACC-000009,2024-12-01,841338,766098
ACC-000009,2025-01-01,1245522,1117319
ACC-000009,2025-02-01,1031899,979942
ACC-000009,2025-03-01,1181588,1120990
ACC-000009,2025-04-01,1141066,1093152
ACC-000009,2025-05-01,893658,855553
ACC-000009,2025-06-01,1053141,989991
ACC-000009,2025-07-01,1155340,1022683
ACC-000009,2025-08-01,1128011,1026645
ACC-000009,2025-09-01,1110222,990246
ACC-000009,2025-10-01,1251377,1093547
ACC-000009,2025-11-01,1437731,1292291
ACC-000009,2025-12-01,1056559,947105
ACC-000010,2020-12-01,140666,129747
ACC-000010,2021-01-01,304294,272316
ACC-000010,2021-02-01,493576,462687
ACC-000010,2021-03-01,907561,776056
ACC-000010,2021-04-01,1690185,1641463
ACC-000010,2021-05-01,1463400,1344935
ACC-000010,2021-06-01,1710924,1558321
ACC-000010,2021-07-01,1353956,1299667
ACC-000010,2021-08-01,1655082,1412542
ACC-000010,2021-09-01,1633567,1424642
ACC-000010,2021-10-01,2004715,1939449
ACC-000010,2021-11-01,1744276,1490435
ACC-000010,2021-12-01,1406781,1252513
ACC-000010,2022-01-01,1924120,1734514
ACC-000010,2022-02-01,1694738,1449971
ACC-000010,2022-03-01,1674452,1437009
ACC-000010,2022-04-01,1773165,1722399
ACC-000010,2022-05-01,1970121,1804142
ACC-000010,2022-06-01,1668944,1634566
ACC-000010,2022-07-01,1631770,1532227
ACC-000010,2022-08-01,2012029,1844616
ACC-000010,2022-09-01,1923969,1865682
ACC-000010,2022-10-01,1885192,1725391
ACC-000010,2022-11-01,2169525,2082438
ACC-000010,2022-12-01,1391567,1339094
ACC-000010,2023-01-01,2362194,2248385
ACC-000010,2023-02-01,1975904,1835980
ACC-000010,2023-03-01,1735383,1586127
ACC-000010,2023-04-01,2079286,1890341
ACC-000010,2023-05-01,1731349,1548377
ACC-000010,2023-06-01,2074218,1889289
ACC-000010,2023-07-01,1734805,1639816
ACC-000010,2023-08-01,1925994,1756383
ACC-000010,2023-09-01,2378097,2149813
ACC-000010,2023-10-01,1772242,1728539
ACC-000010,2023-11-01,2136169,1886932
ACC-000010,2023-12-01,1891468,1754804
ACC-000010,2024-01-01,2693867,2312811
ACC-000010,2024-02-01,2201771,1957032
ACC-000010,2024-03-01,2360169,2212530
ACC-000010,2024-04-01,2279001,2098230
ACC-000010,2024-05-01,2202085,1959700
ACC-000010,2024-06-01,2419389,2056752
ACC-000010,2024-07-01,1866389,1761565
ACC-000010,2024-08-01,2192639,2066237
ACC-000010,2024-09-01,2455458,2169954
ACC-000010,2024-10-01,2893734,2506370
ACC-000010,2024-11-01,2902180,2645352
ACC-000010,2024-12-01,2252536,2183479
ACC-000010,2025-01-01,3290493,3025298
ACC-000010,2025-02-01,2580043,2427430
ACC-000010,2025-03-01,2640810,2403596
ACC-000010,2025-04-01,2348684,2258881
ACC-000010,2025-05-01,2368512,2278012
ACC-000010,2025-06-01,2590599,2416321
ACC-000010,2025-07-01,2489299,2167815
ACC-000010,2025-08-01,2896416,2495393
ACC-000010,2025-09-01,3124713,2700739
ACC-000010,2025-10-01,3359419,3251254
ACC-000010,2025-11-01,2749431,2618112
ACC-000010,2025-12-01,2474800,2146827
ACC-000011,2022-02-01,61133,58970
ACC-000011,2022-03-01,108919,92928
ACC-000011,2022-04-01,165519,149628
ACC-000011,2022-05-01,353308,326289
ACC-000011,2022-06-01,646835,611811
ACC-000011,2022-07-01,622788,595230
ACC-000011,2022-08-01,523244,459210
ACC-000011,2022-09-01,630324,585485
ACC-000011,2022-10-01,583337,510405
ACC-000011,2022-11-01,599247,534399
ACC-000011,2022-12-01,554904,494964
ACC-000011,2023-01-01,830903,769655
ACC-000011,2023-02-01,722887,635069
ACC-000011,2023-03-01,692798,589687
ACC-000011,2023-04-01,656875,599111
ACC-000011,2023-05-01,716401,616896
ACC-000011,2023-06-01,676133,614763
ACC-000011,2023-07-01,756446,653155
ACC-000011,2023-08-01,712977,683807
ACC-000011,2023-09-01,776292,697122
ACC-000011,2023-10-01,863363,786182
ACC-000011,2023-11-01,855768,830292
ACC-000011,2023-12-01,722248,649170
ACC-000011,2024-01-01,916360,848740
ACC-000011,2024-02-01,881612,784256
ACC-000011,2024-03-01,969427,837347
ACC-000011,2024-04-01,864646,746338
ACC-000011,2024-05-01,882875,757310
ACC-000011,2024-06-01,867083,792696
ACC-000011,2024-07-01,769976,701870
ACC-000011,2024-08-01,906400,848138
ACC-000011,2024-09-01,1062169,1021343
ACC-000011,2024-10-01,1056273,983020
ACC-000011,2024-11-01,1052550,980330
ACC-000011,2024-12-01,875048,826772
ACC-000011,2025-01-01,1148000,1070993
ACC-000011,2025-02-01,909659,849954
ACC-000011,2025-03-01,1065741,970032
ACC-000011,2025-04-01,1070322,1021377
ACC-000011,2025-05-01,1109937,1077162
ACC-000011,2025-06-01,1236708,1104141
ACC-000011,2025-07-01,1026658,939173
ACC-000011,2025-08-01,1023041,973612
ACC-000011,2025-09-01,1299599,1257447
ACC-000011,2025-10-01,1278506,1130715
ACC-000011,2025-11-01,1190865,1099179
ACC-000011,2025-12-01,1076868,948088
ACC-000012,2023-03-01,45854,41272
ACC-000012,2023-04-01,105163,92631
ACC-000012,2023-05-01,150088,130870
ACC-000012,2023-06-01,301650,277037
ACC-000012,2023-07-01,476834,452956
ACC-000012,2023-08-01,461023,400920
ACC-000012,2023-09-01,626950,538976
ACC-000012,2023-10-01,506915,468798
ACC-000012,2023-11-01,591420,543089
ACC-000012,2023-12-01,477000,446889
ACC-000012,2024-01-01,597598,536293
ACC-000012,2024-02-01,633272,583306
ACC-000012,2024-03-01,616288,532740
ACC-000012,2024-04-01,559433,493596
ACC-000012,2024-05-01,561658,529030
ACC-000012,2024-06-01,560996,542490
ACC-000012,2024-07-01,613491,590555
ACC-000012,2024-08-01,589829,546281
ACC-000012,2024-09-01,684028,591448
ACC-000012,2024-10-01,684060,654993
ACC-000012,2024-11-01,605380,548043
ACC-000012,2024-12-01,583565,522800
ACC-000012,2025-01-01,749428,713931
ACC-000012,2025-02-01,806680,746591
ACC-000012,2025-03-01,736733,636621
ACC-000012,2025-04-01,722377,658307
ACC-000012,2025-05-01,687842,590249
ACC-000012,2025-06-01,649530,633027
ACC-000012,2025-07-01,684323,602215
ACC-000012,2025-08-01,625122,578699
ACC-000012,2025-09-01,751545,711993
ACC-000012,2025-10-01,729013,653227
ACC-000012,2025-11-01,793227,699407
ACC-000012,2025-12-01,599026,535166
ACC-000013,2025-01-01,36349,34569
ACC-000013,2025-02-01,63450,60934
ACC-000013,2025-03-01,140146,130428
ACC-000013,2025-04-01,236206,226569
ACC-000013,2025-05-01,452135,412179
ACC-000013,2025-06-01,376139,320602
ACC-000013,2025-07-01,365985,317500
ACC-000013,2025-08-01,390353,334147
ACC-000013,2025-09-01,425731,384228
ACC-000013,2025-10-01,460514,426106
ACC-000013,2025-11-01,414981,399399
ACC-000013,2025-12-01,432481,394507
ACC-000014,2024-10-01,78280,75035
ACC-000014,2024-11-01,156507,150648
ACC-000014,2024-12-01,216410,196954
ACC-000014,2025-01-01,408237,355173
ACC-000014,2025-02-01,743989,655371
ACC-000014,2025-03-01,761916,663362
ACC-000014,2025-04-01,843549,772693
ACC-000014,2025-05-01,714427,609796
ACC-000014,2025-06-01,728278,696975
ACC-000014,2025-07-01,778866,711206
ACC-000014,2025-08-01,860168,823498
ACC-000014,2025-09-01,978123,861456
ACC-000014,2025-10-01,875709,787017
ACC-000014,2025-11-01,916469,893340
ACC-000014,2025-12-01,790301,713064
ACC-000015,2024-05-01,93551,91667
ACC-000015,2024-06-01,156663,134716
ACC-000015,2024-07-01,248046,240073
ACC-000015,2024-08-01,447209,388046
ACC-000015,2024-09-01,987219,884476
ACC-000015,2024-10-01,1035517,891518
ACC-000015,2024-11-01,877665,833495
ACC-000015,2024-12-01,725833,620033
ACC-000015,2025-01-01,984013,953579
ACC-000015,2025-02-01,907987,798568
ACC-000015,2025-03-01,1065417,956297
ACC-000015,2025-04-01,1022977,890556
ACC-000015,2025-05-01,822156,749526
ACC-000015,2025-06-01,965194,910798
ACC-000015,2025-07-01,928294,853206
ACC-000015,2025-08-01,937080,818703
ACC-000015,2025-09-01,1141091,1004973
ACC-000015,2025-10-01,978774,882575
ACC-000015,2025-11-01,1093588,1039834
ACC-000015,2025-12-01,948966,893668
ACC-000016,2025-11-01,62381,54038
ACC-000016,2025-12-01,452445,440998
ACC-000017,2021-03-01,53420,46050
ACC-000017,2021-04-01,110975,98258
ACC-000017,2021-05-01,181414,154900
ACC-000017,2021-06-01,322142,315414
ACC-000017,2021-07-01,530880,488115
ACC-000017,2021-08-01,592883,526088
ACC-000017,2021-09-01,626279,601043
ACC-000017,2021-10-01,768754,716370
ACC-000017,2021-11-01,622833,552475
ACC-000017,2021-12-01,490948,428576
ACC-000017,2022-01-01,700241,651513
ACC-000017,2022-02-01,734487,705085
ACC-000017,2022-03-01,709004,632389
ACC-000017,2022-04-01,722445,631661
ACC-000017,2022-05-01,645026,577429
ACC-000017,2022-06-01,693672,619147
ACC-000017,2022-07-01,583253,520406
ACC-000017,2022-08-01,657060,563970
ACC-000017,2022-09-01,686620,655562
ACC-000017,2022-10-01,725480,703097
ACC-000017,2022-11-01,753448,712601
ACC-000017,2022-12-01,604847,568787
ACC-000017,2023-01-01,796320,755270
ACC-000017,2023-02-01,900428,864224
ACC-000017,2023-03-01,839258,756787
ACC-000017,2023-04-01,960436,851568
ACC-000017,2023-05-01,728500,681647
ACC-000017,2023-06-01,842687,752345
ACC-000017,2023-07-01,810298,776643
ACC-000017,2023-08-01,832509,713458
ACC-000017,2023-09-01,868653,850339
ACC-000017,2023-10-01,871725,805248
ACC-000017,2023-11-01,943715,861407
ACC-000017,2023-12-01,680234,647126
ACC-000017,2024-01-01,934627,891045
ACC-000017,2024-02-01,923808,847263
ACC-000017,2024-03-01,918108,826869
ACC-000017,2024-04-01,1051772,987991
ACC-000017,2024-05-01,1055390,927849
ACC-000017,2024-06-01,985723,927581
ACC-000017,2024-07-01,854079,781710
ACC-000017,2024-08-01,844931,811242
ACC-000017,2024-09-01,1209268,1028861
ACC-000017,2024-10-01,1135176,977236
ACC-000017,2024-11-01,1271697,1220764
ACC-000017,2024-12-01,925695,831877
ACC-000017,2025-01-01,1099488,943868
ACC-000017,2025-02-01,1321149,1173827
ACC-000017,2025-03-01,1267371,1107884
ACC-000017,2025-04-01,1391921,1248562
ACC-000017,2025-05-01,1276740,1217061
ACC-000017,2025-06-01,1065699,998527
ACC-000017,2025-07-01,1249155,1093239
ACC-000017,2025-08-01,1365643,1194685
ACC-000017,2025-09-01,1475579,1259014
ACC-000017,2025-10-01,1391435,1306563
ACC-000017,2025-11-01,1491153,1349707
ACC-000017,2025-12-01,1167727,1110580
ACC-000018,2024-11-01,44168,42198
ACC-000018,2024-12-01,56600,52364
ACC-000018,2025-01-01,140715,120532
ACC-000018,2025-02-01,261342,222965
ACC-000018,2025-03-01,398139,382956
ACC-000018,2025-04-01,440000,405494
ACC-000018,2025-05-01,366600,355756
ACC-000018,2025-06-01,420837,409276
ACC-000018,2025-07-01,428143,402164
ACC-000018,2025-08-01,410173,384298
ACC-000018,2025-09-01,432041,393557
ACC-000018,2025-10-01,478031,458756
ACC-000018,2025-11-01,526869,453262
ACC-000018,2025-12-01,411776,354521
ACC-000019,2023-02-01,41175,35265
ACC-000019,2023-03-01,71780,64225
ACC-000019,2023-04-01,126620,119868
ACC-000019,2023-05-01,212607,200479
ACC-000019,2023-06-01,367023,325888
ACC-000019,2023-07-01,390912,349254
ACC-000019,2023-08-01,398106,351008
ACC-000019,2023-09-01,417501,392610
ACC-000019,2023-10-01,441924,432062
ACC-000019,2023-11-01,408476,373197
ACC-000019,2023-12-01,334177,286282
ACC-000019,2024-01-01,466133,449444
ACC-000019,2024-02-01,478487,434749
ACC-000019,2024-03-01,468724,449398
ACC-000019,2024-04-01,456386,419445
ACC-000019,2024-05-01,508252,443293
ACC-000019,2024-06-01,421661,389095
ACC-000019,2024-07-01,400142,371378
ACC-000019,2024-08-01,450797,421758
ACC-000019,2024-09-01,502242,467666
ACC-000019,2024-10-01,441815,379989
ACC-000019,2024-11-01,484446,472190
ACC-000019,2024-12-01,361264,313297
ACC-000019,2025-01-01,553121,504260
ACC-000019,2025-02-01,563914,549050
ACC-000019,2025-03-01,496648,468776
ACC-000019,2025-04-01,415872,397817
ACC-000019,2025-05-01,485229,459589
ACC-000019,2025-06-01,537688,511004
ACC-000019,2025-07-01,420354,410154
ACC-000019,2025-08-01,521649,455834
ACC-000019,2025-09-01,547390,531477
ACC-000019,2025-10-01,518411,483868
ACC-000019,2025-11-01,541975,502523
ACC-000019,2025-12-01,474194,439039
ACC-000020,2020-11-01,98527,85991
ACC-000020,2020-12-01,144953,128655
ACC-000020,2021-01-01,325611,307869
ACC-000020,2021-02-01,581745,538337
ACC-000020,2021-03-01,990087,854387
ACC-000020,2021-04-01,970428,949278
ACC-000020,2021-05-01,870600,771559
ACC-000020,2021-06-01,1024970,907513
ACC-000020,2021-07-01,922600,823901
ACC-000020,2021-08-01,864021,757881
ACC-000020,2021-09-01,1196059,1156869
ACC-000020,2021-10-01,1191933,1110970
ACC-000020,2021-11-01,1101474,992757
ACC-000020,2021-12-01,965671,910422
ACC-000020,2022-01-01,1066127,921322
ACC-000020,2022-02-01,1155217,1069700
ACC-000020,2022-03-01,1060551,1006648
ACC-000020,2022-04-01,1214924,1071785
ACC-000020,2022-05-01,1002457,891718
ACC-000020,2022-06-01,1016680,968888
ACC-000020,2022-07-01,1034967,930350
ACC-000020,2022-08-01,1093252,1061913
ACC-000020,2022-09-01,1361283,1186435
ACC-000020,2022-10-01,1056772,959764
ACC-000020,2022-11-01,1325408,1283970
ACC-000020,2022-12-01,927922,853487
ACC-000020,2023-01-01,1230444,1124078
ACC-000020,2023-02-01,1235257,1050589
ACC-000020,2023-03-01,1188418,1120821
ACC-000020,2023-04-01,1221933,1181147
ACC-000020,2023-05-01,1290465,1110524
ACC-000020,2023-06-01,1233352,1102138
ACC-000020,2023-07-01,1114604,975712
ACC-000020,2023-08-01,1243483,1140378
ACC-000020,2023-09-01,1339992,1249798
ACC-000020,2023-10-01,1259568,1146799
ACC-000020,2023-11-01,1172492,1069101
ACC-000020,2023-12-01,1174744,1028652
ACC-000020,2024-01-01,1535772,1493461
ACC-000020,2024-02-01,1476542,1318957
ACC-000020,2024-03-01,1262501,1109466
ACC-000020,2024-04-01,1257090,1128174
ACC-000020,2024-05-01,1446141,1261829
ACC-000020,2024-06-01,1481549,1266154
ACC-000020,2024-07-01,1187650,525013
ACC-000020,2024-08-01,919400,478958
ACC-000020,2024-09-01,998469,530638
ACC-000020,2024-10-01,924010,327378
ACC-000020,2024-11-01,600052,320480
ACC-000021,2024-05-01,50038,44342
ACC-000021,2024-06-01,74754,70233
ACC-000021,2024-07-01,157615,144699
ACC-000021,2024-08-01,256481,227234
ACC-000021,2024-09-01,435431,380377
ACC-000021,2024-10-01,525245,501753
ACC-000021,2024-11-01,537866,466567
ACC-000021,2024-12-01,429305,365658
ACC-000021,2025-01-01,653704,556201
ACC-000021,2025-02-01,637471,583664
ACC-000021,2025-03-01,532576,469920
ACC-000021,2025-04-01,519053,459772
ACC-000021,2025-05-01,533196,520693
ACC-000021,2025-06-01,413338,377705
ACC-000021,2025-07-01,483835,424382
ACC-000021,2025-08-01,500355,489563
ACC-000021,2025-09-01,487746,470601
ACC-000021,2025-10-01,534438,517919
ACC-000021,2025-11-01,554311,513380
ACC-000021,2025-12-01,511258,454112
ACC-000022,2021-06-01,71628,60993
ACC-000022,2021-07-01,130786,113364
ACC-000022,2021-08-01,265023,243438
ACC-000022,2021-09-01,439417,386126
ACC-000022,2021-10-01,823695,715613
ACC-000022,2021-11-01,812336,740880
ACC-000022,2021-12-01,682375,612037
ACC-000022,2022-01-01,875199,778854
ACC-000022,2022-02-01,872061,798046
ACC-000022,2022-03-01,807041,686325
ACC-000022,2022-04-01,933918,858766
ACC-000022,2022-05-01,905317,797712
ACC-000022,2022-06-01,751225,715797
ACC-000022,2022-07-01,853450,814207
ACC-000022,2022-08-01,980260,952251
ACC-000022,2022-09-01,971608,898384
ACC-000022,2022-10-01,1022417,888980
ACC-000022,2022-11-01,1100932,1025214
ACC-000022,2022-12-01,766047,741039
ACC-000022,2023-01-01,996640,922424
ACC-000022,2023-02-01,903441,807760
ACC-000022,2023-03-01,936474,894002
ACC-000022,2023-04-01,1073003,981298
ACC-000022,2023-05-01,919347,887440
ACC-000022,2023-06-01,1145410,1016769
ACC-000022,2023-07-01,992565,897445
ACC-000022,2023-08-01,954585,857385
ACC-000022,2023-09-01,1130415,1106223
ACC-000022,2023-10-01,1130609,1014711
ACC-000022,2023-11-01,1035933,951490
ACC-000022,2023-12-01,958239,867119
ACC-000022,2024-01-01,1269301,1078964
ACC-000022,2024-02-01,1207076,489852
ACC-000022,2024-03-01,965018,415972
ACC-000022,2024-04-01,759911,298631
ACC-000022,2024-05-01,720813,371926
ACC-000022,2024-06-01,579672,231296
ACC-000023,2024-04-01,73831,70328
ACC-000023,2024-05-01,135183,129121
ACC-000023,2024-06-01,203313,191916
ACC-000023,2024-07-01,349470,301339
ACC-000023,2024-08-01,687614,618227
ACC-000023,2024-09-01,802235,693178
ACC-000023,2024-10-01,811312,757622
ACC-000023,2024-11-01,705703,682810
ACC-000023,2024-12-01,566286,496415
ACC-000023,2025-01-01,699359,616846
ACC-000023,2025-02-01,804784,712524
ACC-000023,2025-03-01,854565,781427
ACC-000023,2025-04-01,684233,604836
ACC-000023,2025-05-01,709444,610184
ACC-000023,2025-06-01,674243,584783
ACC-000023,2025-07-01,746259,659723
ACC-000023,2025-08-01,729631,625233
ACC-000023,2025-09-01,893894,772456
ACC-000023,2025-10-01,891103,829393
ACC-000023,2025-11-01,899238,792426
ACC-000023,2025-12-01,733097,701735
ACC-000024,2024-07-01,65768,57468
ACC-000024,2024-08-01,147891,128994
ACC-000024,2024-09-01,271317,253383
ACC-000024,2024-10-01,585724,527476
ACC-000024,2024-11-01,900809,839465
ACC-000024,2024-12-01,763253,657262
ACC-000024,2025-01-01,948654,806431
ACC-000024,2025-02-01,1035829,983461
ACC-000024,2025-03-01,893274,810541
ACC-000024,2025-04-01,931400,880009
ACC-000024,2025-05-01,1014374,966643
ACC-000024,2025-06-01,851195,752838
ACC-000024,2025-07-01,834022,795942
ACC-000024,2025-08-01,904322,830688
ACC-000024,2025-09-01,1029811,979883
ACC-000024,2025-10-01,1011470,879892
ACC-000024,2025-11-01,1053302,899455
ACC-000024,2025-12-01,910964,842463
