opportunity_id,stage,entered_date
OPP-0000258,SAL,2020-07-27
OPP-0000258,SQO,2020-07-29
OPP-0000258,Proposal/Negotiation,2020-08-09
OPP-0000258,Closed Won,2020-08-10
OPP-0000271,SAL,2020-08-14
OPP-0000271,SQO,2020-09-03
OPP-0000271,Proposal/Negotiation,2020-09-11
OPP-0000271,Closed Won,2020-09-15
OPP-0000278,SAL,2020-08-17
OPP-0000278,SQO,2020-08-22
OPP-0000278,POC,2020-09-17
OPP-0000278,Proposal/Negotiation,2020-10-19
OPP-0000278,Closed Won,2020-10-23
OPP-0000282,Open,2020-08-24
OPP-0000282,Negotiation,2020-08-28
OPP-0000282,Closed Won,2020-09-01
OPP-0000290,Open,2020-09-01
OPP-0000290,Negotiation,2020-09-10
OPP-0000290,Closed Won,2020-10-01
OPP-0000296,SAL,2020-09-19
OPP-0000296,SQO,2020-10-16
OPP-0000296,POC,2020-11-11
OPP-0000296,Proposal/Negotiation,2020-11-24
OPP-0000296,Closed Won,2020-12-28
OPP-0000297,SAL,2020-09-06
OPP-0000297,SQO,2020-09-07
OPP-0000297,Proposal/Negotiation,2020-09-11
OPP-0000297,Closed Won,2020-10-05
OPP-0000298,Open,2020-09-02
OPP-0000298,Negotiation,2020-09-26
OPP-0000298,Closed Won,2020-10-01
OPP-0000314,Open,2020-09-19
OPP-0000314,Negotiation,2020-09-21
OPP-0000314,Closed Won,2020-10-01
OPP-0000324,SAL,2020-09-21
OPP-0000324,SQO,2020-10-05
OPP-0000324,Proposal/Negotiation,2020-10-10
OPP-0000324,Closed Won,2020-10-25
OPP-0000327,Open,2020-09-26
OPP-0000327,Negotiation,2020-09-29
OPP-0000327,Closed Won,2020-10-01
OPP-0000339,SAL,2020-09-24
OPP-0000339,SQO,2020-10-04
OPP-0000339,Proposal/Negotiation,2020-10-25
OPP-0000339,Closed Won,2020-10-30
OPP-0000345,SAL,2020-10-09
OPP-0000345,SQO,2020-10-17
OPP-0000345,Proposal/Negotiation,2020-10-18
OPP-0000345,Closed Won,2020-10-19
OPP-0000347,SAL,2020-10-03
OPP-0000347,SQO,2020-10-08
OPP-0000347,Proposal/Negotiation,2020-10-24
OPP-0000347,Closed Won,2020-10-27
OPP-0000349,SAL,2020-10-28
OPP-0000349,SQO,2020-10-29
OPP-0000349,POC,2020-12-19
OPP-0000349,Proposal/Negotiation,2021-02-26
OPP-0000349,Closed Won,2021-03-20
OPP-0000362,SAL,2020-11-24
OPP-0000362,SQO,2020-12-08
OPP-0000362,POC,2021-01-30
OPP-0000362,Proposal/Negotiation,2021-03-10
OPP-0000362,Closed Won,2021-03-14
OPP-0000382,SAL,2020-10-29
OPP-0000382,SQO,2020-11-10
OPP-0000382,Proposal/Negotiation,2020-11-11
OPP-0000382,Closed Won,2020-11-19
OPP-0000397,SAL,2020-11-12
OPP-0000397,SQO,2020-11-29
OPP-0000397,Proposal/Negotiation,2020-12-02
OPP-0000397,Closed Won,2020-12-20
OPP-0000403,Open,2021-01-01
OPP-0000403,Negotiation,2021-01-16
OPP-0000403,Closed Won,2021-01-30
OPP-0000423,Open,2021-01-05
OPP-0000423,Negotiation,2021-01-10
OPP-0000423,Closed Won,2021-01-13
OPP-0000429,SAL,2020-12-05
OPP-0000429,SQO,2020-12-20
OPP-0000429,Proposal/Negotiation,2020-12-28
OPP-0000429,Closed Won,2021-01-13
OPP-0000434,SAL,2020-12-15
OPP-0000434,SQO,2020-12-19
OPP-0000434,Proposal/Negotiation,2020-12-20
OPP-0000434,Closed Won,2020-12-30
OPP-0000438,SAL,2020-12-13
OPP-0000438,SQO,2020-12-15
OPP-0000438,Proposal/Negotiation,2020-12-20
OPP-0000438,Closed Won,2020-12-29
OPP-0000441,SAL,2020-12-20
OPP-0000441,SQO,2020-12-31
OPP-0000441,Proposal/Negotiation,2021-01-03
OPP-0000441,Closed Won,2021-01-04
OPP-0000446,SAL,2020-12-22
OPP-0000446,SQO,2020-12-27
OPP-0000446,Proposal/Negotiation,2021-01-12
OPP-0000446,Closed Won,2021-01-30
OPP-0000451,SAL,2021-01-02
OPP-0000451,SQO,2021-01-15
OPP-0000451,POC,2021-03-11
OPP-0000451,Proposal/Negotiation,2021-03-13
OPP-0000451,Closed Won,2021-03-21
OPP-0000466,SAL,2021-01-09
OPP-0000466,SQO,2021-02-12
OPP-0000466,POC,2021-03-01
OPP-0000466,Proposal/Negotiation,2021-03-12
OPP-0000466,Closed Won,2021-03-12
OPP-0000468,Open,2021-01-31
OPP-0000468,Negotiation,2021-02-01
OPP-0000468,Closed Won,2021-02-12
OPP-0000471,SAL,2021-01-12
OPP-0000471,SQO,2021-01-17
OPP-0000471,Proposal/Negotiation,2021-01-31
OPP-0000471,Closed Won,2021-02-03
OPP-0000475,SAL,2021-02-10
OPP-0000475,SQO,2021-05-05
OPP-0000475,POC,2021-05-15
OPP-0000475,Proposal/Negotiation,2021-05-22
OPP-0000475,Closed Won,2021-06-03
OPP-0000491,SAL,2021-01-28
OPP-0000491,SQO,2021-02-15
OPP-0000491,Proposal/Negotiation,2021-02-21
OPP-0000491,Closed Won,2021-02-21
OPP-0000498,Open,2021-03-23
OPP-0000498,Negotiation,2021-03-25
OPP-0000498,Closed Won,2021-04-17
OPP-0000509,SAL,2021-02-18
OPP-0000509,SQO,2021-02-27
OPP-0000509,POC,2021-03-26
OPP-0000509,Proposal/Negotiation,2021-05-29
OPP-0000509,Closed Won,2021-06-06
OPP-0000524,SAL,2021-03-12
OPP-0000524,SQO,2021-04-05
OPP-0000524,Proposal/Negotiation,2021-04-05
OPP-0000524,Closed Won,2021-04-14
OPP-0000533,SAL,2021-03-09
OPP-0000533,SQO,2021-03-09
OPP-0000533,Proposal/Negotiation,2021-03-22
OPP-0000533,Closed Won,2021-03-25
OPP-0000549,Open,2021-04-20
OPP-0000549,Negotiation,2021-04-28
OPP-0000549,Closed Won,2021-05-29
OPP-0000552,Open,2021-03-29
OPP-0000552,Negotiation,2021-04-09
OPP-0000552,Closed Won,2021-05-01
OPP-0000564,SAL,2021-04-02
OPP-0000564,SQO,2021-04-03
OPP-0000564,Proposal/Negotiation,2021-04-06
OPP-0000564,Closed Won,2021-04-12
OPP-0000573,Open,2021-04-12
OPP-0000573,Negotiation,2021-04-21
OPP-0000573,Closed Won,2021-05-01
OPP-0000574,SAL,2021-04-30
OPP-0000574,SQO,2021-05-01
OPP-0000574,Proposal/Negotiation,2021-05-05
OPP-0000574,Closed Won,2021-05-10
OPP-0000591,Open,2021-04-16
OPP-0000591,Negotiation,2021-04-29
OPP-0000591,Closed Won,2021-05-01
OPP-0000595,Open,2021-05-05
OPP-0000595,Negotiation,2021-05-27
OPP-0000595,Closed Lost,2021-06-02
OPP-0000604,Open,2021-05-07
OPP-0000604,Negotiation,2021-05-15
OPP-0000604,Closed Won,2021-07-14
OPP-0000611,SAL,2021-05-08
OPP-0000611,SQO,2021-05-13
OPP-0000611,POC,2021-07-26
OPP-0000611,Proposal/Negotiation,2021-08-10
OPP-0000611,Closed Won,2021-09-07
OPP-0000612,SAL,2021-05-01
OPP-0000612,SQO,2021-05-02
OPP-0000612,Proposal/Negotiation,2021-05-04
OPP-0000612,Closed Won,2021-06-04
OPP-0000626,Open,2021-06-15
OPP-0000626,Negotiation,2021-07-12
OPP-0000626,Closed Won,2021-07-31
OPP-0000629,SAL,2021-05-08
OPP-0000629,SQO,2021-05-10
OPP-0000629,Proposal/Negotiation,2021-05-14
OPP-0000629,Closed Won,2021-05-28
OPP-0000645,Open,2021-06-06
OPP-0000645,Negotiation,2021-06-08
OPP-0000645,Closed Won,2021-07-01
OPP-0000651,SAL,2021-05-26
OPP-0000651,SQO,2021-06-13
OPP-0000651,Proposal/Negotiation,2021-06-15
OPP-0000651,Closed Won,2021-07-03
OPP-0000653,Open,2021-05-28
OPP-0000653,Negotiation,2021-06-16
OPP-0000653,Closed Won,2021-07-01
OPP-0000664,Open,2021-06-01
OPP-0000664,Negotiation,2021-06-06
OPP-0000664,Closed Lost,2021-07-29
OPP-0000672,Open,2021-06-23
OPP-0000672,Negotiation,2021-06-29
OPP-0000672,Closed Won,2021-07-01
OPP-0000675,Open,2021-06-12
OPP-0000675,Negotiation,2021-07-06
OPP-0000675,Closed Lost,2021-07-12
OPP-0000678,Open,2021-06-21
OPP-0000678,Negotiation,2021-06-23
OPP-0000678,Closed Won,2021-07-01
OPP-0000684,Open,2021-07-28
OPP-0000684,Negotiation,2021-07-28
OPP-0000684,Closed Won,2021-08-01
OPP-0000687,Open,2021-07-26
OPP-0000687,Negotiation,2021-08-01
OPP-0000687,Closed Won,2021-08-01
OPP-0000689,Open,2021-07-06
OPP-0000689,Negotiation,2021-07-15
OPP-0000689,Closed Won,2021-08-01
OPP-0000695,SAL,2021-07-03
OPP-0000695,SQO,2021-07-12
OPP-0000695,Proposal/Negotiation,2021-07-16
OPP-0000695,Closed Won,2021-07-24
OPP-0000697,SAL,2021-07-02
OPP-0000697,SQO,2021-07-22
OPP-0000697,Proposal/Negotiation,2021-07-28
OPP-0000697,Closed Won,2021-08-10
OPP-0000701,Open,2021-08-15
OPP-0000701,Negotiation,2021-09-06
OPP-0000701,Closed Won,2021-09-15
OPP-0000703,Open,2021-07-05
OPP-0000703,Negotiation,2021-07-14
OPP-0000703,Closed Won,2021-08-01
OPP-0000704,SAL,2021-07-11
OPP-0000704,SQO,2021-07-18
OPP-0000704,Proposal/Negotiation,2021-07-20
OPP-0000704,Closed Won,2021-07-31
OPP-0000706,Open,2021-07-27
OPP-0000706,Negotiation,2021-08-19
OPP-0000706,Closed Won,2021-09-01
OPP-0000707,SAL,2021-07-09
OPP-0000707,SQO,2021-08-06
OPP-0000707,SAL,2021-08-09
OPP-0000707,Proposal/Negotiation,2021-08-13
OPP-0000707,Closed Won,2021-08-18
OPP-0000713,SAL,2021-08-13
OPP-0000713,SQO,2021-08-14
OPP-0000713,POC,2021-08-31
OPP-0000713,Proposal/Negotiation,2021-09-08
OPP-0000713,Closed Won,2021-09-20
OPP-0000723,SAL,2021-07-27
OPP-0000723,SQO,2021-08-04
OPP-0000723,Proposal/Negotiation,2021-08-09
OPP-0000723,Closed Won,2021-08-13
OPP-0000731,SAL,2021-08-02
OPP-0000731,SQO,2021-08-15
OPP-0000731,Proposal/Negotiation,2021-08-29
OPP-0000731,Closed Won,2021-09-09
OPP-0000739,Open,2021-08-03
OPP-0000739,Negotiation,2021-09-21
OPP-0000739,Closed Won,2021-10-01
OPP-0000743,Open,2021-09-01
OPP-0000743,Negotiation,2021-09-21
OPP-0000743,Closed Lost,2021-10-01
OPP-0000745,Open,2021-09-01
OPP-0000745,Negotiation,2021-09-23
OPP-0000745,Closed Won,2021-10-27
OPP-0000749,Open,2021-08-25
OPP-0000749,Negotiation,2021-08-26
OPP-0000749,Closed Won,2021-09-01
OPP-0000754,SAL,2021-08-13
OPP-0000754,SQO,2021-08-24
OPP-0000754,Proposal/Negotiation,2021-08-27
OPP-0000754,Closed Won,2021-09-06
OPP-0000756,Open,2021-08-24
OPP-0000756,Negotiation,2021-09-18
OPP-0000756,Closed Won,2021-10-01
OPP-0000760,Open,2021-08-31
OPP-0000760,Negotiation,2021-09-17
OPP-0000760,Closed Won,2021-10-01
OPP-0000764,Open,2021-09-01
OPP-0000764,Negotiation,2021-09-06
OPP-0000764,Closed Won,2021-10-05
OPP-0000770,SAL,2021-08-24
OPP-0000770,SQO,2021-08-30
OPP-0000770,Proposal/Negotiation,2021-09-03
OPP-0000770,Closed Won,2021-09-07
OPP-0000783,Open,2021-09-09
OPP-0000783,Negotiation,2021-09-20
OPP-0000783,Closed Won,2021-10-01
OPP-0000784,Open,2021-09-04
OPP-0000784,Negotiation,2021-10-11
OPP-0000784,Closed Won,2021-10-25
OPP-0000790,SAL,2021-09-24
OPP-0000790,SQO,2021-10-05
OPP-0000790,POC,2021-12-23
OPP-0000790,Proposal/Negotiation,2022-01-30
OPP-0000790,Closed Won,2022-02-04
OPP-0000797,Open,2021-09-19
OPP-0000797,Negotiation,2021-10-16
OPP-0000797,Closed Lost,2021-11-19
OPP-0000801,Open,2021-09-16
OPP-0000801,Negotiation,2021-10-15
OPP-0000801,Closed Lost,2021-10-30
OPP-0000804,Open,2021-10-15
OPP-0000804,Negotiation,2021-10-30
OPP-0000804,Closed Won,2021-11-01
OPP-0000815,SAL,2021-09-27
OPP-0000815,SQO,2021-10-19
OPP-0000815,Proposal/Negotiation,2021-11-04
OPP-0000815,Closed Won,2021-11-05
OPP-0000832,Open,2021-10-14
OPP-0000832,Negotiation,2021-12-16
OPP-0000832,Closed Won,2021-12-30
OPP-0000833,SAL,2021-10-07
OPP-0000833,SQO,2021-11-02
OPP-0000833,Proposal/Negotiation,2021-11-04
OPP-0000833,Closed Won,2021-11-15
OPP-0000835,SAL,2021-10-09
OPP-0000835,SQO,2021-10-20
OPP-0000835,Proposal/Negotiation,2021-10-26
OPP-0000835,Closed Won,2021-11-04
OPP-0000856,SAL,2021-10-29
OPP-0000856,SQO,2021-11-02
OPP-0000856,Proposal/Negotiation,2021-11-16
OPP-0000856,Closed Won,2021-11-17
OPP-0000860,Open,2021-11-12
OPP-0000860,Negotiation,2021-12-16
OPP-0000860,Closed Won,2021-12-29
OPP-0000868,Open,2021-11-20
OPP-0000868,Negotiation,2021-11-25
OPP-0000868,Closed Won,2022-01-04
OPP-0000878,SAL,2021-11-10
OPP-0000878,SQO,2021-11-14
OPP-0000878,POC,2021-12-24
OPP-0000878,Proposal/Negotiation,2022-01-10
OPP-0000878,Closed Won,2022-02-28
OPP-0000879,SAL,2021-11-03
OPP-0000879,SQO,2021-11-16
OPP-0000879,SAL,2021-11-23
OPP-0000879,Proposal/Negotiation,2021-11-25
OPP-0000879,Closed Won,2021-12-13
OPP-0000883,SAL,2021-11-20
OPP-0000883,SQO,2021-12-06
OPP-0000883,Proposal/Negotiation,2021-12-10
OPP-0000883,Closed Won,2021-12-11
OPP-0000890,Open,2021-11-12
OPP-0000890,Negotiation,2021-12-09
OPP-0000890,Closed Lost,2022-01-30
OPP-0000892,Open,2021-11-20
OPP-0000892,Negotiation,2021-11-28
OPP-0000892,Closed Won,2021-12-01
OPP-0000896,Open,2021-11-18
OPP-0000896,Negotiation,2021-11-24
OPP-0000896,Closed Won,2021-12-01
OPP-0000897,Open,2021-12-09
OPP-0000897,Negotiation,2021-12-14
OPP-0000897,Closed Won,2021-12-20
OPP-0000905,Open,2021-12-21
OPP-0000905,Negotiation,2022-01-31
OPP-0000905,Closed Won,2022-02-03
OPP-0000912,Open,2021-12-04
OPP-0000912,Negotiation,2021-12-13
OPP-0000912,Closed Won,2022-01-01
OPP-0000913,Open,2021-12-06
OPP-0000913,Negotiation,2021-12-19
OPP-0000913,Closed Won,2022-01-30
OPP-0000917,Open,2021-12-05
OPP-0000917,Negotiation,2021-12-24
OPP-0000917,Closed Won,2022-01-01
OPP-0000925,Open,2021-12-20
OPP-0000925,Negotiation,2022-01-06
OPP-0000925,Closed Won,2022-01-13
OPP-0000928,Open,2021-12-15
OPP-0000928,Negotiation,2021-12-27
OPP-0000928,Closed Won,2022-01-01
OPP-0000929,Open,2021-12-20
OPP-0000929,Negotiation,2021-12-28
OPP-0000929,Closed Won,2022-01-13
OPP-0000930,Open,2021-12-11
OPP-0000930,Negotiation,2021-12-19
OPP-0000930,Closed Won,2022-01-01
OPP-0000938,SAL,2021-12-23
OPP-0000938,SQO,2021-12-24
OPP-0000938,POC,2022-02-27
OPP-0000938,Proposal/Negotiation,2022-03-12
OPP-0000938,Closed Won,2022-05-12
OPP-0000939,SAL,2021-12-19
OPP-0000939,SQO,2021-12-26
OPP-0000939,Proposal/Negotiation,2021-12-27
OPP-0000939,Closed Won,2022-01-23
OPP-0000955,Open,2021-12-29
OPP-0000955,Negotiation,2022-01-25
OPP-0000955,Closed Won,2022-02-01
OPP-0000957,Open,2021-12-30
OPP-0000957,Negotiation,2022-02-07
OPP-0000957,Closed Won,2022-02-21
OPP-0000959,Open,2022-01-17
OPP-0000959,Negotiation,2022-01-30
OPP-0000959,Closed Lost,2022-02-12
OPP-0000960,SAL,2022-01-09
OPP-0000960,SQO,2022-01-17
OPP-0000960,Proposal/Negotiation,2022-01-21
OPP-0000960,Closed Won,2022-01-22
OPP-0000970,Open,2022-03-31
OPP-0000970,Negotiation,2022-03-31
OPP-0000970,Closed Won,2022-04-12
OPP-0000972,SAL,2022-02-11
OPP-0000972,SQO,2022-02-24
OPP-0000972,POC,2022-04-09
OPP-0000972,Proposal/Negotiation,2022-04-17
OPP-0000972,Closed Won,2022-06-08
OPP-0000978,Open,2022-01-24
OPP-0000978,Negotiation,2022-01-26
OPP-0000978,Closed Won,2022-03-01
OPP-0000985,Open,2022-02-23
OPP-0000985,Negotiation,2022-03-13
OPP-0000985,Closed Won,2022-03-25
OPP-0000988,SAL,2022-02-03
OPP-0000988,SQO,2022-02-09
OPP-0000988,SAL,2022-02-19
OPP-0000988,Proposal/Negotiation,2022-03-04
OPP-0000988,Closed Won,2022-03-13
OPP-0000991,Open,2022-02-06
OPP-0000991,Negotiation,2022-02-09
OPP-0000991,Closed Won,2022-03-01
OPP-0000997,Open,2022-02-15
OPP-0000997,Negotiation,2022-02-15
OPP-0000997,Closed Won,2022-04-14
OPP-0001007,Open,2022-04-14
OPP-0001007,Negotiation,2022-06-09
OPP-0001007,Closed Won,2022-07-08
OPP-0001011,Open,2022-02-24
OPP-0001011,Negotiation,2022-02-27
OPP-0001011,Closed Won,2022-03-01
OPP-0001013,SAL,2022-02-15
OPP-0001013,SQO,2022-03-11
OPP-0001013,Proposal/Negotiation,2022-03-11
OPP-0001013,Closed Won,2022-03-29
OPP-0001016,SAL,2022-02-19
OPP-0001016,SQO,2022-02-22
OPP-0001016,POC,2022-04-01
OPP-0001016,Proposal/Negotiation,2022-04-20
OPP-0001016,Closed Won,2022-06-10
OPP-0001025,Open,2022-02-27
OPP-0001025,Negotiation,2022-04-13
OPP-0001025,Closed Won,2022-05-01
OPP-0001036,Open,2022-03-04
OPP-0001036,Negotiation,2022-03-15
OPP-0001036,Closed Won,2022-05-01
OPP-0001038,SAL,2022-03-02
OPP-0001038,SQO,2022-03-09
OPP-0001038,Proposal/Negotiation,2022-03-12
OPP-0001038,Closed Won,2022-03-27
OPP-0001041,Open,2022-03-05
OPP-0001041,Negotiation,2022-03-05
OPP-0001041,Closed Won,2022-04-01
OPP-0001049,SAL,2022-03-11
OPP-0001049,SQO,2022-04-20
OPP-0001049,POC,2022-07-23
OPP-0001049,Proposal/Negotiation,2022-08-07
OPP-0001049,Closed Won,2022-08-19
OPP-0001053,Open,2022-03-27
OPP-0001053,Negotiation,2022-03-28
OPP-0001053,Closed Won,2022-04-17
OPP-0001075,Open,2022-04-16
OPP-0001075,Negotiation,2022-04-21
OPP-0001075,Closed Won,2022-05-01
OPP-0001076,SAL,2022-03-28
OPP-0001076,SQO,2022-04-10
OPP-0001076,Proposal/Negotiation,2022-04-14
OPP-0001076,Closed Won,2022-04-22
OPP-0001079,Open,2022-04-16
OPP-0001079,Negotiation,2022-05-06
OPP-0001079,Closed Won,2022-05-28
OPP-0001083,Open,2022-04-16
OPP-0001083,Negotiation,2022-05-08
OPP-0001083,Closed Won,2022-05-10
OPP-0001087,Open,2022-04-20
OPP-0001087,Negotiation,2022-04-21
OPP-0001087,Closed Won,2022-05-01
OPP-0001101,SAL,2022-05-12
OPP-0001101,SQO,2022-07-08
OPP-0001101,POC,2022-08-21
OPP-0001101,Proposal/Negotiation,2022-09-12
OPP-0001101,Closed Won,2022-09-17
OPP-0001108,Open,2022-04-21
OPP-0001108,Negotiation,2022-05-08
OPP-0001108,Closed Won,2022-06-04
OPP-0001109,SAL,2022-04-19
OPP-0001109,SQO,2022-05-24
OPP-0001109,POC,2022-07-06
OPP-0001109,Proposal/Negotiation,2022-07-09
OPP-0001109,Closed Won,2022-07-14
OPP-0001115,Open,2022-05-26
OPP-0001115,Negotiation,2022-06-05
OPP-0001115,Closed Won,2022-07-01
OPP-0001117,Open,2022-04-26
OPP-0001117,Negotiation,2022-05-18
OPP-0001117,Closed Won,2022-05-29
OPP-0001120,Open,2022-04-27
OPP-0001120,Negotiation,2022-04-29
OPP-0001120,Closed Won,2022-05-01
OPP-0001128,Open,2022-05-20
OPP-0001128,Negotiation,2022-06-13
OPP-0001128,Closed Won,2022-07-01
OPP-0001130,Open,2022-06-07
OPP-0001130,Negotiation,2022-06-17
OPP-0001130,Closed Won,2022-07-03
OPP-0001133,Open,2022-05-15
OPP-0001133,Negotiation,2022-05-23
OPP-0001133,Closed Won,2022-06-01
OPP-0001134,Open,2022-04-27
OPP-0001134,Negotiation,2022-05-07
OPP-0001134,Closed Won,2022-06-01
OPP-0001135,Open,2022-05-27
OPP-0001135,Negotiation,2022-06-13
OPP-0001135,Closed Lost,2022-07-24
OPP-0001146,Open,2022-06-07
OPP-0001146,Negotiation,2022-06-15
OPP-0001146,Closed Won,2022-07-14
OPP-0001147,SAL,2022-05-05
OPP-0001147,SQO,2022-06-03
OPP-0001147,Proposal/Negotiation,2022-06-14
OPP-0001147,Closed Won,2022-06-18
OPP-0001150,Open,2022-05-14
OPP-0001150,Negotiation,2022-07-30
OPP-0001150,Closed Won,2022-08-01
OPP-0001154,Open,2022-05-14
OPP-0001154,Negotiation,2022-05-26
OPP-0001154,Closed Won,2022-06-01
OPP-0001155,SAL,2022-05-14
OPP-0001155,SQO,2022-06-11
OPP-0001155,Proposal/Negotiation,2022-06-13
OPP-0001155,Closed Won,2022-06-23
OPP-0001158,SAL,2022-05-19
OPP-0001158,SQO,2022-07-05
OPP-0001158,POC,2022-08-23
OPP-0001158,Proposal/Negotiation,2022-09-12
OPP-0001158,Closed Won,2022-09-21
OPP-0001160,Open,2022-05-19
OPP-0001160,Negotiation,2022-05-27
OPP-0001160,Closed Won,2022-06-01
OPP-0001161,Open,2022-07-20
OPP-0001161,Negotiation,2022-07-25
OPP-0001161,Closed Lost,2022-08-01
OPP-0001171,Open,2022-06-01
OPP-0001171,Negotiation,2022-06-21
OPP-0001171,Closed Won,2022-08-10
OPP-0001174,Open,2022-06-13
OPP-0001174,Negotiation,2022-07-04
OPP-0001174,Closed Won,2022-08-01
OPP-0001180,Open,2022-06-02
OPP-0001180,Negotiation,2022-06-22
OPP-0001180,Closed Won,2022-07-01
OPP-0001182,SAL,2022-05-30
OPP-0001182,SQO,2022-06-07
OPP-0001182,Proposal/Negotiation,2022-06-10
OPP-0001182,Closed Won,2022-06-16
OPP-0001184,Open,2022-05-31
OPP-0001184,Negotiation,2022-06-07
OPP-0001184,Closed Won,2022-07-01
OPP-0001188,Open,2022-06-09
OPP-0001188,Negotiation,2022-06-25
OPP-0001188,Closed Won,2022-07-01
OPP-0001189,Open,2022-06-07
OPP-0001189,Negotiation,2022-07-26
OPP-0001189,Closed Won,2022-07-31
OPP-0001196,Open,2022-06-19
OPP-0001196,Negotiation,2022-06-25
OPP-0001196,Closed Won,2022-07-01
OPP-0001201,Open,2022-06-22
OPP-0001201,Negotiation,2022-07-16
OPP-0001201,Closed Won,2022-08-13
OPP-0001210,Open,2022-07-09
OPP-0001210,Negotiation,2022-07-17
OPP-0001210,Closed Won,2022-07-31
OPP-0001211,Open,2022-08-02
OPP-0001211,Negotiation,2022-08-06
OPP-0001211,Closed Won,2022-09-01
OPP-0001213,SAL,2022-06-17
OPP-0001213,SQO,2022-06-19
OPP-0001213,Proposal/Negotiation,2022-07-03
OPP-0001213,Closed Won,2022-07-10
OPP-0001216,Open,2022-07-08
OPP-0001216,Negotiation,2022-07-23
OPP-0001216,Closed Won,2022-08-18
OPP-0001220,Open,2022-07-05
OPP-0001220,Negotiation,2022-08-03
OPP-0001220,Closed Won,2022-09-07
OPP-0001222,SAL,2022-06-30
OPP-0001222,SQO,2022-07-18
OPP-0001222,Proposal/Negotiation,2022-07-19
OPP-0001222,Closed Won,2022-07-21
OPP-0001229,SAL,2022-06-27
OPP-0001229,SQO,2022-07-02
OPP-0001229,Proposal/Negotiation,2022-07-07
OPP-0001229,Closed Won,2022-07-14
OPP-0001235,Open,2022-07-02
OPP-0001235,Negotiation,2022-07-20
OPP-0001235,Closed Won,2022-08-01
OPP-0001238,Open,2022-07-06
OPP-0001238,Negotiation,2022-07-14
OPP-0001238,Closed Won,2022-08-01
OPP-0001239,SAL,2022-07-03
OPP-0001239,SQO,2022-07-10
OPP-0001239,Proposal/Negotiation,2022-07-13
OPP-0001239,Closed Won,2022-07-17
OPP-0001246,Open,2022-09-02
OPP-0001246,Negotiation,2022-09-05
OPP-0001246,Closed Won,2022-10-23
OPP-0001247,Open,2022-07-20
OPP-0001247,Negotiation,2022-08-17
OPP-0001247,Closed Won,2022-09-06
OPP-0001259,SAL,2022-07-11
OPP-0001259,SQO,2022-07-15
OPP-0001259,Proposal/Negotiation,2022-08-06
OPP-0001259,Closed Won,2022-08-21
OPP-0001265,Open,2022-07-15
